Using device: cpu
base-hiro-very-slow
Initializing with critic LR:  5e-05  actor LR:  1e-08
Initializing with critic LR:  1e-07  actor LR:  5e-08
Goal, Curr: (-0.91,  0.98), ( -1.40,  -0.60)   Error: 1.66
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02398 

Goal, Curr: (-0.78,  1.16), ( -1.40,  -0.60)   Error: 1.87
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02399 

Goal, Curr: (-0.94,  1.03), ( -1.40,  -0.60)   Error: 1.70
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02391 

Goal, Curr: (-0.84,  1.11), ( -1.40,  -0.60)   Error: 1.80
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02394 

Goal, Curr: (-0.77,  1.15), ( -1.40,  -0.60)   Error: 1.86
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02398 

Goal, Curr: (-1.17,  1.09), ( -1.40,  -0.60)   Error: 1.71
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02392 

Goal, Curr: (-1.25,  1.04), ( -1.40,  -0.60)   Error: 1.65
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02400 

Goal, Curr: (-1.08,  0.88), ( -1.40,  -0.60)   Error: 1.51
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02417 

Goal, Curr: (-0.92,  1.01), ( -1.40,  -0.60)   Error: 1.69
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02393 

Goal, Curr: (-0.87,  0.76), ( -1.40,  -0.60)   Error: 1.46
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02415 

Goal, Curr: (-1.22,  0.82), ( -1.40,  -0.60)   Error: 1.44
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02440 

Goal, Curr: (-0.87,  1.15), ( -1.40,  -0.60)   Error: 1.83
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02386 

Goal, Curr: (-0.77,  1.01), ( -1.40,  -0.60)   Error: 1.73
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02404 

Goal, Curr: (-0.86,  0.88), ( -1.40,  -0.60)   Error: 1.58
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02407 

Goal, Curr: (-1.19,  1.04), ( -1.40,  -0.60)   Error: 1.66
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02398 

Goal, Curr: (-0.88,  0.94), ( -1.40,  -0.60)   Error: 1.63
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02398 

Goal, Curr: (-0.90,  0.95), ( -1.40,  -0.60)   Error: 1.63
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02399 

Goal, Curr: (-1.16,  0.85), ( -1.40,  -0.60)   Error: 1.47
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02427 

Goal, Curr: (-1.12,  0.93), ( -1.40,  -0.60)   Error: 1.56
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02409 

Goal, Curr: (-1.12,  0.92), ( -1.40,  -0.60)   Error: 1.55
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02415 

Goal, Curr: (-1.11,  1.10), ( -1.40,  -0.60)   Error: 1.73
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02386 

Goal, Curr: (-0.85,  1.10), ( -1.40,  -0.60)   Error: 1.79
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02391 

Goal, Curr: (-1.15,  1.00), ( -1.40,  -0.60)   Error: 1.62
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02404 

Goal, Curr: (-1.02,  0.84), ( -1.40,  -0.60)   Error: 1.49
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02419 

Goal, Curr: (-1.03,  0.97), ( -1.40,  -0.60)   Error: 1.61
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02400 

Goal, Curr: (-1.19,  0.87), ( -1.40,  -0.60)   Error: 1.48
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02429 

Goal, Curr: (-1.12,  1.03), ( -1.40,  -0.60)   Error: 1.66
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02395 

Goal, Curr: (-0.89,  0.96), ( -1.40,  -0.60)   Error: 1.64
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02399 

Goal, Curr: (-1.18,  0.77), ( -1.40,  -0.60)   Error: 1.39
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02445 

Goal, Curr: (-0.90,  0.89), ( -1.40,  -0.60)   Error: 1.57
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02405 

Goal, Curr: (-1.03,  1.10), ( -1.40,  -0.60)   Error: 1.74
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02387 

Goal, Curr: (-0.88,  1.03), ( -1.40,  -0.60)   Error: 1.71
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02393 

Goal, Curr: (-1.03,  1.20), ( -1.40,  -0.60)   Error: 1.84
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02375 

Goal, Curr: (-1.02,  1.09), ( -1.40,  -0.60)   Error: 1.73
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02388 

Goal, Curr: (-1.13,  1.18), ( -1.40,  -0.60)   Error: 1.80
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02376 

Goal, Curr: (-1.17,  1.24), ( -1.40,  -0.60)   Error: 1.86
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.02371 

Goal, Curr: (-1.05,  1.13), ( -1.40,  -0.60)   Error: 1.77
