Using device: cpu
gc-1.1-noclip-normal-wall-100-expl
Goal, Curr: (-0.78,  0.85), ( -1.40,  -0.60)   Error: 1.58
Last SG, Last State: ( -3.34,  -0.91), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-0.78,  1.24), ( -1.40,  -0.60)   Error: 1.94
Last SG, Last State: ( -3.35,  -0.58), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-0.78,  1.07), ( -1.40,  -0.60)   Error: 1.79
Last SG, Last State: ( -3.35,  -0.72), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.22,  1.17), ( -1.40,  -0.60)   Error: 1.78
Last SG, Last State: ( -3.37,  -0.59), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.81,  0.94), ( -1.40,  -0.60)   Error: 1.65
Last SG, Last State: ( -3.35,  -0.83), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.06,  1.07), ( -1.40,  -0.60)   Error: 1.70
Last SG, Last State: ( -3.36,  -0.69), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.92,  0.76), ( -1.40,  -0.60)   Error: 1.45
Last SG, Last State: ( -3.35,  -0.95), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.23,  1.22), ( -1.40,  -0.60)   Error: 1.83
Last SG, Last State: ( -3.37,  -0.55), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.94,  1.18), ( -1.40,  -0.60)   Error: 1.83
Last SG, Last State: ( -3.36,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-0.76,  0.85), ( -1.40,  -0.60)   Error: 1.58
Last SG, Last State: ( -3.34,  -0.92), ( -1.40,  -0.60)  SG Improvement:-0.00000 

episode:00100, mean:-528.50, std:42.49, median:-531.97, success:0.00
Goal, Curr: (-1.11,  1.21), ( -0.84,  -0.60)   Error: 1.83
Last SG, Last State: ( -2.89,   0.15), ( -0.85,  -0.60)  SG Improvement:-0.10417 

Goal, Curr: (-1.04,  1.07), ( -1.31,  -0.60)   Error: 1.70
Last SG, Last State: ( -3.28,   0.51), ( -1.30,  -0.60)  SG Improvement:0.00523 

Goal, Curr: (-0.76,  1.09), ( -0.79,  -0.60)   Error: 1.70
Last SG, Last State: ( -2.76,   0.10), ( -0.78,  -0.60)  SG Improvement:-0.00881 

Goal, Curr: (-0.96,  0.82), ( -1.24,  -0.60)   Error: 1.44
Last SG, Last State: ( -3.25,   0.42), ( -1.24,  -0.60)  SG Improvement:-0.00153 

Goal, Curr: (-1.22,  0.92), ( -0.85,  -0.60)   Error: 1.57
Last SG, Last State: ( -3.03,   0.05), ( -0.93,  -0.60)  SG Improvement:-0.05878 

Goal, Curr: (-1.17,  1.24), ( -1.39,  -0.60)   Error: 1.85
Last SG, Last State: ( -3.35,   0.59), ( -1.37,  -0.60)  SG Improvement:0.00776 

Goal, Curr: (-1.11,  1.20), ( -0.91,  -0.60)   Error: 1.81
Last SG, Last State: ( -3.07,   0.13), ( -0.98,  -0.60)  SG Improvement:-0.04545 

Goal, Curr: (-1.06,  1.18), ( -1.36,  -0.60)   Error: 1.81
Last SG, Last State: ( -3.36,   0.53), ( -1.36,  -0.60)  SG Improvement:0.00067 

Goal, Curr: (-0.82,  0.90), ( -0.72,  -0.60)   Error: 1.50
Last SG, Last State: ( -2.75,  -0.06), ( -0.72,  -0.60)  SG Improvement:-0.12422 

Goal, Curr: (-0.92,  1.12), ( -1.27,  -0.60)   Error: 1.75
Last SG, Last State: ( -3.27,   0.48), ( -1.26,  -0.60)  SG Improvement:-0.00139 

episode:00200, mean:-516.69, std:41.71, median:-529.54, success:0.00
Goal, Curr: (-0.79,  0.80), ( -1.26,  -0.60)   Error: 1.48
Last SG, Last State: ( -3.24,   1.25), ( -1.25,  -0.60)  SG Improvement:0.00328 

Goal, Curr: (-0.76,  0.98), ( -1.00,  -0.60)   Error: 1.60
Last SG, Last State: ( -2.98,   1.24), ( -0.99,  -0.60)  SG Improvement:0.00297 

Goal, Curr: (-0.98,  0.85), ( -1.33,  -0.60)   Error: 1.50
Last SG, Last State: ( -3.32,   1.28), ( -1.32,  -0.60)  SG Improvement:0.00323 

Goal, Curr: (-1.18,  1.11), ( -1.03,  -0.60)   Error: 1.72
Last SG, Last State: ( -3.01,   1.30), ( -1.02,  -0.60)  SG Improvement:0.00304 

Goal, Curr: (-1.10,  1.16), ( -1.25,  -0.60)   Error: 1.77
Last SG, Last State: ( -3.24,   1.29), ( -1.25,  -0.60)  SG Improvement:0.00238 

Goal, Curr: (-0.98,  0.87), ( -1.13,  -0.60)   Error: 1.48
Last SG, Last State: ( -3.12,   1.27), ( -1.13,  -0.60)  SG Improvement:0.00346 

Goal, Curr: (-0.86,  0.85), ( -1.02,  -0.60)   Error: 1.45
Last SG, Last State: ( -3.00,   1.25), ( -1.01,  -0.60)  SG Improvement:0.00417 

Goal, Curr: (-0.84,  0.75), ( -1.10,  -0.60)   Error: 1.38
Last SG, Last State: ( -3.07,   1.24), ( -1.09,  -0.60)  SG Improvement:0.00401 

Goal, Curr: (-1.00,  1.20), ( -1.00,  -0.60)   Error: 1.80
Last SG, Last State: ( -2.99,   1.28), ( -0.99,  -0.60)  SG Improvement:0.00248 

Goal, Curr: (-0.93,  1.13), ( -0.98,  -0.60)   Error: 1.73
Last SG, Last State: ( -2.96,   1.27), ( -0.97,  -0.60)  SG Improvement:0.00271 

episode:00300, mean:-480.75, std:46.75, median:-465.45, success:0.00
Log radii:  [ 0.09531018  0.09531018 -0.09531018 -0.09531018  0.09531018 -0.09531018]
Adjusted log radii:  [ 2.1853101   1.8853102   2.5946896  -0.10531018  0.08531018 -0.10531018]
Goal, Curr: (-0.84,  0.97), ( -1.40,  -0.60)   Error: 1.67
Last SG, Last State: ( -3.40,  -0.09), ( -1.40,  -0.60)  SG Improvement:0.00012 

Goal, Curr: (-1.00,  0.97), (  0.21,  -0.60)   Error: 1.98
Last SG, Last State: ( -1.99,   1.35), (  0.12,  -0.60)  SG Improvement:-0.07541 

Goal, Curr: (-1.22,  0.94), (  0.22,  -0.60)   Error: 2.11
Last SG, Last State: ( -1.93,   1.37), (  0.17,  -0.60)  SG Improvement:-0.05106 

Goal, Curr: (-0.98,  0.82), (  0.15,  -0.60)   Error: 1.81
Last SG, Last State: ( -2.05,   1.33), (  0.06,  -0.60)  SG Improvement:-0.07166 

Goal, Curr: (-0.85,  1.21), (  0.32,  -0.60)   Error: 2.16
Last SG, Last State: ( -1.91,   1.35), (  0.22,  -0.60)  SG Improvement:-0.09331 

Goal, Curr: (-0.94,  1.09), (  0.26,  -0.60)   Error: 2.08
Last SG, Last State: ( -1.93,   1.35), (  0.18,  -0.60)  SG Improvement:-0.08647 

Goal, Curr: (-0.88,  1.02), (  0.23,  -0.60)   Error: 1.97
Last SG, Last State: ( -1.98,   1.34), (  0.14,  -0.60)  SG Improvement:-0.07231 

Goal, Curr: (-1.00,  1.15), (  0.22,  -0.60)   Error: 2.14
Last SG, Last State: ( -2.02,   1.34), (  0.12,  -0.60)  SG Improvement:-0.06550 

Goal, Curr: (-0.87,  1.13), (  0.32,  -0.60)   Error: 2.10
Last SG, Last State: ( -1.78,   1.38), (  0.30,  -0.60)  SG Improvement:-0.05599 

Goal, Curr: (-0.90,  1.04), (  0.24,  -0.60)   Error: 2.00
Last SG, Last State: ( -1.96,   1.34), (  0.15,  -0.60)  SG Improvement:-0.08195 

episode:00400, mean:-537.31, std:30.91, median:-538.51, success:0.00
Goal, Curr: (-0.97,  1.20), (  0.43,  -0.60)   Error: 2.28
Last SG, Last State: ( -2.04,   1.40), (  0.13,  -0.60)  SG Improvement:-0.07698 

Goal, Curr: (-0.92,  1.07), (  0.13,  -0.60)   Error: 1.97
Last SG, Last State: ( -1.96,   1.40), (  0.26,  -0.60)  SG Improvement:-0.09350 

Goal, Curr: (-1.05,  1.01), (  0.12,  -0.60)   Error: 1.99
Last SG, Last State: ( -2.22,   1.40), ( -0.05,  -0.60)  SG Improvement:-0.07079 

Goal, Curr: (-1.08,  0.97), ( -0.55,  -0.60)   Error: 1.66
Last SG, Last State: ( -1.90,   1.40), ( -0.38,  -0.60)  SG Improvement:-0.42399 

Goal, Curr: (-1.04,  0.93), (  0.27,  -0.60)   Error: 2.01
Last SG, Last State: ( -2.16,   1.40), (  0.03,  -0.60)  SG Improvement:-0.07931 

Goal, Curr: (-1.22,  1.21), (  0.22,  -0.60)   Error: 2.31
Last SG, Last State: ( -2.16,   1.40), (  0.02,  -0.60)  SG Improvement:-0.07426 

Goal, Curr: (-1.18,  0.94), ( -0.45,  -0.60)   Error: 1.70
Last SG, Last State: ( -2.44,   1.40), ( -0.60,  -0.60)  SG Improvement:0.25795 

Goal, Curr: (-1.20,  0.85), ( -0.37,  -0.60)   Error: 1.67
Last SG, Last State: ( -2.07,   1.40), ( -0.04,  -0.60)  SG Improvement:-0.30871 

Goal, Curr: (-1.05,  0.83), ( -0.01,  -0.60)   Error: 1.77
Last SG, Last State: ( -1.67,   1.40), (  0.19,  -0.60)  SG Improvement:-0.50518 

Goal, Curr: (-0.76,  1.01), (  0.37,  -0.60)   Error: 1.97
Last SG, Last State: ( -2.07,   1.40), (  0.10,  -0.60)  SG Improvement:-0.07852 

episode:00500, mean:-529.17, std:30.84, median:-519.57, success:0.00
Goal, Curr: (-0.94,  1.02), ( -1.40,  -0.60)   Error: 1.68
Last SG, Last State: ( -3.40,   1.39), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.24,  1.16), ( -1.40,  -0.60)   Error: 1.77
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00001 

Goal, Curr: (-0.76,  0.90), ( -1.40,  -0.60)   Error: 1.63
Last SG, Last State: ( -3.40,   1.39), ( -1.40,  -0.60)  SG Improvement:-0.00001 

Goal, Curr: (-0.83,  0.89), ( -1.40,  -0.60)   Error: 1.59
Last SG, Last State: ( -3.40,   1.39), ( -1.40,  -0.60)  SG Improvement:-0.00001 

Goal, Curr: (-1.09,  0.84), ( -1.40,  -0.60)   Error: 1.47
Last SG, Last State: ( -3.40,   1.39), ( -1.40,  -0.60)  SG Improvement:-0.00043 

Goal, Curr: (-0.81,  1.14), ( -1.40,  -0.60)   Error: 1.84
Last SG, Last State: ( -3.40,   1.39), ( -1.40,  -0.60)  SG Improvement:0.00002 

Goal, Curr: (-1.00,  0.92), ( -1.40,  -0.60)   Error: 1.57
