Using device: cpu
gc-16.0-12-2
Goal, Curr: (-1.06,  0.84), (  0.79,  -1.40)   Error: 2.91
Last SG, Last State: ( -0.20,   0.60), (  0.74,  -1.40)  SG Improvement:0.00229 

Goal, Curr: (-0.81,  0.97), (  0.50,  -1.37)   Error: 2.68
Last SG, Last State: ( -0.21,   0.66), (  0.48,  -1.36)  SG Improvement:-0.01435 

Goal, Curr: (-1.20,  1.05), (  0.78,  -1.40)   Error: 3.15
Last SG, Last State: ( -0.26,   0.60), (  0.73,  -1.40)  SG Improvement:0.00623 

Goal, Curr: (-1.09,  1.02), (  0.54,  -1.40)   Error: 2.91
Last SG, Last State: ( -0.57,   0.60), (  0.49,  -1.40)  SG Improvement:0.00115 

Goal, Curr: (-0.86,  1.16), (  0.95,  -1.40)   Error: 3.13
Last SG, Last State: ( -0.28,   0.60), (  0.91,  -1.40)  SG Improvement:-0.00557 

Goal, Curr: (-1.15,  0.82), (  0.92,  -1.40)   Error: 3.04
Last SG, Last State: (  0.01,   0.60), (  0.87,  -1.40)  SG Improvement:-0.00628 

Goal, Curr: (-0.95,  0.79), (  0.92,  -1.40)   Error: 2.88
Last SG, Last State: ( -0.08,   0.60), (  0.86,  -1.40)  SG Improvement:0.00876 

Goal, Curr: (-1.11,  0.86), (  0.45,  -1.39)   Error: 2.74
Last SG, Last State: ( -0.17,   0.63), (  0.43,  -1.38)  SG Improvement:-0.01497 

Goal, Curr: (-0.86,  1.20), (  0.87,  -1.40)   Error: 3.12
Last SG, Last State: ( -0.41,   0.60), (  0.81,  -1.40)  SG Improvement:0.00279 

Goal, Curr: (-1.23,  1.19), (  0.75,  -1.40)   Error: 3.27
Last SG, Last State: ( -0.36,   0.60), (  0.70,  -1.40)  SG Improvement:0.00195 

Goal, Curr: (-0.94,  0.93), (  0.90,  -1.40)   Error: 2.97
Last SG, Last State: ( -0.18,   0.60), (  0.85,  -1.40)  SG Improvement:-0.00508 

Goal, Curr: (-0.85,  1.05), (  0.46,  -1.38)   Error: 2.76
Last SG, Last State: ( -0.30,   0.64), (  0.44,  -1.37)  SG Improvement:-0.01369 

Goal, Curr: (-0.94,  1.17), (  0.80,  -1.40)   Error: 3.10
Last SG, Last State: ( -0.42,   0.60), (  0.75,  -1.40)  SG Improvement:-0.00389 

Goal, Curr: (-1.15,  0.81), (  0.60,  -1.40)   Error: 2.82
Last SG, Last State: ( -0.33,   0.60), (  0.56,  -1.40)  SG Improvement:-0.00166 

