Using device: cpu
gc-2.0-noclip-normal-wall
Goal, Curr: (-0.94,  1.08), ( -1.40,  -0.60)   Error: 1.75
Last SG, Last State: ( -3.21,  -0.54), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.18,  1.17), ( -1.40,  -0.60)   Error: 1.78
Last SG, Last State: ( -3.24,  -0.46), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.05,  1.25), ( -1.40,  -0.60)   Error: 1.88
Last SG, Last State: ( -3.22,  -0.48), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.23,  1.02), ( -1.40,  -0.60)   Error: 1.63
Last SG, Last State: ( -3.24,  -0.48), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.12,  0.79), ( -1.40,  -0.60)   Error: 1.41
Last SG, Last State: ( -3.24,  -0.53), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-0.79,  0.92), ( -1.40,  -0.60)   Error: 1.64
Last SG, Last State: ( -3.19,  -0.58), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.07,  1.04), ( -1.40,  -0.60)   Error: 1.68
Last SG, Last State: ( -3.22,  -0.52), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-0.89,  1.06), ( -1.40,  -0.60)   Error: 1.73
Last SG, Last State: ( -3.20,  -0.55), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-0.98,  0.83), ( -1.40,  -0.60)   Error: 1.49
Last SG, Last State: ( -3.22,  -0.55), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-0.88,  1.16), ( -1.40,  -0.60)   Error: 1.84
Last SG, Last State: ( -3.19,  -0.53), ( -1.40,  -0.60)  SG Improvement:-0.00000 

episode:00100, mean:-519.64, std:41.97, median:-522.53, success:0.00
