Using device: cpu
gc-4.0-12-1
Goal, Curr: (-0.88,  0.82), (  1.40,   0.27)   Error: 2.34
Last SG, Last State: (  3.40,  -1.74), (  1.40,   0.24)  SG Improvement:0.01929 

Goal, Curr: (-0.76,  0.92), (  1.35,   0.17)   Error: 2.24
Last SG, Last State: (  3.40,  -1.73), (  1.40,   0.21)  SG Improvement:-0.09297 

Goal, Curr: (-1.04,  1.21), (  1.06,  -0.47)   Error: 2.68
Last SG, Last State: (  2.72,  -2.59), (  0.90,  -0.57)  SG Improvement:0.18542 

Goal, Curr: (-1.03,  1.03), (  1.32,  -0.11)   Error: 2.61
Last SG, Last State: (  3.18,  -2.16), (  1.25,  -0.18)  SG Improvement:0.04658 

Goal, Curr: (-1.03,  1.17), (  1.40,  -0.08)   Error: 2.73
Last SG, Last State: (  3.37,  -2.20), (  1.40,  -0.17)  SG Improvement:-0.59480 

Goal, Curr: (-1.21,  1.24), (  1.29,   0.57)   Error: 2.58
Last SG, Last State: (  3.40,  -1.36), (  1.39,   0.64)  SG Improvement:0.04014 

Goal, Curr: (-0.96,  1.23), (  1.04,  -0.28)   Error: 2.51
Last SG, Last State: (  2.78,  -2.37), (  0.93,  -0.38)  SG Improvement:0.27454 

Goal, Curr: (-0.87,  1.18), (  1.40,   0.33)   Error: 2.43
Last SG, Last State: (  3.40,  -1.79), (  1.40,   0.24)  SG Improvement:-0.01797 

Goal, Curr: (-1.07,  1.13), (  1.30,   0.56)   Error: 2.44
Last SG, Last State: (  3.40,  -1.37), (  1.39,   0.63)  SG Improvement:0.09544 

Goal, Curr: (-1.13,  1.04), (  1.40,   0.20)   Error: 2.66
Last SG, Last State: (  3.40,  -1.87), (  1.40,   0.13)  SG Improvement:-0.02767 

Goal, Curr: (-0.98,  1.01), (  1.40,   0.52)   Error: 2.43
Last SG, Last State: (  3.40,  -1.58), (  1.40,   0.44)  SG Improvement:-0.00411 

Goal, Curr: (-0.92,  1.21), (  1.40,   0.16)   Error: 2.54
