Using device: cpu
gc-4.0-12-2
Log radii:  [ 0.9207822  1.1386936 -1.3862944  1.0425466 -1.1312947 -1.2293634]
Adjusted log radii:  [1.91078222 2.12869358 1.60370564 2.53254676 1.85870528 1.26063657]
Goal, Curr: (-0.97,  1.17), ( -1.19,  -0.95)   Error: 2.13
Last SG, Last State: ( -3.14,   0.99), ( -1.16,  -0.99)  SG Improvement:0.01422 

Goal, Curr: (-1.05,  0.75), ( -1.40,  -0.60)   Error: 1.40
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:-0.00001 

Goal, Curr: (-1.23,  0.85), ( -1.40,  -0.60)   Error: 1.46
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.21,  0.84), ( -1.40,  -0.60)   Error: 1.45
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.95,  1.07), ( -1.40,  -0.60)   Error: 1.73
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.83,  1.02), ( -1.40,  -0.60)   Error: 1.72
Last SG, Last State: ( -3.33,   1.40), ( -1.40,  -0.60)  SG Improvement:0.05072 

Goal, Curr: (-1.22,  1.14), ( -1.40,  -0.60)   Error: 1.75
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.04,  1.17), ( -1.40,  -0.60)   Error: 1.80
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:-0.00999 

Goal, Curr: (-0.87,  0.90), ( -1.40,  -0.60)   Error: 1.59
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.17,  1.24), ( -1.40,  -0.60)   Error: 1.85
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.20,  1.00), ( -1.40,  -0.60)   Error: 1.61
Last SG, Last State: ( -3.37,   1.40), ( -1.40,  -0.60)  SG Improvement:-0.17337 

Goal, Curr: (-1.19,  1.24), ( -1.40,  -0.60)   Error: 1.85
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.11,  1.08), ( -1.40,  -0.60)   Error: 1.70
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.90,  1.24), ( -1.40,  -0.60)   Error: 1.91
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.17,  1.22), ( -1.40,  -0.60)   Error: 1.84
