Using device: cpu
gc-4.0-aaa-buffer60-expl0.5
Goal, Curr: (-1.04,  1.14), ( -1.40,  -0.61)   Error: 1.78
Last SG, Last State: ( -3.30,  -2.83), ( -1.40,  -0.70)  SG Improvement:-0.00292 

Goal, Curr: (-0.93,  1.09), ( -1.40,  -0.80)   Error: 1.94
Last SG, Last State: ( -3.28,  -3.14), ( -1.40,  -0.95)  SG Improvement:-0.00245 

Goal, Curr: (-1.22,  0.99), ( -1.40,  -0.80)   Error: 1.79
Last SG, Last State: ( -3.31,  -3.05), ( -1.40,  -0.93)  SG Improvement:-0.00436 

Goal, Curr: (-1.23,  0.79), ( -1.39,  -1.40)   Error: 2.19
Last SG, Last State: ( -2.90,  -3.40), ( -1.11,  -1.40)  SG Improvement:0.88070 

Goal, Curr: (-1.18,  1.09), ( -1.40,  -0.60)   Error: 1.70
Last SG, Last State: ( -3.31,  -2.69), ( -1.40,  -0.60)  SG Improvement:0.01454 

Goal, Curr: (-1.15,  1.24), ( -1.40,  -0.60)   Error: 1.86
Last SG, Last State: ( -3.30,  -2.60), ( -1.40,  -0.60)  SG Improvement:-0.14601 

Goal, Curr: (-0.76,  1.10), ( -1.40,  -0.60)   Error: 1.82
Last SG, Last State: ( -3.25,  -2.74), ( -1.40,  -0.60)  SG Improvement:-0.00343 

Goal, Curr: (-0.98,  0.95), ( -1.40,  -0.60)   Error: 1.61
Last SG, Last State: ( -3.27,  -2.79), ( -1.40,  -0.67)  SG Improvement:-0.00426 

Goal, Curr: (-1.08,  1.24), ( -1.27,  -1.40)   Error: 2.64
Last SG, Last State: ( -3.17,  -2.60), ( -1.24,  -1.40)  SG Improvement:0.67699 

Goal, Curr: (-1.25,  0.80), ( -1.40,  -0.60)   Error: 1.41
Last SG, Last State: ( -3.29,  -2.71), ( -1.40,  -0.61)  SG Improvement:-0.00348 

episode:00100, mean:0.26, std:0.35, median:0.40, success:0.00
Goal, Curr: (-0.80,  1.08), ( -0.55,  -1.40)   Error: 2.49
Last SG, Last State: (  1.09,  -3.40), ( -0.70,  -1.40)  SG Improvement:0.33851 

Goal, Curr: (-1.17,  0.89), ( -1.32,  -1.40)   Error: 2.29
Last SG, Last State: (  0.64,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.30883 

Goal, Curr: (-0.88,  0.87), ( -0.90,  -1.40)   Error: 2.27
Last SG, Last State: (  0.96,  -3.40), ( -0.95,  -1.40)  SG Improvement:0.39493 

Goal, Curr: (-0.99,  0.83), ( -1.19,  -1.40)   Error: 2.23
Last SG, Last State: (  0.60,  -3.40), ( -1.33,  -1.40)  SG Improvement:-0.09530 

