Using device: cpu
gc-4.0-ccc-buff20-0.5expl
Goal, Curr: (-1.20,  1.19), (  1.10,  -0.42)   Error: 2.81
Last SG, Last State: ( -1.45,  -2.68), (  0.80,  -0.57)  SG Improvement:-0.15368 

Goal, Curr: (-0.87,  1.02), (  1.40,   0.77)   Error: 2.28
Last SG, Last State: ( -0.60,  -1.51), (  1.40,   0.63)  SG Improvement:0.18382 

Goal, Curr: (-0.76,  1.01), (  0.33,  -0.83)   Error: 2.14
Last SG, Last State: ( -1.87,  -2.89), (  0.22,  -0.88)  SG Improvement:-0.13812 

Goal, Curr: (-0.76,  1.19), (  1.40,   0.33)   Error: 2.32
Last SG, Last State: ( -0.60,  -2.14), (  1.40,   0.10)  SG Improvement:-0.07522 

Goal, Curr: (-0.95,  0.93), (  0.50,  -0.74)   Error: 2.21
Last SG, Last State: ( -1.74,  -2.84), (  0.37,  -0.81)  SG Improvement:-0.14520 

Goal, Curr: (-1.12,  1.25), (  1.40,   0.57)   Error: 2.61
Last SG, Last State: ( -0.60,  -1.81), (  1.40,   0.40)  SG Improvement:0.22518 

Goal, Curr: (-0.96,  1.10), (  1.40,   0.49)   Error: 2.43
Last SG, Last State: ( -0.60,  -1.93), (  1.40,   0.29)  SG Improvement:0.14602 

Goal, Curr: (-1.08,  0.93), (  0.07,  -0.96)   Error: 2.21
Last SG, Last State: ( -2.06,  -2.98), (  0.00,  -0.98)  SG Improvement:-0.08894 

Goal, Curr: (-0.93,  0.97), (  0.57,  -0.70)   Error: 2.24
Last SG, Last State: ( -1.75,  -2.83), (  0.40,  -0.78)  SG Improvement:-0.19622 

Goal, Curr: (-1.11,  0.88), ( -1.34,  -1.27)   Error: 2.16
Last SG, Last State: ( -3.36,  -3.14), ( -1.40,  -1.28)  SG Improvement:0.54790 

episode:00100, mean:-0.23, std:0.20, median:-0.17, success:0.00
Goal, Curr: (-0.78,  0.97), ( -0.51,  -1.40)   Error: 2.38
Last SG, Last State: ( -2.85,  -3.40), ( -0.74,  -1.39)  SG Improvement:2.16798 

