Using device: cpu
gc-4.0-ddd-buffer10-expl0.5
Goal, Curr: (-0.98,  1.04), (  1.40,  -1.40)   Error: 3.40
Last SG, Last State: (  3.40,  -3.40), (  1.40,  -1.40)  SG Improvement:0.00001 

Goal, Curr: (-1.14,  0.90), (  1.40,  -1.40)   Error: 3.42
Last SG, Last State: (  3.40,  -3.40), (  1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.02,  0.92), (  1.40,  -1.40)   Error: 3.35
Last SG, Last State: (  3.40,  -3.40), (  1.40,  -1.40)  SG Improvement:-0.00001 

Goal, Curr: (-0.83,  0.80), (  1.40,  -1.40)   Error: 3.13
Last SG, Last State: (  3.40,  -3.40), (  1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.24,  0.78), (  1.40,  -1.40)   Error: 3.43
Last SG, Last State: (  3.40,  -3.40), (  1.40,  -1.40)  SG Improvement:0.00001 

Goal, Curr: (-1.13,  1.10), (  1.40,  -1.40)   Error: 3.56
Last SG, Last State: (  3.40,  -3.40), (  1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.18,  0.77), (  1.40,  -1.40)   Error: 3.37
Last SG, Last State: (  3.40,  -3.40), (  1.40,  -1.40)  SG Improvement:0.00001 

Goal, Curr: (-0.84,  1.04), (  1.40,  -1.40)   Error: 3.31
Last SG, Last State: (  3.40,  -3.40), (  1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.20,  1.08), (  1.40,  -1.40)   Error: 3.59
Last SG, Last State: (  3.40,  -3.40), (  1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-0.95,  1.07), (  1.40,  -1.40)   Error: 3.41
Last SG, Last State: (  3.40,  -3.40), (  1.40,  -1.40)  SG Improvement:0.00000 

episode:00100, mean:-1.36, std:0.21, median:-1.34, success:0.00
Goal, Curr: (-1.14,  1.04), (  1.40,  -1.40)   Error: 3.52
Last SG, Last State: (  3.40,   0.59), (  1.40,  -1.40)  SG Improvement:-0.00243 

Goal, Curr: (-0.80,  1.21), (  1.40,  -1.40)   Error: 3.41
Last SG, Last State: (  3.39,   0.59), (  1.40,  -1.40)  SG Improvement:-0.01323 

Goal, Curr: (-0.78,  1.18), (  1.26,  -1.40)   Error: 3.29
Last SG, Last State: (  3.05,   0.54), (  1.17,  -1.40)  SG Improvement:-0.00486 

Goal, Curr: (-1.19,  1.17), (  1.40,  -1.40)   Error: 3.65
Last SG, Last State: (  3.40,   0.59), (  1.40,  -1.40)  SG Improvement:-0.00057 

Goal, Curr: (-0.90,  1.05), (  1.40,  -1.40)   Error: 3.36
Last SG, Last State: (  3.38,   0.60), (  1.40,  -1.40)  SG Improvement:-0.03334 

Goal, Curr: (-1.07,  0.95), (  1.40,  -1.40)   Error: 3.40
Last SG, Last State: (  3.40,   0.59), (  1.40,  -1.40)  SG Improvement:-0.00062 

Goal, Curr: (-1.06,  0.79), (  1.40,  -1.40)   Error: 3.30
Last SG, Last State: (  3.40,   0.59), (  1.40,  -1.40)  SG Improvement:-0.00012 

Goal, Curr: (-1.19,  0.92), (  1.40,  -1.40)   Error: 3.47
Last SG, Last State: (  3.33,   0.52), (  1.40,  -1.40)  SG Improvement:-1.16647 

Goal, Curr: (-1.07,  0.79), (  1.40,  -1.40)   Error: 3.30
Last SG, Last State: (  3.39,   0.59), (  1.40,  -1.40)  SG Improvement:-0.04432 

Goal, Curr: (-0.96,  0.88), (  1.40,  -1.40)   Error: 3.28
Last SG, Last State: (  3.40,   0.59), (  1.40,  -1.40)  SG Improvement:-0.00058 

episode:00200, mean:-1.40, std:0.27, median:-1.46, success:0.00
Goal, Curr: (-0.79,  1.24), (  0.15,  -1.40)   Error: 2.80
Last SG, Last State: ( -1.85,   0.60), (  0.15,  -1.40)  SG Improvement:-0.00135 

Goal, Curr: (-1.03,  0.86), (  0.13,  -1.40)   Error: 2.54
Last SG, Last State: ( -1.89,   0.60), (  0.12,  -1.40)  SG Improvement:-0.01329 

Goal, Curr: (-0.91,  1.09), (  0.14,  -1.40)   Error: 2.70
Last SG, Last State: ( -1.86,   0.60), (  0.14,  -1.40)  SG Improvement:-0.00537 

Goal, Curr: (-1.17,  0.95), (  0.11,  -1.40)   Error: 2.67
Last SG, Last State: ( -1.91,   0.60), (  0.10,  -1.40)  SG Improvement:-0.01922 

Goal, Curr: (-0.86,  1.02), (  0.11,  -1.40)   Error: 2.61
Last SG, Last State: ( -1.90,   0.60), (  0.11,  -1.40)  SG Improvement:-0.01741 

Goal, Curr: (-0.95,  1.01), (  0.15,  -1.40)   Error: 2.65
Last SG, Last State: ( -1.85,   0.60), (  0.15,  -1.40)  SG Improvement:0.00100 

Goal, Curr: (-0.97,  1.20), (  0.14,  -1.40)   Error: 2.83
Last SG, Last State: ( -1.86,   0.60), (  0.14,  -1.40)  SG Improvement:-0.00424 

Goal, Curr: (-1.18,  0.86), (  0.15,  -1.40)   Error: 2.62
Last SG, Last State: ( -1.85,   0.60), (  0.15,  -1.40)  SG Improvement:-0.00012 

Goal, Curr: (-1.20,  0.94), (  1.40,  -1.40)   Error: 3.49
Last SG, Last State: (  3.40,   0.26), (  1.40,  -1.40)  SG Improvement:-0.00007 

Goal, Curr: (-0.80,  1.05), (  0.12,  -1.40)   Error: 2.62
Last SG, Last State: ( -1.89,   0.60), (  0.11,  -1.40)  SG Improvement:-0.01521 

episode:00300, mean:-0.68, std:0.34, median:-0.58, success:0.00
Goal, Curr: (-0.78,  0.82), ( -0.20,  -1.40)   Error: 2.30
Last SG, Last State: ( -2.21,   0.60), ( -0.23,  -1.35)  SG Improvement:0.03792 

Goal, Curr: (-0.79,  1.16), (  0.22,  -1.40)   Error: 2.75
Last SG, Last State: ( -1.87,   0.60), (  0.22,  -1.40)  SG Improvement:0.98951 

Goal, Curr: (-1.09,  0.88), ( -0.13,  -1.40)   Error: 2.47
Last SG, Last State: ( -2.20,   0.54), ( -0.12,  -1.40)  SG Improvement:0.43297 

Goal, Curr: (-1.17,  0.97), (  0.01,  -1.40)   Error: 2.65
Last SG, Last State: ( -1.79,  -1.23), ( -0.03,  -1.40)  SG Improvement:0.01936 

Goal, Curr: (-0.97,  0.77), ( -0.08,  -1.40)   Error: 2.35
Last SG, Last State: ( -2.13,   0.59), ( -0.09,  -1.40)  SG Improvement:0.43815 

Goal, Curr: (-0.91,  0.83), ( -0.04,  -1.40)   Error: 2.39
Last SG, Last State: ( -2.10,   0.59), ( -0.05,  -1.40)  SG Improvement:0.44261 

Goal, Curr: (-0.89,  0.87), ( -0.08,  -1.40)   Error: 2.41
Last SG, Last State: (  1.85,  -2.09), ( -0.13,  -1.40)  SG Improvement:0.06880 

Goal, Curr: (-1.17,  0.81), (  0.52,  -1.40)   Error: 2.78
Last SG, Last State: ( -1.54,  -1.36), (  0.44,  -1.40)  SG Improvement:0.00790 

Goal, Curr: (-1.02,  1.05), ( -0.03,  -1.40)   Error: 2.64
Last SG, Last State: (  1.32,  -1.75), ( -0.07,  -1.40)  SG Improvement:0.05359 

Goal, Curr: (-0.79,  1.14), (  0.03,  -1.40)   Error: 2.67
Last SG, Last State: (  1.53,  -1.82), ( -0.02,  -1.40)  SG Improvement:0.05151 

episode:00400, mean:-0.58, std:0.25, median:-0.52, success:0.00
Goal, Curr: (-0.79,  1.04), ( -1.24,  -1.40)   Error: 2.48
Last SG, Last State: ( -3.23,  -2.73), ( -1.24,  -1.40)  SG Improvement:-0.00024 

Goal, Curr: (-0.90,  0.88), ( -1.24,  -1.40)   Error: 2.30
Last SG, Last State: ( -3.22,  -2.74), ( -1.23,  -1.40)  SG Improvement:-0.00023 

Goal, Curr: (-0.91,  0.95), ( -1.18,  -1.40)   Error: 2.36
Last SG, Last State: ( -3.15,  -2.73), ( -1.17,  -1.40)  SG Improvement:-0.00013 

Goal, Curr: (-1.03,  0.89), ( -1.14,  -1.40)   Error: 2.29
Last SG, Last State: ( -3.11,  -2.73), ( -1.13,  -1.40)  SG Improvement:-0.00011 

Goal, Curr: (-0.76,  1.23), ( -1.29,  -1.40)   Error: 2.68
Last SG, Last State: ( -3.28,  -2.70), ( -1.29,  -1.40)  SG Improvement:-0.00019 

Goal, Curr: (-0.84,  1.17), ( -1.27,  -1.40)   Error: 2.60
Last SG, Last State: ( -3.26,  -2.71), ( -1.27,  -1.40)  SG Improvement:-0.00023 

Goal, Curr: (-0.81,  1.06), ( -1.19,  -1.40)   Error: 2.49
Last SG, Last State: ( -3.16,  -2.73), ( -1.17,  -1.40)  SG Improvement:-0.00015 

Goal, Curr: (-0.97,  0.91), ( -1.21,  -1.40)   Error: 2.32
Last SG, Last State: ( -3.19,  -2.73), ( -1.20,  -1.40)  SG Improvement:-0.00023 

Goal, Curr: (-0.87,  1.07), ( -1.25,  -1.40)   Error: 2.50
Last SG, Last State: ( -3.24,  -2.72), ( -1.25,  -1.40)  SG Improvement:-0.00025 

Goal, Curr: (-1.02,  1.06), ( -1.05,  -1.40)   Error: 2.46
Last SG, Last State: ( -3.04,  -2.89), ( -1.05,  -1.40)  SG Improvement:0.00041 

episode:00500, mean:-0.45, std:0.09, median:-0.45, success:0.00
Goal, Curr: (-0.83,  0.99), ( -1.11,  -1.40)   Error: 2.40
Last SG, Last State: ( -3.12,  -2.66), ( -1.11,  -1.40)  SG Improvement:-0.00006 

Goal, Curr: (-1.23,  0.75), ( -1.03,  -1.40)   Error: 2.16
Last SG, Last State: ( -3.03,  -2.66), ( -1.03,  -1.40)  SG Improvement:-0.00003 

Goal, Curr: (-0.81,  1.00), ( -1.18,  -1.40)   Error: 2.43
Last SG, Last State: ( -3.19,  -2.65), ( -1.19,  -1.40)  SG Improvement:-0.00005 

Goal, Curr: (-1.01,  0.77), ( -1.29,  -1.40)   Error: 2.19
Last SG, Last State: ( -3.30,  -2.66), ( -1.29,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-0.92,  1.02), ( -1.05,  -1.40)   Error: 2.42
Last SG, Last State: ( -3.05,  -2.64), ( -1.05,  -1.40)  SG Improvement:-0.00004 

Goal, Curr: (-0.91,  1.06), ( -1.02,  -1.40)   Error: 2.47
Last SG, Last State: ( -3.02,  -2.63), ( -1.02,  -1.40)  SG Improvement:-0.00001 

Goal, Curr: (-1.23,  0.87), ( -1.09,  -1.40)   Error: 2.27
Last SG, Last State: ( -3.10,  -2.66), ( -1.09,  -1.40)  SG Improvement:-0.00006 

Goal, Curr: (-1.06,  1.20), ( -0.96,  -1.40)   Error: 2.61
Last SG, Last State: ( -2.96,  -2.59), ( -0.96,  -1.40)  SG Improvement:0.00005 

Goal, Curr: (-1.09,  0.81), ( -1.23,  -1.40)   Error: 2.21
Last SG, Last State: ( -3.23,  -2.67), ( -1.23,  -1.40)  SG Improvement:-0.00004 

Goal, Curr: (-1.04,  0.91), ( -1.03,  -1.40)   Error: 2.31
Last SG, Last State: ( -3.03,  -2.65), ( -1.03,  -1.40)  SG Improvement:-0.00003 

episode:00600, mean:-0.37, std:0.10, median:-0.34, success:0.00
Goal, Curr: (-1.22,  0.92), ( -0.71,  -1.40)   Error: 2.38
Last SG, Last State: (  1.27,  -2.79), ( -0.76,  -1.40)  SG Improvement:-0.02754 

Goal, Curr: (-0.93,  0.97), ( -1.33,  -1.40)   Error: 2.40
Last SG, Last State: (  0.60,   0.56), ( -1.31,  -1.40)  SG Improvement:0.93138 

Goal, Curr: (-0.83,  1.09), ( -0.66,  -1.40)   Error: 2.49
Last SG, Last State: (  1.32,  -2.93), ( -0.71,  -1.40)  SG Improvement:-0.01735 

Goal, Curr: (-0.80,  0.77), ( -1.05,  -1.40)   Error: 2.18
Last SG, Last State: (  0.91,  -3.18), ( -1.11,  -1.40)  SG Improvement:-0.11233 

Goal, Curr: (-1.05,  0.87), ( -0.89,  -1.40)   Error: 2.27
Last SG, Last State: (  1.14,  -2.12), ( -0.91,  -1.40)  SG Improvement:-0.05304 

Goal, Curr: (-1.16,  0.86), ( -0.98,  -1.40)   Error: 2.27
Last SG, Last State: (  1.01,   0.51), ( -0.95,  -1.40)  SG Improvement:1.13417 

Goal, Curr: (-1.16,  0.90), ( -0.78,  -1.40)   Error: 2.33
Last SG, Last State: (  1.21,   0.60), ( -0.75,  -1.40)  SG Improvement:1.05952 

Goal, Curr: (-1.07,  0.89), ( -1.27,  -0.98)   Error: 1.87
