Using device: cpu
gc-4.0-fin3
Goal, Curr: (-0.81,  1.17), (  1.40,  -0.10)   Error: 2.55
Last SG, Last State: ( -0.60,  -2.22), (  1.40,  -0.11)  SG Improvement:0.03441 

Goal, Curr: (-1.03,  0.96), (  1.40,  -0.37)   Error: 2.77
Last SG, Last State: ( -0.60,  -2.38), (  1.40,  -0.37)  SG Improvement:-0.00021 

Goal, Curr: (-0.84,  1.01), (  1.40,  -0.09)   Error: 2.50
Last SG, Last State: ( -0.60,  -2.21), (  1.40,  -0.10)  SG Improvement:0.03486 

Goal, Curr: (-1.02,  1.00), (  1.40,  -0.20)   Error: 2.70
Last SG, Last State: ( -0.60,  -2.32), (  1.40,  -0.21)  SG Improvement:0.03421 

Goal, Curr: (-0.79,  1.17), (  1.40,  -0.16)   Error: 2.56
Last SG, Last State: ( -0.60,  -2.27), (  1.40,  -0.17)  SG Improvement:0.03459 

Goal, Curr: (-0.94,  1.19), (  1.40,  -0.16)   Error: 2.70
Last SG, Last State: ( -0.60,  -2.29), (  1.40,  -0.18)  SG Improvement:0.03339 

Goal, Curr: (-1.21,  1.25), ( -0.07,  -0.60)   Error: 2.17
Last SG, Last State: ( -2.07,  -2.60), ( -0.07,  -0.60)  SG Improvement:0.00141 

Goal, Curr: (-0.76,  1.08), (  1.40,  -0.00)   Error: 2.42
Last SG, Last State: ( -0.60,  -2.12), (  1.40,  -0.11)  SG Improvement:0.02230 

Goal, Curr: (-0.76,  1.00), (  1.40,  -0.13)   Error: 2.44
Last SG, Last State: ( -0.60,  -2.25), (  1.40,  -0.24)  SG Improvement:0.02320 

Goal, Curr: (-1.15,  1.21), (  0.86,  -0.61)   Error: 2.71
Last SG, Last State: ( -1.53,  -2.61), (  0.66,  -0.61)  SG Improvement:-0.13377 

Goal, Curr: (-0.76,  0.84), (  1.40,   0.12)   Error: 2.27
Last SG, Last State: ( -0.60,  -1.97), (  1.40,   0.03)  SG Improvement:0.01980 

Goal, Curr: (-0.84,  0.76), (  1.40,  -0.04)   Error: 2.38
Last SG, Last State: ( -0.60,  -2.15), (  1.40,  -0.14)  SG Improvement:0.02249 

Goal, Curr: (-0.76,  0.85), (  1.40,  -0.11)   Error: 2.37
Last SG, Last State: ( -0.60,  -2.23), (  1.40,  -0.22)  SG Improvement:0.02295 

Goal, Curr: (-1.05,  0.97), (  1.40,  -0.06)   Error: 2.66
Last SG, Last State: ( -0.60,  -2.15), (  1.40,  -0.16)  SG Improvement:0.01997 

Goal, Curr: (-1.05,  1.05), (  1.40,  -0.43)   Error: 2.86
Last SG, Last State: ( -0.60,  -2.45), (  1.40,  -0.44)  SG Improvement:0.00170 

Goal, Curr: (-1.11,  0.81), (  1.40,  -0.24)   Error: 2.71
Last SG, Last State: ( -0.60,  -2.36), (  1.40,  -0.35)  SG Improvement:0.02325 

Goal, Curr: (-1.07,  1.23), (  0.70,  -0.57)   Error: 2.53
Last SG, Last State: ( -1.68,  -2.60), (  0.51,  -0.60)  SG Improvement:-0.12022 

Goal, Curr: (-0.95,  1.18), (  1.40,  -0.70)   Error: 3.01
Last SG, Last State: ( -0.59,  -2.70), (  1.40,  -0.72)  SG Improvement:-1.59336 

Goal, Curr: (-1.05,  0.80), (  1.40,  -0.35)   Error: 2.71
Last SG, Last State: ( -0.59,  -2.47), (  1.40,  -0.36)  SG Improvement:0.28424 

Goal, Curr: (-0.86,  0.96), (  1.40,  -0.23)   Error: 2.56
Last SG, Last State: ( -0.60,  -2.36), (  1.40,  -0.34)  SG Improvement:0.02411 

Goal, Curr: (-0.89,  1.17), (  1.40,  -0.28)   Error: 2.70
Last SG, Last State: ( -0.60,  -2.40), (  1.40,  -0.29)  SG Improvement:0.03364 

Goal, Curr: (-0.84,  0.86), (  1.40,  -0.19)   Error: 2.48
Last SG, Last State: ( -0.60,  -2.31), (  1.40,  -0.30)  SG Improvement:0.02330 

Goal, Curr: (-0.87,  1.24), (  1.40,   0.02)   Error: 2.58
Last SG, Last State: ( -0.60,  -2.08), (  1.40,   0.02)  SG Improvement:0.03624 

Goal, Curr: (-0.81,  0.92), (  1.40,  -0.05)   Error: 2.42
Last SG, Last State: ( -0.60,  -2.16), (  1.40,  -0.06)  SG Improvement:0.03524 

Goal, Curr: (-0.83,  1.18), (  1.40,  -0.20)   Error: 2.62
Last SG, Last State: ( -0.60,  -2.32), (  1.40,  -0.31)  SG Improvement:0.02331 

Goal, Curr: (-0.90,  0.99), (  1.40,   0.04)   Error: 2.49
Last SG, Last State: ( -0.60,  -2.07), (  1.40,  -0.06)  SG Improvement:0.02184 

Goal, Curr: (-0.89,  0.83), (  1.40,  -0.00)   Error: 2.44
Last SG, Last State: ( -0.60,  -2.11), (  1.40,  -0.00)  SG Improvement:0.03592 

Goal, Curr: (-0.81,  1.02), (  1.40,  -0.47)   Error: 2.66
Last SG, Last State: ( -0.60,  -2.59), (  1.40,  -0.49)  SG Improvement:0.02187 

Goal, Curr: (-0.86,  1.17), (  1.40,  -0.19)   Error: 2.63
Last SG, Last State: ( -0.60,  -2.31), (  1.40,  -0.20)  SG Improvement:0.03404 

Goal, Curr: (-1.18,  0.92), (  1.40,  -0.07)   Error: 2.76
Last SG, Last State: ( -0.60,  -2.19), (  1.40,  -0.08)  SG Improvement:0.03504 

Goal, Curr: (-1.08,  0.79), (  1.40,   0.14)   Error: 2.56
Last SG, Last State: ( -0.60,  -1.95), (  1.40,   0.05)  SG Improvement:0.02068 

Goal, Curr: (-0.75,  1.14), (  1.40,   0.11)   Error: 2.38
Last SG, Last State: ( -0.60,  -1.99), (  1.40,   0.01)  SG Improvement:0.02115 

Goal, Curr: (-0.81,  0.97), (  1.40,  -0.12)   Error: 2.46
Last SG, Last State: ( -0.60,  -2.24), (  1.40,  -0.23)  SG Improvement:0.02299 

Goal, Curr: (-0.79,  1.10), (  1.40,   0.21)   Error: 2.36
Last SG, Last State: ( -0.60,  -1.87), (  1.40,   0.22)  SG Improvement:0.03963 

Goal, Curr: (-0.90,  0.93), (  1.40,  -0.09)   Error: 2.52
Last SG, Last State: ( -0.60,  -2.20), (  1.40,  -0.09)  SG Improvement:0.03491 

Goal, Curr: (-1.20,  0.99), (  1.40,  -0.46)   Error: 2.97
Last SG, Last State: ( -0.60,  -2.60), (  1.40,  -0.59)  SG Improvement:-0.01591 

