Using device: cpu
gc-4.0-fin4
Log radii:  [ 0.06273367 -0.58344775  0.6833232   0.20130941  0.5774307   0.5944172 ]
Adjusted log radii:  [0.05273367 1.90655231 1.67332315 2.19130945 1.06743073 1.58441722]
Goal, Curr: (-1.09,  1.10), ( -1.40,  -0.60)   Error: 1.72
Last SG, Last State: (  0.60,  -0.18), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.76,  1.04), ( -1.40,  -0.60)   Error: 1.77
Last SG, Last State: (  0.60,  -0.10), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-0.81,  1.04), ( -1.40,  -0.60)   Error: 1.74
Last SG, Last State: (  0.60,  -0.12), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.10,  0.91), ( -1.40,  -0.60)   Error: 1.54
Last SG, Last State: (  0.60,  -0.28), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.79,  0.90), ( -1.40,  -0.60)   Error: 1.62
Last SG, Last State: (  0.60,  -0.16), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.15,  1.07), ( -1.40,  -0.60)   Error: 1.68
Last SG, Last State: (  0.60,  -0.22), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.91,  1.04), ( -1.40,  -0.60)   Error: 1.72
Last SG, Last State: (  0.60,  -0.15), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.01,  1.09), ( -1.40,  -0.60)   Error: 1.73
Last SG, Last State: (  0.60,  -0.37), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.16,  1.15), ( -1.40,  -0.60)   Error: 1.77
Last SG, Last State: (  0.60,  -0.38), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.87,  1.09), ( -1.40,  -0.60)   Error: 1.77
Last SG, Last State: (  0.60,  -0.32), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.84,  1.16), ( -1.40,  -0.60)   Error: 1.85
Last SG, Last State: (  0.60,  -0.07), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.88,  0.78), ( -1.40,  -0.60)   Error: 1.48
Last SG, Last State: (  0.60,  -0.24), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.20,  1.19), ( -1.40,  -0.60)   Error: 1.80
Last SG, Last State: (  0.60,  -0.17), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.22,  0.84), ( -1.40,  -0.60)   Error: 1.45
Last SG, Last State: (  0.60,  -0.36), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.02,  0.95), ( -1.40,  -0.60)   Error: 1.59
Last SG, Last State: (  0.60,  -0.23), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.88,  1.20), ( -1.40,  -0.60)   Error: 1.88
Last SG, Last State: (  0.60,  -0.07), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.13,  1.10), ( -1.40,  -0.60)   Error: 1.72
Last SG, Last State: (  0.60,  -0.19), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.18,  1.04), ( -1.40,  -0.60)   Error: 1.66
Last SG, Last State: (  0.60,  -0.24), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.93,  1.14), ( -1.40,  -0.60)   Error: 1.81
Last SG, Last State: (  0.60,  -0.11), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.19,  1.14), ( -1.40,  -0.60)   Error: 1.75
Last SG, Last State: (  0.60,  -0.20), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.91,  0.93), ( -1.40,  -0.60)   Error: 1.61
Last SG, Last State: (  0.60,  -0.20), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.80,  0.84), ( -1.40,  -0.60)   Error: 1.56
Last SG, Last State: (  0.60,  -0.19), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.85,  0.89), ( -1.40,  -0.60)   Error: 1.59
Last SG, Last State: (  0.60,  -0.19), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-0.97,  0.85), ( -1.40,  -0.60)   Error: 1.51
Last SG, Last State: (  0.60,  -0.26), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-0.87,  0.90), ( -1.40,  -0.60)   Error: 1.59
Last SG, Last State: (  0.60,  -0.20), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.03,  1.08), ( -1.40,  -0.60)   Error: 1.72
Last SG, Last State: (  0.60,  -0.17), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.09,  1.00), ( -1.40,  -0.60)   Error: 1.63
Last SG, Last State: (  0.60,  -0.45), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.24,  0.82), ( -1.40,  -0.60)   Error: 1.43
