Using device: cpu
gc-4.0-fin6
Goal, Curr: (-1.00,  1.13), ( -0.70,  -1.18)   Error: 2.33
Last SG, Last State: ( -2.70,  -3.18), ( -0.70,  -1.18)  SG Improvement:0.01206 

Goal, Curr: (-1.22,  1.03), ( -0.51,  -0.98)   Error: 2.13
Last SG, Last State: ( -2.51,  -2.98), ( -0.51,  -0.98)  SG Improvement:-0.00000 

Goal, Curr: (-1.12,  1.05), ( -0.56,  -1.13)   Error: 2.24
Last SG, Last State: ( -2.56,  -3.13), ( -0.56,  -1.13)  SG Improvement:0.00000 

Goal, Curr: (-0.97,  0.91), ( -0.59,  -1.13)   Error: 2.07
Last SG, Last State: ( -2.59,  -3.13), ( -0.59,  -1.13)  SG Improvement:0.00000 

Goal, Curr: (-1.23,  1.22), ( -0.81,  -1.01)   Error: 2.27
Last SG, Last State: ( -2.81,  -3.01), ( -0.81,  -1.01)  SG Improvement:0.00000 

Goal, Curr: (-0.92,  1.00), ( -0.80,  -1.00)   Error: 2.00
Last SG, Last State: ( -2.80,  -3.00), ( -0.80,  -1.00)  SG Improvement:-0.00073 

Goal, Curr: (-0.94,  0.86), ( -0.78,  -0.87)   Error: 1.74
Last SG, Last State: ( -2.78,  -2.87), ( -0.78,  -0.87)  SG Improvement:-0.00022 

Goal, Curr: (-0.78,  0.89), ( -0.44,  -0.82)   Error: 1.75
Last SG, Last State: ( -2.44,  -2.82), ( -0.44,  -0.82)  SG Improvement:-0.00000 

Goal, Curr: (-1.05,  0.93), ( -0.30,  -0.60)   Error: 1.71
Last SG, Last State: ( -2.30,  -2.60), ( -0.30,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.99,  1.24), ( -0.85,  -0.95)   Error: 2.19
Last SG, Last State: ( -2.85,  -2.95), ( -0.85,  -0.95)  SG Improvement:-0.00043 

Goal, Curr: (-1.14,  0.89), ( -0.68,  -1.04)   Error: 1.99
Last SG, Last State: ( -2.68,  -3.04), ( -0.68,  -1.04)  SG Improvement:-0.00000 

Goal, Curr: (-1.17,  1.24), ( -0.55,  -0.84)   Error: 2.17
Last SG, Last State: ( -2.55,  -2.84), ( -0.55,  -0.84)  SG Improvement:-0.00000 

Goal, Curr: (-1.25,  1.07), (  0.67,  -0.47)   Error: 2.46
Last SG, Last State: ( -1.33,  -2.47), (  0.67,  -0.47)  SG Improvement:-0.00285 

Goal, Curr: (-1.12,  0.84), ( -0.79,  -1.05)   Error: 1.92
Last SG, Last State: ( -2.79,  -3.05), ( -0.79,  -1.05)  SG Improvement:-0.00065 

Goal, Curr: (-0.82,  1.20), ( -0.66,  -1.03)   Error: 2.24
Last SG, Last State: ( -2.66,  -3.03), ( -0.66,  -1.03)  SG Improvement:-0.00000 

Goal, Curr: (-1.17,  1.03), ( -0.77,  -1.11)   Error: 2.18
Last SG, Last State: ( -2.77,  -3.11), ( -0.77,  -1.11)  SG Improvement:-0.00000 

Goal, Curr: (-1.19,  1.07), ( -0.52,  -0.93)   Error: 2.11
Last SG, Last State: ( -2.52,  -2.93), ( -0.52,  -0.93)  SG Improvement:-0.00000 

Goal, Curr: (-1.09,  0.81), ( -0.66,  -0.70)   Error: 1.57
Last SG, Last State: ( -2.66,  -2.70), ( -0.66,  -0.70)  SG Improvement:-0.00000 

Goal, Curr: (-1.21,  0.92), ( -0.62,  -1.33)   Error: 2.33
Last SG, Last State: ( -2.62,  -3.33), ( -0.62,  -1.33)  SG Improvement:0.00000 

Goal, Curr: (-1.09,  0.98), ( -0.60,  -1.01)   Error: 2.04
Last SG, Last State: ( -2.60,  -3.01), ( -0.60,  -1.01)  SG Improvement:0.00000 

Goal, Curr: (-1.20,  0.84), ( -0.56,  -0.69)   Error: 1.65
Last SG, Last State: ( -2.56,  -2.69), ( -0.56,  -0.69)  SG Improvement:-0.00000 

Goal, Curr: (-1.07,  1.09), (  0.67,  -0.45)   Error: 2.32
Last SG, Last State: ( -1.33,  -2.45), (  0.67,  -0.45)  SG Improvement:-0.00342 

Goal, Curr: (-0.85,  1.12), ( -0.65,  -1.07)   Error: 2.20
Last SG, Last State: ( -2.65,  -3.07), ( -0.65,  -1.07)  SG Improvement:-0.00000 

Goal, Curr: (-0.91,  0.79), ( -0.51,  -0.60)   Error: 1.45
Last SG, Last State: ( -2.51,  -2.60), ( -0.51,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.00,  0.94), ( -0.63,  -1.06)   Error: 2.04
Last SG, Last State: ( -2.63,  -3.06), ( -0.63,  -1.06)  SG Improvement:0.00000 

Goal, Curr: (-1.20,  1.03), ( -0.76,  -1.05)   Error: 2.13
Last SG, Last State: ( -2.76,  -3.05), ( -0.76,  -1.05)  SG Improvement:-0.00000 

Goal, Curr: (-1.17,  0.79), ( -0.36,  -0.99)   Error: 1.96
Last SG, Last State: ( -2.36,  -2.99), ( -0.36,  -0.99)  SG Improvement:0.00000 

Goal, Curr: (-1.21,  1.11), ( -0.66,  -0.92)   Error: 2.11
Last SG, Last State: ( -2.66,  -2.92), ( -0.66,  -0.92)  SG Improvement:0.00000 

Goal, Curr: (-0.77,  0.94), ( -0.80,  -0.84)   Error: 1.78
Last SG, Last State: ( -2.80,  -2.84), ( -0.80,  -0.84)  SG Improvement:-0.00146 

Goal, Curr: (-0.78,  1.11), ( -0.80,  -0.95)   Error: 2.06
Last SG, Last State: ( -2.80,  -2.95), ( -0.80,  -0.95)  SG Improvement:-0.00071 

Goal, Curr: (-1.17,  1.04), ( -0.41,  -0.89)   Error: 2.07
Last SG, Last State: ( -2.41,  -2.89), ( -0.41,  -0.89)  SG Improvement:0.00000 

Goal, Curr: (-0.86,  1.10), ( -0.84,  -0.92)   Error: 2.02
Last SG, Last State: ( -2.85,  -2.93), ( -0.84,  -0.93)  SG Improvement:-0.00358 

Goal, Curr: (-1.17,  1.25), ( -0.38,  -0.99)   Error: 2.37
Last SG, Last State: ( -2.38,  -2.99), ( -0.38,  -0.99)  SG Improvement:0.00000 

Goal, Curr: (-1.12,  1.17), ( -0.84,  -0.97)   Error: 2.16
Last SG, Last State: ( -2.84,  -2.97), ( -0.84,  -0.97)  SG Improvement:-0.00010 

Goal, Curr: (-1.02,  0.85), ( -0.66,  -0.99)   Error: 1.88
Last SG, Last State: ( -2.66,  -2.99), ( -0.66,  -0.99)  SG Improvement:-0.00000 

Goal, Curr: (-1.15,  0.94), ( -0.86,  -0.94)   Error: 1.90
Last SG, Last State: ( -2.86,  -2.95), ( -0.86,  -0.94)  SG Improvement:-0.00323 

Goal, Curr: (-0.84,  1.23), ( -0.57,  -0.93)   Error: 2.18
Last SG, Last State: ( -2.57,  -2.93), ( -0.57,  -0.93)  SG Improvement:0.00000 

Goal, Curr: (-0.96,  0.94), ( -0.82,  -0.84)   Error: 1.78
Last SG, Last State: ( -2.82,  -2.84), ( -0.82,  -0.84)  SG Improvement:-0.00078 

Goal, Curr: (-0.96,  0.98), ( -0.76,  -1.02)   Error: 2.01
Last SG, Last State: ( -2.76,  -3.02), ( -0.76,  -1.02)  SG Improvement:-0.00001 

Goal, Curr: (-0.83,  1.07), ( -0.83,  -0.88)   Error: 1.95
Last SG, Last State: ( -2.83,  -2.88), ( -0.83,  -0.88)  SG Improvement:-0.00224 

Goal, Curr: (-0.78,  0.86), ( -0.70,  -0.94)   Error: 1.81
Last SG, Last State: ( -2.70,  -2.94), ( -0.70,  -0.94)  SG Improvement:0.00000 

Goal, Curr: (-0.96,  1.00), ( -0.78,  -0.86)   Error: 1.87
Last SG, Last State: ( -2.78,  -2.86), ( -0.78,  -0.86)  SG Improvement:-0.00000 

Goal, Curr: (-1.04,  1.18), (  0.65,  -0.42)   Error: 2.34
Last SG, Last State: ( -1.35,  -2.43), (  0.65,  -0.42)  SG Improvement:-0.00247 

Goal, Curr: (-0.77,  0.91), ( -0.45,  -0.93)   Error: 1.86
Last SG, Last State: ( -2.45,  -2.93), ( -0.45,  -0.93)  SG Improvement:-0.00000 

Goal, Curr: (-0.89,  0.87), ( -0.69,  -1.06)   Error: 1.94
Last SG, Last State: ( -2.69,  -3.06), ( -0.68,  -1.06)  SG Improvement:0.00518 

Goal, Curr: (-1.04,  1.16), ( -0.71,  -1.03)   Error: 2.22
Last SG, Last State: ( -2.71,  -3.03), ( -0.71,  -1.03)  SG Improvement:0.00000 

Goal, Curr: (-0.86,  0.89), ( -0.75,  -0.88)   Error: 1.77
Last SG, Last State: ( -2.75,  -2.88), ( -0.75,  -0.88)  SG Improvement:0.00000 

Goal, Curr: (-1.10,  1.16), ( -0.51,  -0.83)   Error: 2.08
Last SG, Last State: ( -2.51,  -2.83), ( -0.51,  -0.83)  SG Improvement:-0.00000 

Goal, Curr: (-0.85,  1.21), ( -0.77,  -0.93)   Error: 2.14
Last SG, Last State: ( -2.77,  -2.93), ( -0.77,  -0.93)  SG Improvement:-0.00000 

Goal, Curr: (-0.87,  0.94), ( -0.69,  -1.06)   Error: 2.01
Last SG, Last State: ( -2.69,  -3.06), ( -0.69,  -1.06)  SG Improvement:0.00079 

episode:00100, mean:6.16, std:0.53, median:6.16, success:0.00
Goal, Curr: (-1.00,  1.25), (  1.40,  -1.07)   Error: 3.34
Last SG, Last State: ( -0.60,  -3.11), (  1.40,  -1.09)  SG Improvement:-0.01079 

Goal, Curr: (-1.25,  0.83), (  1.40,  -1.16)   Error: 3.31
Last SG, Last State: ( -0.60,  -3.20), (  1.40,  -1.18)  SG Improvement:-0.01149 

Goal, Curr: (-0.90,  1.19), (  1.40,  -1.16)   Error: 3.29
Last SG, Last State: ( -0.60,  -3.20), (  1.40,  -1.18)  SG Improvement:-0.01192 

Goal, Curr: (-0.90,  0.91), (  1.40,  -1.10)   Error: 3.05
Last SG, Last State: ( -0.60,  -3.14), (  1.40,  -1.12)  SG Improvement:-0.01151 

Goal, Curr: (-0.98,  1.23), (  1.40,  -1.04)   Error: 3.29
Last SG, Last State: ( -0.60,  -3.08), (  1.40,  -1.06)  SG Improvement:-0.01056 

Goal, Curr: (-1.03,  1.20), (  1.40,  -1.14)   Error: 3.37
Last SG, Last State: ( -0.60,  -3.17), (  1.40,  -1.16)  SG Improvement:-0.01140 

Goal, Curr: (-0.89,  0.97), (  1.40,  -1.08)   Error: 3.08
Last SG, Last State: ( -0.60,  -3.12), (  1.40,  -1.10)  SG Improvement:-0.01124 

Goal, Curr: (-0.94,  0.85), (  1.40,  -1.06)   Error: 3.01
Last SG, Last State: ( -0.60,  -3.09), (  1.40,  -1.08)  SG Improvement:-0.01107 

Goal, Curr: (-1.21,  1.18), (  1.40,  -1.15)   Error: 3.50
Last SG, Last State: ( -0.60,  -3.18), (  1.40,  -1.16)  SG Improvement:-0.01081 

Goal, Curr: (-1.20,  1.00), (  1.40,  -1.40)   Error: 3.54
Last SG, Last State: ( -0.60,  -3.38), (  1.40,  -1.40)  SG Improvement:0.01742 

Goal, Curr: (-1.06,  0.92), (  1.40,  -1.06)   Error: 3.16
Last SG, Last State: ( -0.60,  -3.10), (  1.40,  -1.08)  SG Improvement:-0.01085 

Goal, Curr: (-0.91,  0.75), (  1.40,  -1.11)   Error: 2.97
Last SG, Last State: ( -0.60,  -3.15), (  1.40,  -1.13)  SG Improvement:-0.01166 

Goal, Curr: (-1.07,  1.01), (  1.40,  -1.06)   Error: 3.22
Last SG, Last State: ( -0.60,  -3.09), (  1.40,  -1.07)  SG Improvement:-0.01067 

Goal, Curr: (-1.05,  0.86), (  1.40,  -1.07)   Error: 3.12
Last SG, Last State: ( -0.60,  -3.11), (  1.40,  -1.09)  SG Improvement:-0.01101 

Goal, Curr: (-1.14,  1.01), (  1.40,  -1.03)   Error: 3.25
Last SG, Last State: ( -0.60,  -3.06), (  1.40,  -1.04)  SG Improvement:-0.01016 

Goal, Curr: (-0.80,  1.22), (  1.40,  -1.10)   Error: 3.20
Last SG, Last State: ( -0.60,  -3.14), (  1.40,  -1.12)  SG Improvement:-0.01143 

Goal, Curr: (-0.88,  1.10), (  1.40,  -1.17)   Error: 3.22
Last SG, Last State: ( -0.60,  -3.21), (  1.40,  -1.19)  SG Improvement:-0.01205 

Goal, Curr: (-1.12,  0.93), (  1.40,  -1.05)   Error: 3.21
Last SG, Last State: ( -0.60,  -3.09), (  1.40,  -1.07)  SG Improvement:-0.01058 

Goal, Curr: (-0.86,  0.76), (  1.40,  -1.06)   Error: 2.90
Last SG, Last State: ( -0.60,  -3.10), (  1.40,  -1.08)  SG Improvement:-0.01125 

Goal, Curr: (-1.00,  0.94), (  1.40,  -1.01)   Error: 3.08
Last SG, Last State: ( -0.60,  -3.04), (  1.40,  -1.02)  SG Improvement:-0.01085 

Goal, Curr: (-0.95,  0.88), (  1.40,  -1.09)   Error: 3.07
Last SG, Last State: ( -0.60,  -3.12), (  1.40,  -1.10)  SG Improvement:-0.01127 

Goal, Curr: (-0.86,  1.06), (  1.40,  -1.32)   Error: 3.28
Last SG, Last State: ( -0.60,  -3.36), (  1.40,  -1.34)  SG Improvement:-0.01604 

Goal, Curr: (-0.79,  0.91), (  1.40,  -1.08)   Error: 2.95
Last SG, Last State: ( -0.60,  -3.11), (  1.40,  -1.09)  SG Improvement:-0.01134 

Goal, Curr: (-1.24,  1.00), (  1.40,  -1.32)   Error: 3.51
Last SG, Last State: ( -0.60,  -3.36), (  1.40,  -1.34)  SG Improvement:-0.01680 

Goal, Curr: (-1.06,  0.80), (  1.40,  -1.09)   Error: 3.10
Last SG, Last State: ( -0.60,  -3.12), (  1.40,  -1.10)  SG Improvement:-0.01116 

Goal, Curr: (-0.88,  1.23), (  1.40,  -1.01)   Error: 3.20
Last SG, Last State: ( -0.60,  -3.04), (  1.40,  -1.02)  SG Improvement:-0.01087 

Goal, Curr: (-1.16,  1.03), (  1.40,  -1.28)   Error: 3.45
Last SG, Last State: ( -0.60,  -3.28), (  1.40,  -1.28)  SG Improvement:-0.00150 

Goal, Curr: (-1.00,  1.10), (  1.40,  -1.01)   Error: 3.19
Last SG, Last State: ( -0.60,  -3.04), (  1.40,  -1.02)  SG Improvement:-0.01063 

Goal, Curr: (-0.90,  1.05), (  1.40,  -1.16)   Error: 3.19
Last SG, Last State: ( -0.60,  -3.20), (  1.40,  -1.18)  SG Improvement:-0.01199 

Goal, Curr: (-0.88,  1.10), (  1.40,  -1.09)   Error: 3.16
Last SG, Last State: ( -0.60,  -3.13), (  1.40,  -1.11)  SG Improvement:-0.01129 

Goal, Curr: (-0.91,  0.75), (  1.40,  -1.07)   Error: 2.94
Last SG, Last State: ( -0.60,  -3.10), (  1.40,  -1.09)  SG Improvement:-0.01123 

Goal, Curr: (-1.05,  1.15), (  1.40,  -1.03)   Error: 3.28
Last SG, Last State: ( -0.60,  -3.06), (  1.40,  -1.04)  SG Improvement:-0.01036 

Goal, Curr: (-0.92,  1.21), (  1.40,  -1.32)   Error: 3.44
Last SG, Last State: ( -0.60,  -3.37), (  1.40,  -1.35)  SG Improvement:-0.01687 

Goal, Curr: (-0.80,  0.81), (  1.40,  -1.01)   Error: 2.86
Last SG, Last State: ( -0.60,  -3.04), (  1.40,  -1.03)  SG Improvement:-0.01136 

Goal, Curr: (-0.93,  1.08), (  1.40,  -1.24)   Error: 3.29
Last SG, Last State: ( -0.60,  -3.28), (  1.40,  -1.26)  SG Improvement:-0.01267 

Goal, Curr: (-1.11,  1.08), (  1.40,  -1.07)   Error: 3.31
