Using device: cpu
gc-4.0-iii
Goal, Curr: (-0.84,  0.87), (  0.60,   0.49)   Error: 1.49
Last SG, Last State: ( -1.40,   0.79), (  0.60,   0.30)  SG Improvement:0.05089 

Goal, Curr: (-0.86,  0.87), (  0.37,   1.28)   Error: 1.29
Last SG, Last State: ( -1.49,   1.97), (  0.44,   1.10)  SG Improvement:-0.09189 

Goal, Curr: (-1.09,  1.20), (  0.43,   1.07)   Error: 1.53
Last SG, Last State: ( -1.46,   1.68), (  0.49,   0.88)  SG Improvement:0.12809 

Goal, Curr: (-0.79,  1.11), (  0.55,   0.73)   Error: 1.40
Last SG, Last State: ( -1.40,   1.13), (  0.59,   0.53)  SG Improvement:0.01336 

Goal, Curr: (-0.90,  1.24), (  0.47,   1.01)   Error: 1.39
Last SG, Last State: ( -1.43,   1.50), (  0.52,   0.81)  SG Improvement:0.12198 

Goal, Curr: (-1.00,  0.76), (  0.51,   0.87)   Error: 1.51
Last SG, Last State: ( -1.40,   1.31), (  0.56,   0.67)  SG Improvement:0.08915 

Goal, Curr: (-0.85,  1.21), (  0.51,   0.85)   Error: 1.41
Last SG, Last State: ( -1.40,   1.34), (  0.56,   0.65)  SG Improvement:0.10167 

Goal, Curr: (-1.03,  0.95), (  0.59,   0.53)   Error: 1.68
Last SG, Last State: ( -1.40,   0.96), (  0.60,   0.35)  SG Improvement:0.05870 

Goal, Curr: (-1.01,  1.21), (  0.40,   1.17)   Error: 1.42
Last SG, Last State: ( -1.47,   1.81), (  0.47,   0.99)  SG Improvement:0.06480 

Goal, Curr: (-0.93,  1.13), (  0.49,   0.96)   Error: 1.43
Last SG, Last State: ( -1.42,   1.41), (  0.54,   0.77)  SG Improvement:0.12190 

episode:00100, mean:0.60, std:0.33, median:0.73, success:0.00
Goal, Curr: (-0.80,  1.19), ( -0.56,  -0.60)   Error: 1.81
Last SG, Last State: ( -2.61,   1.38), ( -0.58,  -0.60)  SG Improvement:0.07985 

Goal, Curr: (-0.84,  0.99), ( -0.53,  -0.60)   Error: 1.62
Last SG, Last State: ( -2.53,  -0.16), ( -0.55,  -0.60)  SG Improvement:0.00158 

Goal, Curr: (-0.76,  1.08), ( -0.51,  -0.60)   Error: 1.70
Last SG, Last State: ( -2.58,  -0.52), ( -0.53,  -0.60)  SG Improvement:-0.02645 

Goal, Curr: (-0.96,  0.76), ( -0.51,  -0.60)   Error: 1.44
Last SG, Last State: ( -2.54,   1.39), ( -0.52,  -0.60)  SG Improvement:0.07318 

Goal, Curr: (-0.78,  1.07), ( -0.51,  -0.60)   Error: 1.69
Last SG, Last State: ( -2.54,   1.39), ( -0.52,  -0.60)  SG Improvement:0.07328 

Goal, Curr: (-0.98,  1.16), ( -0.56,  -0.60)   Error: 1.81
Last SG, Last State: ( -2.54,  -0.46), ( -0.55,  -0.60)  SG Improvement:-0.00533 

Goal, Curr: (-0.90,  0.77), ( -0.53,  -0.60)   Error: 1.42
Last SG, Last State: ( -2.49,  -0.45), ( -0.49,  -0.60)  SG Improvement:-0.01948 

Goal, Curr: (-0.80,  1.18), ( -0.60,  -0.60)   Error: 1.80
Last SG, Last State: ( -2.58,  -0.03), ( -0.61,  -0.60)  SG Improvement:0.00027 

Goal, Curr: (-0.93,  0.91), ( -0.64,  -0.60)   Error: 1.54
Last SG, Last State: ( -2.63,  -0.64), ( -0.61,  -0.60)  SG Improvement:-0.00598 

Goal, Curr: (-1.22,  0.90), ( -0.56,  -0.60)   Error: 1.64
Last SG, Last State: ( -2.54,   0.99), ( -0.55,  -0.60)  SG Improvement:0.00164 

episode:00200, mean:0.42, std:0.14, median:0.42, success:0.00
Goal, Curr: (-0.97,  0.93), (  0.09,  -0.60)   Error: 1.86
Last SG, Last State: ( -1.82,   1.40), (  0.14,  -0.60)  SG Improvement:0.02298 

Goal, Curr: (-0.76,  0.81), ( -0.27,  -0.60)   Error: 1.49
Last SG, Last State: ( -2.27,   1.40), ( -0.28,  -0.60)  SG Improvement:0.00716 

Goal, Curr: (-0.77,  1.20), (  0.45,   1.40)   Error: 1.23
Last SG, Last State: ( -1.59,   3.40), (  0.45,   1.40)  SG Improvement:0.18606 

Goal, Curr: (-1.24,  0.93), (  0.21,   1.40)   Error: 1.52
Last SG, Last State: ( -1.73,   3.40), (  0.19,   1.40)  SG Improvement:0.24604 

Goal, Curr: (-1.04,  0.91), ( -0.15,  -0.60)   Error: 1.75
Last SG, Last State: ( -2.10,   1.40), ( -0.13,  -0.60)  SG Improvement:0.01665 

Goal, Curr: (-0.81,  0.99), (  0.26,   1.40)   Error: 1.15
Last SG, Last State: ( -1.64,   3.11), (  0.33,   1.31)  SG Improvement:0.17300 

Goal, Curr: (-0.94,  1.22), (  0.21,   1.40)   Error: 1.16
Last SG, Last State: ( -1.70,   3.40), (  0.21,   1.40)  SG Improvement:0.21946 

Goal, Curr: (-0.97,  1.21), ( -0.26,  -0.60)   Error: 1.95
Last SG, Last State: ( -2.23,   1.40), ( -0.23,  -0.60)  SG Improvement:-0.00844 

Goal, Curr: (-1.11,  0.77), (  0.42,   1.40)   Error: 1.66
Last SG, Last State: ( -1.69,   3.40), (  0.33,   1.40)  SG Improvement:0.19828 

Goal, Curr: (-1.11,  1.25), ( -0.17,  -0.60)   Error: 2.07
Last SG, Last State: ( -2.15,   1.40), ( -0.16,  -0.60)  SG Improvement:-0.00062 

episode:00300, mean:0.48, std:0.35, median:0.36, success:0.00
Goal, Curr: (-1.00,  0.87), (  0.37,   1.40)   Error: 1.47
Last SG, Last State: ( -1.84,   3.40), (  0.25,   1.40)  SG Improvement:0.09106 

Goal, Curr: (-0.83,  0.92), (  0.20,   1.40)   Error: 1.14
Last SG, Last State: ( -1.82,   3.31), (  0.15,   1.40)  SG Improvement:-0.91061 

Goal, Curr: (-1.13,  0.85), (  0.31,   1.40)   Error: 1.54
Last SG, Last State: ( -1.84,   3.40), (  0.21,   1.40)  SG Improvement:0.22739 

Goal, Curr: (-0.94,  1.00), (  0.25,   1.40)   Error: 1.26
Last SG, Last State: ( -1.93,   3.40), (  0.15,   1.40)  SG Improvement:0.15296 

Goal, Curr: (-0.92,  1.15), ( -0.17,  -0.60)   Error: 1.91
Last SG, Last State: ( -2.15,   1.40), ( -0.16,  -0.60)  SG Improvement:0.00590 

Goal, Curr: (-0.82,  1.14), (  0.61,   1.40)   Error: 1.45
Last SG, Last State: ( -1.66,   3.40), (  0.47,   1.40)  SG Improvement:-0.02720 

Goal, Curr: (-1.15,  0.94), (  0.19,   1.40)   Error: 1.42
Last SG, Last State: ( -1.80,   3.25), (  0.15,   1.40)  SG Improvement:-0.76991 

Goal, Curr: (-1.13,  0.83), (  0.22,   1.40)   Error: 1.47
Last SG, Last State: ( -1.96,   3.40), (  0.11,   1.40)  SG Improvement:0.17187 

Goal, Curr: (-0.79,  1.21), (  0.23,   1.40)   Error: 1.03
Last SG, Last State: ( -1.88,   3.40), (  0.14,   1.40)  SG Improvement:0.24924 

Goal, Curr: (-0.94,  1.19), (  0.10,   1.40)   Error: 1.06
Last SG, Last State: ( -1.87,   3.16), (  0.07,   1.35)  SG Improvement:0.46381 

episode:00400, mean:0.68, std:0.40, median:0.51, success:0.00
Log radii:  [-0.63292706 -1.3862944   0.12463677 -1.268535   -1.2238984   1.3551732 ]
Adjusted log radii:  [ 1.45707297  2.5037055   0.7146368   2.62146497 -1.2338984   1.34517324]
Goal, Curr: (-0.94,  0.90), ( -1.40,  -0.60)   Error: 1.57
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.98,  0.84), ( -1.40,  -0.60)   Error: 1.50
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.10,  0.97), ( -1.40,  -0.60)   Error: 1.60
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.07,  1.11), ( -1.40,  -0.60)   Error: 1.74
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.11,  0.81), ( -1.40,  -0.60)   Error: 1.44
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.03,  0.97), ( -1.40,  -0.60)   Error: 1.62
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.01,  0.92), ( -1.40,  -0.60)   Error: 1.57
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.08,  0.79), ( -1.40,  -0.60)   Error: 1.43
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.80,  0.96), ( -1.40,  -0.60)   Error: 1.67
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.25,  1.16), ( -1.40,  -0.60)   Error: 1.77
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

episode:00500, mean:0.41, std:0.13, median:0.41, success:0.00
Goal, Curr: (-0.87,  1.00), ( -1.40,  -0.60)   Error: 1.69
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.06,  1.23), ( -1.40,  -0.60)   Error: 1.86
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.23,  1.12), ( -1.40,  -0.60)   Error: 1.73
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.23,  0.97), ( -1.40,  -0.60)   Error: 1.58
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.18,  0.98), ( -1.40,  -0.60)   Error: 1.59
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.79,  1.13), ( -1.40,  -0.60)   Error: 1.84
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.09,  0.84), ( -1.40,  -0.60)   Error: 1.48
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.96,  0.81), ( -1.40,  -0.60)   Error: 1.48
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.06,  1.23), ( -1.40,  -0.60)   Error: 1.86
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

