Using device: cpu
gc-4.0-kkk-high-expl
Goal, Curr: (-1.19,  1.09), ( -1.40,  -1.33)   Error: 2.42
Last SG, Last State: (  0.60,   0.68), ( -1.40,  -1.33)  SG Improvement:-0.00039 

Goal, Curr: (-0.92,  0.98), ( -1.39,  -1.40)   Error: 2.42
Last SG, Last State: (  0.61,   0.60), ( -1.39,  -1.40)  SG Improvement:-0.00000 

Goal, Curr: (-0.82,  0.93), ( -1.40,  -0.96)   Error: 1.98
Last SG, Last State: (  0.60,   1.02), ( -1.40,  -0.97)  SG Improvement:0.00129 

Goal, Curr: (-0.97,  1.17), ( -1.39,  -1.39)   Error: 2.60
Last SG, Last State: (  0.61,   0.61), ( -1.39,  -1.39)  SG Improvement:0.00000 

Goal, Curr: (-1.07,  0.88), ( -1.39,  -1.39)   Error: 2.29
Last SG, Last State: (  0.61,   0.61), ( -1.39,  -1.39)  SG Improvement:0.00000 

Goal, Curr: (-1.05,  1.10), ( -1.40,  -0.95)   Error: 2.08
Last SG, Last State: (  0.60,   1.04), ( -1.40,  -0.95)  SG Improvement:0.00096 

Goal, Curr: (-0.88,  1.22), ( -1.40,  -1.39)   Error: 2.66
Last SG, Last State: (  0.60,   0.61), ( -1.40,  -1.39)  SG Improvement:0.00000 

Goal, Curr: (-1.22,  0.99), ( -1.40,  -1.24)   Error: 2.24
Last SG, Last State: (  0.60,   0.76), ( -1.40,  -1.24)  SG Improvement:-0.00056 

Goal, Curr: (-1.17,  0.97), ( -1.40,  -0.72)   Error: 1.70
Last SG, Last State: (  0.60,   1.26), ( -1.40,  -0.73)  SG Improvement:0.00207 

Goal, Curr: (-1.09,  1.22), ( -1.40,  -0.90)   Error: 2.14
Last SG, Last State: (  0.60,   1.09), ( -1.40,  -0.91)  SG Improvement:0.00109 

episode:00100, mean:-0.16, std:0.21, median:-0.12, success:0.00
Goal, Curr: (-0.87,  1.04), ( -1.40,  -1.31)   Error: 2.42
Last SG, Last State: (  0.60,   0.69), ( -1.40,  -1.31)  SG Improvement:-0.00008 

Goal, Curr: (-0.94,  0.92), ( -1.40,  -1.06)   Error: 2.04
Last SG, Last State: (  0.60,   0.95), ( -1.40,  -1.06)  SG Improvement:-0.00019 

Goal, Curr: (-1.10,  1.11), ( -1.40,  -1.23)   Error: 2.36
Last SG, Last State: (  0.60,   0.77), ( -1.40,  -1.23)  SG Improvement:-0.00012 

Goal, Curr: (-0.84,  1.11), ( -1.40,  -1.01)   Error: 2.19
Last SG, Last State: (  0.60,   1.00), ( -1.40,  -1.01)  SG Improvement:-0.00021 

Goal, Curr: (-0.92,  1.14), ( -1.40,  -1.25)   Error: 2.44
Last SG, Last State: (  0.60,   0.76), ( -1.40,  -1.24)  SG Improvement:-0.00012 

Goal, Curr: (-1.18,  1.20), ( -1.40,  -0.94)   Error: 2.15
Last SG, Last State: (  0.60,   1.06), ( -1.40,  -0.94)  SG Improvement:-0.00025 

Goal, Curr: (-0.86,  1.13), ( -1.40,  -1.06)   Error: 2.25
Last SG, Last State: (  0.60,   0.95), ( -1.40,  -1.05)  SG Improvement:-0.00019 

Goal, Curr: (-1.08,  1.19), ( -1.40,  -1.19)   Error: 2.41
Last SG, Last State: (  0.60,   0.81), ( -1.40,  -1.19)  SG Improvement:-0.00014 

Goal, Curr: (-0.88,  1.13), ( -1.40,  -0.95)   Error: 2.14
Last SG, Last State: (  0.60,   1.06), ( -1.40,  -0.94)  SG Improvement:-0.00024 

Goal, Curr: (-0.94,  1.13), ( -1.40,  -1.12)   Error: 2.30
Last SG, Last State: (  0.60,   0.88), ( -1.40,  -1.12)  SG Improvement:-0.00017 

episode:00200, mean:-0.17, std:0.03, median:-0.16, success:0.00
Goal, Curr: (-1.10,  1.25), ( -1.35,  -1.40)   Error: 2.66
Last SG, Last State: (  0.60,   0.60), ( -1.40,  -1.40)  SG Improvement:-0.01778 

Goal, Curr: (-0.90,  1.08), ( -1.40,  -1.38)   Error: 2.52
Last SG, Last State: (  0.60,   0.72), ( -1.40,  -1.33)  SG Improvement:-0.00669 

Goal, Curr: (-0.75,  1.08), ( -1.36,  -1.40)   Error: 2.56
Last SG, Last State: (  0.60,   0.60), ( -1.40,  -1.40)  SG Improvement:-0.02227 

