Using device: cpu
gc-4.0-lowlr-.0002
Goal, Curr: (-1.07,  0.97), ( -1.40,  -0.60)   Error: 1.61
Last SG, Last State: ( -0.67,  -0.32), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-0.98,  0.91), ( -1.40,  -0.60)   Error: 1.57
Last SG, Last State: ( -0.67,  -0.34), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.81,  1.22), ( -1.40,  -0.60)   Error: 1.92
Last SG, Last State: ( -0.56,  -0.16), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.00,  1.02), ( -1.40,  -0.60)   Error: 1.67
Last SG, Last State: ( -0.64,  -0.28), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.12,  1.17), ( -1.40,  -0.60)   Error: 1.79
Last SG, Last State: ( -0.61,  -0.21), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.24,  0.94), ( -1.40,  -0.60)   Error: 1.55
Last SG, Last State: ( -0.70,  -0.37), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.75,  0.96), ( -1.40,  -0.60)   Error: 1.69
Last SG, Last State: ( -0.62,  -0.29), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.83,  1.24), ( -1.40,  -0.60)   Error: 1.92
Last SG, Last State: ( -0.56,  -0.15), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.16,  0.91), ( -1.40,  -0.60)   Error: 1.53
Last SG, Last State: ( -0.70,  -0.37), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.05,  1.01), ( -1.40,  -0.60)   Error: 1.65
Last SG, Last State: ( -0.65,  -0.29), ( -1.40,  -0.60)  SG Improvement:0.00000 

episode:00100, mean:0.34, std:0.15, median:0.29, success:0.00
Goal, Curr: (-1.21,  0.95), ( -1.40,  -0.60)   Error: 1.56
Last SG, Last State: (  0.60,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.09,  0.75), ( -1.40,  -0.60)   Error: 1.39
Last SG, Last State: (  0.60,  -2.60), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-0.94,  1.19), ( -1.40,  -0.60)   Error: 1.85
