Using device: cpu
gc-4.0-rrr
Goal, Curr: (-0.84,  0.86), ( -1.40,  -0.60)   Error: 1.57
Last SG, Last State: ( -3.22,  -2.06), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.05,  1.25), ( -1.40,  -0.60)   Error: 1.88
Last SG, Last State: ( -3.24,  -2.13), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.01,  0.90), ( -1.40,  -0.60)   Error: 1.55
Last SG, Last State: ( -3.22,  -2.08), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.02,  1.23), ( -1.40,  -0.60)   Error: 1.87
Last SG, Last State: ( -3.24,  -2.12), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.85,  0.94), ( -1.40,  -0.60)   Error: 1.64
Last SG, Last State: ( -3.22,  -2.07), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.08,  1.04), ( -1.40,  -0.60)   Error: 1.68
Last SG, Last State: ( -3.23,  -2.11), ( -1.40,  -0.60)  SG Improvement:-0.00122 

Goal, Curr: (-0.99,  1.04), ( -1.40,  -0.60)   Error: 1.69
Last SG, Last State: ( -3.23,  -2.10), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.00,  1.10), ( -1.40,  -0.60)   Error: 1.75
Last SG, Last State: ( -3.23,  -2.11), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.77,  0.88), ( -1.40,  -0.60)   Error: 1.61
Last SG, Last State: ( -3.22,  -2.06), ( -1.40,  -0.60)  SG Improvement:-0.00002 

Goal, Curr: (-0.97,  1.22), ( -1.40,  -0.60)   Error: 1.87
Last SG, Last State: ( -3.24,  -2.12), ( -1.40,  -0.60)  SG Improvement:0.00000 

episode:00100, mean:0.35, std:0.17, median:0.31, success:0.00
Log radii:  [-0.12479794  0.42538625  0.82947636  1.2947179  -1.3862944  -1.3862944 ]
Adjusted log radii:  [ 1.36520219  2.21538615  1.71947622  1.28471792  1.00370574 -1.38629436]
Goal, Curr: (-1.18,  1.05), ( -1.35,  -0.60)   Error: 1.66
Last SG, Last State: ( -3.36,  -1.68), ( -1.35,  -0.60)  SG Improvement:-0.00189 

Goal, Curr: (-0.91,  1.12), ( -1.32,  -0.60)   Error: 1.77
Last SG, Last State: ( -3.33,  -1.64), ( -1.32,  -0.60)  SG Improvement:-0.00238 

Goal, Curr: (-0.76,  0.97), ( -1.38,  -0.60)   Error: 1.68
Last SG, Last State: ( -3.38,  -1.59), ( -1.38,  -0.60)  SG Improvement:-0.00033 

Goal, Curr: (-1.10,  1.09), ( -1.34,  -0.60)   Error: 1.71
Last SG, Last State: ( -3.34,  -1.68), ( -1.34,  -0.60)  SG Improvement:-0.00233 

