Using device: cpu
gc-8.0-12-1
Log radii:  [ 1.94279    2.0794415 -2.0794415  1.9786371 -2.0794415 -1.7563337]
Adjusted log radii:  [1.93279004 2.06944156 1.41055846 2.46863723 1.41055846 1.7336663 ]
Goal, Curr: (-1.07,  0.97), (  1.28,   0.63)   Error: 2.37
Last SG, Last State: (  3.18,  -0.99), (  1.20,   0.82)  SG Improvement:0.39768 

Goal, Curr: (-1.15,  0.79), (  1.40,   0.46)   Error: 2.57
Last SG, Last State: (  3.24,  -1.18), (  1.32,   0.64)  SG Improvement:0.38759 

Goal, Curr: (-1.15,  1.13), (  1.39,   0.26)   Error: 2.69
Last SG, Last State: (  3.40,  -1.45), (  1.36,   0.45)  SG Improvement:-0.62363 

Goal, Curr: (-1.11,  1.20), (  1.40,   0.31)   Error: 2.66
Last SG, Last State: (  3.39,  -1.36), (  1.40,   0.48)  SG Improvement:-0.61023 

Goal, Curr: (-1.06,  0.98), (  1.40,   0.34)   Error: 2.54
Last SG, Last State: (  3.34,  -1.35), (  1.40,   0.48)  SG Improvement:-0.85214 

Goal, Curr: (-0.89,  1.21), (  1.40,   0.45)   Error: 2.42
Last SG, Last State: (  3.25,  -1.19), (  1.33,   0.63)  SG Improvement:0.43369 

Goal, Curr: (-0.78,  0.81), (  1.40,  -0.88)   Error: 2.76
Last SG, Last State: (  3.40,  -2.68), (  1.40,  -0.79)  SG Improvement:-0.02389 

Goal, Curr: (-1.08,  0.78), (  1.40,  -0.90)   Error: 3.00
Last SG, Last State: (  3.40,  -2.70), (  1.40,  -0.81)  SG Improvement:-0.01572 

Goal, Curr: (-1.24,  1.14), (  1.30,   0.76)   Error: 2.57
Last SG, Last State: (  3.16,  -0.89), (  1.21,   0.94)  SG Improvement:1.06910 

Goal, Curr: (-1.08,  0.76), (  1.40,   0.52)   Error: 2.49
Last SG, Last State: (  3.35,  -1.14), (  1.40,   0.69)  SG Improvement:-0.77544 

Goal, Curr: (-1.19,  1.04), (  1.40,   0.51)   Error: 2.64
Last SG, Last State: (  3.40,  -1.20), (  1.40,   0.65)  SG Improvement:0.16117 

Goal, Curr: (-1.16,  0.91), (  1.13,  -1.40)   Error: 3.26
Last SG, Last State: (  3.24,  -3.40), (  1.17,  -1.40)  SG Improvement:0.23478 

Goal, Curr: (-1.11,  0.95), (  1.40,   0.47)   Error: 2.56
Last SG, Last State: (  3.28,  -1.19), (  1.37,   0.63)  SG Improvement:0.17691 

Goal, Curr: (-1.12,  0.89), (  1.20,  -1.40)   Error: 3.26
Last SG, Last State: (  3.33,  -3.40), (  1.25,  -1.40)  SG Improvement:-0.14289 

Goal, Curr: (-1.08,  0.77), (  1.40,   0.58)   Error: 2.49
Last SG, Last State: (  3.30,  -1.07), (  1.37,   0.75)  SG Improvement:0.36324 

Goal, Curr: (-1.23,  0.83), (  1.40,   0.03)   Error: 2.75
Last SG, Last State: (  3.40,  -1.70), (  1.40,   0.16)  SG Improvement:0.04299 

Goal, Curr: (-1.18,  1.02), (  1.40,   0.58)   Error: 2.61
Last SG, Last State: (  3.30,  -1.06), (  1.38,   0.75)  SG Improvement:0.36026 

Goal, Curr: (-0.78,  1.06), (  1.40,   0.37)   Error: 2.29
Last SG, Last State: (  3.36,  -1.32), (  1.40,   0.51)  SG Improvement:-0.72597 

Goal, Curr: (-1.23,  1.24), (  1.26,  -1.40)   Error: 3.63
Last SG, Last State: (  3.36,  -3.40), (  1.34,  -1.40)  SG Improvement:0.35470 

Goal, Curr: (-1.02,  0.84), ( -0.35,  -1.40)   Error: 2.34
Last SG, Last State: (  1.79,  -3.40), ( -0.28,  -1.40)  SG Improvement:-0.01425 

Goal, Curr: (-1.22,  0.94), (  1.24,   0.93)   Error: 2.46
Last SG, Last State: (  3.22,  -1.46), (  1.24,   0.74)  SG Improvement:-0.05089 

Goal, Curr: (-1.09,  0.93), (  1.40,   0.01)   Error: 2.65
Last SG, Last State: (  3.24,  -1.67), (  1.35,   0.16)  SG Improvement:0.19147 

Goal, Curr: (-0.84,  1.12), (  1.40,   0.19)   Error: 2.43
Last SG, Last State: (  3.40,  -1.53), (  1.40,   0.32)  SG Improvement:0.02090 

Goal, Curr: (-0.80,  1.16), (  1.40,   0.45)   Error: 2.31
Last SG, Last State: (  3.29,  -1.20), (  1.36,   0.62)  SG Improvement:0.43709 

Goal, Curr: (-1.04,  0.83), (  1.11,  -1.40)   Error: 3.09
Last SG, Last State: (  3.30,  -3.40), (  1.21,  -1.40)  SG Improvement:0.06836 

Goal, Curr: (-1.03,  0.80), (  1.06,  -1.40)   Error: 3.03
Last SG, Last State: (  3.23,  -3.40), (  1.15,  -1.40)  SG Improvement:-0.13072 

Goal, Curr: (-1.17,  1.12), (  1.40,  -0.65)   Error: 3.12
Last SG, Last State: (  3.38,  -2.55), (  1.40,  -0.54)  SG Improvement:0.45776 

Goal, Curr: (-1.20,  1.22), (  1.11,  -1.40)   Error: 3.50
Last SG, Last State: (  3.19,  -3.40), (  1.15,  -1.40)  SG Improvement:-0.25095 

Goal, Curr: (-1.02,  0.90), (  1.40,   0.31)   Error: 2.50
Last SG, Last State: (  3.34,  -1.37), (  1.40,   0.45)  SG Improvement:-0.72817 

Goal, Curr: (-0.94,  1.07), (  1.30,  -1.40)   Error: 3.33
Last SG, Last State: (  3.40,  -3.40), (  1.37,  -1.40)  SG Improvement:-0.06419 

Goal, Curr: (-1.16,  1.18), (  1.36,   0.64)   Error: 2.58
Last SG, Last State: (  3.23,  -0.99), (  1.28,   0.82)  SG Improvement:1.07039 

Goal, Curr: (-0.77,  1.01), (  1.40,   0.40)   Error: 2.25
Last SG, Last State: (  3.40,  -1.32), (  1.40,   0.54)  SG Improvement:-0.00475 

Goal, Curr: (-1.21,  1.02), (  1.40,   0.49)   Error: 2.66
Last SG, Last State: (  3.24,  -1.17), (  1.33,   0.66)  SG Improvement:0.28896 

Goal, Curr: (-0.97,  1.09), (  1.18,  -1.40)   Error: 3.28
Last SG, Last State: (  3.31,  -3.40), (  1.25,  -1.40)  SG Improvement:-0.16704 

Goal, Curr: (-0.91,  1.08), (  1.22,   1.02)   Error: 2.13
Last SG, Last State: (  3.19,  -1.02), (  1.19,   1.15)  SG Improvement:-0.05728 

Goal, Curr: (-0.93,  0.91), (  1.40,   0.07)   Error: 2.47
Last SG, Last State: (  3.40,  -1.65), (  1.40,   0.21)  SG Improvement:0.01323 

Goal, Curr: (-1.20,  1.05), (  1.40,  -1.37)   Error: 3.55
Last SG, Last State: (  3.38,  -3.12), (  1.40,  -1.26)  SG Improvement:0.26691 

Goal, Curr: (-0.87,  0.78), (  1.33,   0.65)   Error: 2.21
Last SG, Last State: (  3.20,  -0.99), (  1.25,   0.83)  SG Improvement:1.08942 

Goal, Curr: (-1.21,  1.22), (  1.20,  -1.24)   Error: 3.44
Last SG, Last State: (  3.21,  -3.40), (  1.20,  -1.37)  SG Improvement:0.56765 

Goal, Curr: (-0.96,  1.13), (  1.41,   0.48)   Error: 2.45
Last SG, Last State: (  3.31,  -1.18), (  1.40,   0.64)  SG Improvement:0.24879 

Goal, Curr: (-1.22,  0.85), (  1.40,   0.46)   Error: 2.65
Last SG, Last State: (  3.25,  -1.19), (  1.33,   0.63)  SG Improvement:0.42535 

Goal, Curr: (-0.99,  1.03), (  1.32,   0.63)   Error: 2.34
Last SG, Last State: (  3.22,  -1.00), (  1.24,   0.81)  SG Improvement:0.38962 

Goal, Curr: (-1.20,  1.12), (  1.16,  -1.40)   Error: 3.46
Last SG, Last State: (  3.20,  -3.40), (  1.17,  -1.40)  SG Improvement:0.42381 

Goal, Curr: (-1.05,  1.04), (  1.40,   0.30)   Error: 2.56
Last SG, Last State: (  3.40,  -1.41), (  1.40,   0.44)  SG Improvement:0.04636 

Goal, Curr: (-0.97,  0.95), (  1.19,  -1.40)   Error: 3.19
Last SG, Last State: (  3.37,  -3.40), (  1.28,  -1.40)  SG Improvement:-0.77030 

Goal, Curr: (-0.98,  0.91), (  1.40,   0.44)   Error: 2.43
Last SG, Last State: (  3.37,  -1.25), (  1.40,   0.58)  SG Improvement:-0.65393 

Goal, Curr: (-1.05,  0.76), (  1.24,  -1.40)   Error: 3.15
Last SG, Last State: (  3.36,  -3.40), (  1.33,  -1.40)  SG Improvement:0.40513 

Goal, Curr: (-0.96,  1.18), (  1.23,   0.82)   Error: 2.22
Last SG, Last State: (  3.20,  -0.85), (  1.17,   1.00)  SG Improvement:-0.61402 

Goal, Curr: (-0.88,  1.21), ( -0.62,  -1.40)   Error: 2.62
Last SG, Last State: (  1.51,  -3.40), ( -0.55,  -1.40)  SG Improvement:-0.01417 

Goal, Curr: (-0.94,  0.79), (  1.33,   0.63)   Error: 2.27
Last SG, Last State: (  3.22,  -0.99), (  1.25,   0.81)  SG Improvement:0.39001 

episode:00100, mean:7.16, std:0.52, median:7.18, success:0.00
Log radii:  [ 1.9714493  1.3514915 -1.6622798  2.0794415  2.0625641 -1.6199507]
Adjusted log radii:  [ 2.46144938  2.34149146  1.82772017  2.56944156  2.05256414 -1.62995064]
Log radii:  [ 1.2566011  1.7470746 -1.6091734  2.0794415  2.0794415 -1.8784728]
Adjusted log radii:  [2.2466011  2.23707461 2.38082671 2.06944156 2.06944156 1.6115272 ]
Goal, Curr: (-0.97,  1.16), ( -0.76,  -1.40)   Error: 2.57
Last SG, Last State: (  1.32,  -3.40), ( -0.69,  -1.40)  SG Improvement:0.22353 

Goal, Curr: (-0.97,  0.82), (  1.40,  -1.40)   Error: 3.25
Last SG, Last State: (  3.40,  -3.40), (  1.40,  -1.40)  SG Improvement:-0.01534 

Goal, Curr: (-0.96,  1.10), (  1.40,  -1.40)   Error: 3.43
Last SG, Last State: (  3.40,  -3.40), (  1.40,  -1.40)  SG Improvement:-0.05579 

Goal, Curr: (-0.94,  1.24), ( -0.96,  -1.30)   Error: 2.54
Last SG, Last State: (  0.95,  -3.40), ( -1.02,  -1.34)  SG Improvement:1.14117 

Goal, Curr: (-0.95,  1.24), ( -0.93,  -1.18)   Error: 2.43
Last SG, Last State: (  0.94,  -3.29), ( -0.95,  -1.20)  SG Improvement:-0.00374 

Goal, Curr: (-1.11,  0.81), (  1.40,  -1.40)   Error: 3.34
Last SG, Last State: (  3.40,  -3.40), (  1.40,  -1.40)  SG Improvement:-0.01506 

Goal, Curr: (-1.09,  1.08), ( -0.05,  -1.40)   Error: 2.69
Last SG, Last State: (  2.04,  -3.38), ( -0.04,  -1.40)  SG Improvement:-0.52430 

Goal, Curr: (-0.81,  1.14), ( -0.30,  -1.40)   Error: 2.59
Last SG, Last State: (  1.89,  -3.40), ( -0.21,  -1.40)  SG Improvement:-0.03587 

Goal, Curr: (-1.03,  1.19), ( -0.63,  -1.17)   Error: 2.39
Last SG, Last State: (  1.30,  -3.28), ( -0.67,  -1.23)  SG Improvement:-0.63626 

Goal, Curr: (-0.83,  1.23), (  1.40,  -1.40)   Error: 3.45
Last SG, Last State: (  3.40,  -3.40), (  1.40,  -1.40)  SG Improvement:-0.00424 

Goal, Curr: (-1.13,  0.88), ( -0.53,  -1.40)   Error: 2.36
Last SG, Last State: (  1.48,  -3.35), ( -0.48,  -1.40)  SG Improvement:0.15146 

Goal, Curr: (-0.78,  1.24), (  1.40,  -1.40)   Error: 3.42
Last SG, Last State: (  3.40,  -3.40), (  1.40,  -1.40)  SG Improvement:0.10869 

Goal, Curr: (-0.94,  0.96), (  1.40,  -1.40)   Error: 3.32
Last SG, Last State: (  3.40,  -3.40), (  1.40,  -1.40)  SG Improvement:0.06701 

Goal, Curr: (-0.76,  0.89), ( -0.65,  -1.32)   Error: 2.21
