Using device: cpu
gc-8.0-tg11-0.5expl
Goal, Curr: (-0.95,  1.20), ( -1.40,  -0.64)   Error: 1.89
Last SG, Last State: (  0.60,   1.22), ( -1.40,  -0.60)  SG Improvement:-0.83610 

Goal, Curr: (-1.02,  1.11), ( -1.40,  -0.60)   Error: 1.75
Last SG, Last State: (  0.64,   1.33), ( -1.40,  -0.67)  SG Improvement:0.01700 

Goal, Curr: (-1.14,  0.91), ( -1.40,  -0.64)   Error: 1.58
Last SG, Last State: (  0.60,   1.20), ( -1.40,  -0.60)  SG Improvement:-0.69984 

Goal, Curr: (-1.14,  0.85), ( -1.40,  -0.60)   Error: 1.48
Last SG, Last State: (  0.63,   1.32), ( -1.40,  -0.68)  SG Improvement:-0.00479 

Goal, Curr: (-0.90,  1.05), ( -1.39,  -0.60)   Error: 1.72
Last SG, Last State: (  0.64,   1.31), ( -1.40,  -0.69)  SG Improvement:-0.24079 

Goal, Curr: (-0.90,  0.85), ( -1.40,  -0.68)   Error: 1.61
Last SG, Last State: (  0.60,   1.30), ( -1.40,  -0.60)  SG Improvement:-1.76777 

Goal, Curr: (-0.96,  1.09), ( -1.35,  -0.60)   Error: 1.74
Last SG, Last State: (  0.63,   1.32), ( -1.40,  -0.66)  SG Improvement:-0.18200 

Goal, Curr: (-1.08,  0.76), ( -1.40,  -0.65)   Error: 1.44
Last SG, Last State: (  0.60,   1.32), ( -1.40,  -0.65)  SG Improvement:-0.46938 

Goal, Curr: (-0.77,  0.80), ( -1.40,  -0.67)   Error: 1.60
Last SG, Last State: (  0.60,   1.16), ( -1.38,  -0.60)  SG Improvement:-1.68533 

Goal, Curr: (-1.02,  1.17), ( -1.40,  -0.64)   Error: 1.85
Last SG, Last State: (  0.60,   1.26), ( -1.40,  -0.60)  SG Improvement:-0.95315 

episode:00100, mean:0.36, std:0.14, median:0.34, success:0.00
Goal, Curr: (-1.01,  0.92), ( -1.40,  -0.70)   Error: 1.66
Last SG, Last State: ( -3.36,   1.32), ( -1.42,  -0.68)  SG Improvement:1.36469 

