Using device: cpu
hiro-peractual2-crazy
Initializing with critic LR:  0.05  actor LR:  0.001
Initializing with critic LR:  0.001  actor LR:  0.0005
Goal, Curr: (-0.92,  1.17), (  0.33,  -0.60)   Error: 2.16
Last SG, Last State: (  0.59,   0.75), (  0.19,  -0.60)  SG Improvement:0.12631 

Goal, Curr: (-1.22,  1.17), ( -0.50,  -0.60)   Error: 1.91
Last SG, Last State: (  0.29,  -0.85), ( -0.36,  -0.60)  SG Improvement:-0.30278 

Goal, Curr: (-1.19,  0.87), (  1.40,   1.35)   Error: 2.63
Last SG, Last State: (  2.59,   0.27), (  1.40,   1.33)  SG Improvement:-0.00829 

Goal, Curr: (-1.01,  1.01), (  1.40,   1.34)   Error: 2.43
Last SG, Last State: (  2.59,   0.25), (  1.40,   1.32)  SG Improvement:-0.01173 

Goal, Curr: (-0.88,  0.96), (  1.40,   1.36)   Error: 2.32
Last SG, Last State: (  2.57,   0.30), (  1.40,   1.35)  SG Improvement:-0.00735 

Goal, Curr: (-1.16,  0.93), (  0.45,  -0.60)   Error: 2.23
Last SG, Last State: (  0.91,   0.71), (  0.33,  -0.60)  SG Improvement:0.07290 

Goal, Curr: (-1.08,  1.22), (  0.54,  -0.59)   Error: 2.43
Last SG, Last State: (  1.25,   0.69), (  0.44,  -0.60)  SG Improvement:0.12370 

Goal, Curr: (-0.83,  0.85), ( -0.55,  -1.08)   Error: 1.95
Last SG, Last State: (  0.48,   0.51), ( -0.56,  -1.09)  SG Improvement:0.02581 

Goal, Curr: (-0.90,  0.84), (  0.05,  -0.60)   Error: 1.72
Last SG, Last State: ( -0.14,   0.73), ( -0.09,  -0.60)  SG Improvement:-0.04068 

Goal, Curr: (-1.17,  0.98), (  0.32,  -0.60)   Error: 2.17
Last SG, Last State: (  0.57,   0.75), (  0.18,  -0.60)  SG Improvement:0.13025 

Goal, Curr: (-1.12,  0.77), (  1.40,   1.38)   Error: 2.59
Last SG, Last State: (  2.56,   0.31), (  1.40,   1.36)  SG Improvement:-0.00679 

Goal, Curr: (-0.90,  0.76), (  1.35,   0.98)   Error: 2.25
Last SG, Last State: (  2.82,  -0.50), (  1.25,   0.80)  SG Improvement:-0.10458 

Goal, Curr: (-1.08,  0.92), (  0.34,  -0.60)   Error: 2.08
Last SG, Last State: (  0.57,   0.75), (  0.20,  -0.60)  SG Improvement:0.10366 

Goal, Curr: (-1.11,  1.17), (  1.40,   1.38)   Error: 2.52
Last SG, Last State: (  2.60,   0.28), (  1.40,   1.37)  SG Improvement:-0.00798 

Goal, Curr: (-1.12,  1.07), (  0.58,  -0.56)   Error: 2.36
Last SG, Last State: (  1.36,   0.68), (  0.48,  -0.60)  SG Improvement:0.15652 

Goal, Curr: (-0.92,  1.09), (  0.22,  -0.60)   Error: 2.04
Last SG, Last State: (  0.23,   0.73), (  0.07,  -0.60)  SG Improvement:-0.02448 

Goal, Curr: (-0.98,  1.15), ( -0.63,  -0.91)   Error: 2.09
Last SG, Last State: (  0.12,   0.30), ( -0.57,  -0.82)  SG Improvement:-0.08272 

Goal, Curr: (-1.17,  0.86), (  0.29,  -0.60)   Error: 2.06
Last SG, Last State: (  0.43,   0.76), (  0.14,  -0.60)  SG Improvement:0.08902 

Goal, Curr: (-0.93,  1.01), (  0.16,  -0.60)   Error: 1.95
Last SG, Last State: (  0.08,   0.76), (  0.01,  -0.60)  SG Improvement:-0.03302 

Goal, Curr: (-0.84,  1.22), (  1.40,   1.38)   Error: 2.25
Last SG, Last State: (  2.58,   0.29), (  1.40,   1.36)  SG Improvement:-0.00843 

Goal, Curr: (-1.23,  1.14), (  0.27,  -0.60)   Error: 2.30
Last SG, Last State: (  0.40,   0.69), (  0.11,  -0.60)  SG Improvement:-0.01030 

Goal, Curr: (-0.99,  1.03), (  1.40,   1.37)   Error: 2.42
Last SG, Last State: (  2.58,   0.30), (  1.40,   1.36)  SG Improvement:-0.00787 

Goal, Curr: (-1.01,  0.76), ( -0.81,  -0.72)   Error: 1.49
Last SG, Last State: (  0.21,  -0.11), ( -0.77,  -0.68)  SG Improvement:-0.70848 

Goal, Curr: (-0.96,  1.21), (  0.55,  -0.58)   Error: 2.34
Last SG, Last State: (  1.26,   0.69), (  0.45,  -0.60)  SG Improvement:0.12581 

Goal, Curr: (-0.79,  1.13), (  1.40,   1.36)   Error: 2.20
Last SG, Last State: (  2.58,   0.28), (  1.40,   1.34)  SG Improvement:-0.00884 

Goal, Curr: (-1.17,  1.09), (  1.40,   1.18)   Error: 2.57
Last SG, Last State: (  2.66,   0.12), (  1.40,   1.13)  SG Improvement:0.03939 

Goal, Curr: (-1.16,  0.94), (  0.34,  -0.60)   Error: 2.15
Last SG, Last State: (  0.59,   0.75), (  0.20,  -0.60)  SG Improvement:0.12495 

Goal, Curr: (-0.81,  1.01), (  1.40,   1.35)   Error: 2.23
Last SG, Last State: (  2.57,   0.29), (  1.40,   1.34)  SG Improvement:-0.00843 

Goal, Curr: (-1.01,  1.10), (  0.33,  -0.60)   Error: 2.16
Last SG, Last State: (  0.59,   0.75), (  0.19,  -0.60)  SG Improvement:0.13027 

Goal, Curr: (-1.17,  1.12), (  0.42,  -0.60)   Error: 2.34
Last SG, Last State: (  0.87,   0.69), (  0.30,  -0.60)  SG Improvement:0.07097 

Goal, Curr: (-1.05,  1.05), (  0.20,  -0.60)   Error: 2.07
Last SG, Last State: (  0.21,   0.74), (  0.05,  -0.60)  SG Improvement:-0.01369 

Goal, Curr: (-0.99,  0.82), (  0.02,  -0.60)   Error: 1.75
Last SG, Last State: ( -0.25,   0.77), ( -0.13,  -0.60)  SG Improvement:-0.05196 

Goal, Curr: (-1.03,  1.18), (  0.45,  -0.60)   Error: 2.32
Last SG, Last State: (  0.93,   0.71), (  0.33,  -0.60)  SG Improvement:0.08189 

Goal, Curr: (-0.75,  1.15), (  0.33,  -0.60)   Error: 2.05
Last SG, Last State: (  0.53,   0.73), (  0.19,  -0.60)  SG Improvement:0.05890 

Goal, Curr: (-1.16,  1.13), (  1.40,   1.37)   Error: 2.57
Last SG, Last State: (  2.60,   0.27), (  1.40,   1.36)  SG Improvement:-0.00825 

Goal, Curr: (-1.23,  1.13), (  0.13,  -0.60)   Error: 2.20
Last SG, Last State: (  1.65,  -0.38), (  0.30,  -0.60)  SG Improvement:0.73883 

Goal, Curr: (-0.91,  1.19), (  0.19,  -0.60)   Error: 2.11
Last SG, Last State: (  0.19,   0.71), (  0.05,  -0.60)  SG Improvement:-0.03929 

Goal, Curr: (-1.12,  0.92), (  0.34,  -0.60)   Error: 2.10
Last SG, Last State: (  0.58,   0.76), (  0.20,  -0.60)  SG Improvement:0.11932 

Goal, Curr: (-0.88,  1.10), (  0.46,  -0.60)   Error: 2.16
Last SG, Last State: (  0.92,   0.72), (  0.34,  -0.60)  SG Improvement:0.07895 

Goal, Curr: (-0.77,  1.25), (  1.40,   1.38)   Error: 2.17
Last SG, Last State: (  2.58,   0.30), (  1.40,   1.37)  SG Improvement:-0.00754 

Goal, Curr: (-1.19,  0.86), (  1.40,   1.36)   Error: 2.63
Last SG, Last State: (  2.58,   0.28), (  1.40,   1.35)  SG Improvement:-0.00851 

Goal, Curr: (-0.89,  0.95), (  1.40,   1.35)   Error: 2.32
Last SG, Last State: (  2.57,   0.29), (  1.40,   1.34)  SG Improvement:-0.00817 

Goal, Curr: (-0.89,  0.89), (  0.58,  -0.56)   Error: 2.06
Last SG, Last State: (  1.24,   0.75), (  0.47,  -0.60)  SG Improvement:0.12320 

Goal, Curr: (-1.25,  0.80), (  1.40,   1.26)   Error: 2.68
Last SG, Last State: (  2.63,   0.13), (  1.40,   1.23)  SG Improvement:-0.01895 

Goal, Curr: (-1.12,  0.95), (  1.40,   1.33)   Error: 2.55
Last SG, Last State: (  2.59,   0.24), (  1.40,   1.31)  SG Improvement:-0.01001 

Goal, Curr: (-1.23,  0.83), (  1.40,   1.34)   Error: 2.68
Last SG, Last State: (  2.59,   0.25), (  1.40,   1.32)  SG Improvement:-0.00910 

Goal, Curr: (-1.12,  1.20), (  1.40,   1.33)   Error: 2.52
Last SG, Last State: (  2.62,   0.21), (  1.40,   1.31)  SG Improvement:-0.01023 

Goal, Curr: (-1.11,  0.85), (  0.35,  -0.60)   Error: 2.06
Last SG, Last State: (  0.59,   0.76), (  0.21,  -0.60)  SG Improvement:0.10829 

Goal, Curr: (-1.18,  1.01), (  0.45,  -0.60)   Error: 2.29
Last SG, Last State: (  0.91,   0.71), (  0.33,  -0.60)  SG Improvement:0.07925 

Goal, Curr: (-0.85,  1.18), (  0.53,  -0.60)   Error: 2.25
Last SG, Last State: (  1.18,   0.71), (  0.43,  -0.60)  SG Improvement:0.10826 

episode:00100, mean:5.81, std:0.44, median:5.82, success:0.00
Goal, Curr: (-0.99,  0.78), (  1.40,  -1.40)   Error: 3.23
Last SG, Last State: (  0.22,  -2.79), (  1.40,  -1.40)  SG Improvement:0.00001 

Goal, Curr: (-0.80,  1.13), (  1.40,  -1.40)   Error: 3.36
Last SG, Last State: (  0.09,  -2.79), (  1.40,  -1.40)  SG Improvement:0.00982 

Goal, Curr: (-0.96,  1.10), (  1.40,  -1.40)   Error: 3.43
Last SG, Last State: (  0.13,  -2.78), (  1.40,  -1.40)  SG Improvement:0.00455 

Goal, Curr: (-0.83,  1.19), (  1.40,  -1.40)   Error: 3.42
