Using device: cpu
no-correct-actual-per-fast-learners
Initializing with critic LR:  0.05  actor LR:  0.0001
Initializing with critic LR:  0.001  actor LR:  0.0005
Goal, Curr: (-1.20,  1.01), ( -1.01,  -1.02)   Error: 2.05
Last SG, Last State: ( -1.00,  -1.04), ( -1.01,  -1.02)  SG Improvement:0.00000 

Goal, Curr: (-1.09,  1.21), ( -1.27,  -0.73)   Error: 1.95
Last SG, Last State: ( -1.37,  -0.66), ( -1.34,  -0.68)  SG Improvement:-0.48144 

Goal, Curr: (-1.13,  0.76), ( -0.73,  -1.19)   Error: 1.99
Last SG, Last State: ( -0.79,  -1.18), ( -0.77,  -1.18)  SG Improvement:-0.03175 

Goal, Curr: (-0.81,  0.93), ( -0.85,  -0.88)   Error: 1.81
Last SG, Last State: ( -0.84,  -0.90), ( -0.85,  -0.88)  SG Improvement:-0.00000 

Goal, Curr: (-1.08,  1.24), ( -0.95,  -0.99)   Error: 2.23
Last SG, Last State: ( -0.99,  -0.98), ( -0.99,  -0.97)  SG Improvement:-1.05142 

Goal, Curr: (-0.99,  1.13), ( -1.40,  -0.60)   Error: 1.77
Last SG, Last State: ( -1.39,  -0.62), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.23,  0.79), ( -1.40,  -0.60)   Error: 1.41
Last SG, Last State: ( -1.39,  -0.62), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.07,  1.02), (  0.13,  -1.40)   Error: 2.71
Last SG, Last State: (  0.08,  -1.41), (  0.10,  -1.40)  SG Improvement:-0.21320 

Goal, Curr: (-1.23,  0.90), ( -0.13,  -1.40)   Error: 2.55
Last SG, Last State: ( -0.19,  -1.42), ( -0.17,  -1.40)  SG Improvement:-0.08647 

Goal, Curr: (-0.79,  1.12), ( -0.87,  -0.89)   Error: 2.01
Last SG, Last State: ( -0.86,  -0.90), ( -0.87,  -0.89)  SG Improvement:-0.00000 

Goal, Curr: (-0.97,  1.09), ( -1.08,  -1.18)   Error: 2.28
Last SG, Last State: ( -1.07,  -1.20), ( -1.08,  -1.18)  SG Improvement:-0.00000 

Goal, Curr: (-1.02,  0.91), ( -1.00,  -1.18)   Error: 2.09
Last SG, Last State: ( -0.99,  -1.19), ( -1.00,  -1.18)  SG Improvement:0.00000 

Goal, Curr: (-1.07,  1.00), ( -1.40,  -0.60)   Error: 1.63
Last SG, Last State: ( -1.39,  -0.62), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.09,  1.13), ( -0.80,  -1.07)   Error: 2.21
Last SG, Last State: ( -0.79,  -1.08), ( -0.80,  -1.07)  SG Improvement:-0.00000 

Goal, Curr: (-1.06,  0.86), ( -0.76,  -1.02)   Error: 1.90
Last SG, Last State: ( -0.75,  -1.03), ( -0.76,  -1.02)  SG Improvement:-0.00000 

Goal, Curr: (-0.78,  0.98), ( -0.80,  -0.96)   Error: 1.94
Last SG, Last State: ( -0.79,  -0.98), ( -0.80,  -0.96)  SG Improvement:-0.00000 

Goal, Curr: (-0.76,  0.83), ( -1.06,  -1.17)   Error: 2.02
Last SG, Last State: ( -1.05,  -1.18), ( -1.06,  -1.17)  SG Improvement:-0.00000 

Goal, Curr: (-1.17,  1.14), ( -1.40,  -1.04)   Error: 2.19
Last SG, Last State: ( -1.39,  -1.00), ( -1.40,  -1.00)  SG Improvement:-0.03508 

Goal, Curr: (-1.00,  1.04), ( -0.92,  -0.93)   Error: 1.96
Last SG, Last State: ( -0.91,  -0.94), ( -0.92,  -0.93)  SG Improvement:-0.00000 

Goal, Curr: (-1.16,  1.20), ( -1.13,  -1.13)   Error: 2.33
Last SG, Last State: ( -1.12,  -1.15), ( -1.13,  -1.13)  SG Improvement:-0.00000 

Goal, Curr: (-1.05,  0.82), ( -0.95,  -1.10)   Error: 1.92
Last SG, Last State: ( -0.94,  -1.12), ( -0.95,  -1.10)  SG Improvement:-0.00000 

Goal, Curr: (-0.83,  1.12), ( -1.22,  -1.20)   Error: 2.35
Last SG, Last State: ( -1.21,  -1.22), ( -1.22,  -1.20)  SG Improvement:-0.00000 

Goal, Curr: (-1.15,  0.79), ( -1.05,  -1.12)   Error: 1.91
Last SG, Last State: ( -1.04,  -1.14), ( -1.05,  -1.12)  SG Improvement:0.00000 

Goal, Curr: (-0.88,  1.00), ( -1.09,  -1.24)   Error: 2.25
Last SG, Last State: ( -1.08,  -1.26), ( -1.09,  -1.24)  SG Improvement:-0.00000 

Goal, Curr: (-1.05,  1.06), ( -1.40,  -0.60)   Error: 1.70
Last SG, Last State: ( -1.39,  -0.62), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.05,  0.85), ( -0.87,  -1.21)   Error: 2.07
Last SG, Last State: ( -0.86,  -1.23), ( -0.87,  -1.21)  SG Improvement:0.00000 

Goal, Curr: (-0.82,  1.10), ( -0.93,  -1.03)   Error: 2.13
Last SG, Last State: ( -1.01,  -0.97), ( -0.97,  -1.00)  SG Improvement:-0.20507 

Goal, Curr: (-0.91,  1.21), ( -1.30,  -1.32)   Error: 2.55
Last SG, Last State: ( -1.29,  -1.33), ( -1.30,  -1.32)  SG Improvement:0.00000 

Goal, Curr: (-1.16,  1.00), ( -1.36,  -0.65)   Error: 1.67
Last SG, Last State: ( -1.38,  -0.70), ( -1.39,  -0.60)  SG Improvement:-1.69410 

Goal, Curr: (-0.93,  0.78), ( -1.40,  -1.17)   Error: 2.00
Last SG, Last State: ( -1.39,  -1.12), ( -1.40,  -1.14)  SG Improvement:0.00567 

Goal, Curr: (-1.17,  0.90), ( -0.90,  -1.02)   Error: 1.93
Last SG, Last State: ( -0.89,  -1.04), ( -0.90,  -1.02)  SG Improvement:0.00000 

Goal, Curr: (-1.07,  0.89), ( -1.04,  -1.19)   Error: 2.08
Last SG, Last State: ( -1.03,  -1.21), ( -1.04,  -1.19)  SG Improvement:-0.00000 

Goal, Curr: (-0.94,  1.01), ( -1.06,  -1.14)   Error: 2.16
Last SG, Last State: ( -1.05,  -1.16), ( -1.06,  -1.14)  SG Improvement:0.00000 

Goal, Curr: (-0.93,  1.12), ( -1.03,  -0.95)   Error: 2.08
Last SG, Last State: ( -1.15,  -0.84), ( -1.09,  -0.89)  SG Improvement:-0.11430 

Goal, Curr: (-0.97,  0.88), ( -0.87,  -0.91)   Error: 1.80
Last SG, Last State: ( -0.86,  -0.93), ( -0.87,  -0.91)  SG Improvement:-0.00000 

