Using device: cpu
no-correct-actual-per-ridiculously-slow
Initializing with critic LR:  5e-05  actor LR:  1e-08
Initializing with critic LR:  1e-07  actor LR:  5e-08
Goal, Curr: (-1.12,  0.86), ( -1.40,  -0.98)   Error: 1.86
Last SG, Last State: ( -1.40,  -1.00), ( -1.40,  -0.99)  SG Improvement:-0.00658 

Goal, Curr: (-0.82,  1.13), ( -1.40,  -0.74)   Error: 1.96
Last SG, Last State: ( -1.40,  -0.75), ( -1.40,  -0.75)  SG Improvement:-0.00301 

Goal, Curr: (-1.14,  1.08), ( -1.40,  -0.89)   Error: 1.99
Last SG, Last State: ( -1.40,  -0.91), ( -1.40,  -0.90)  SG Improvement:-0.00502 

Goal, Curr: (-1.08,  1.05), ( -1.40,  -0.98)   Error: 2.05
Last SG, Last State: ( -1.40,  -1.00), ( -1.40,  -0.99)  SG Improvement:-0.00860 

Goal, Curr: (-1.20,  1.09), ( -1.40,  -1.00)   Error: 2.10
Last SG, Last State: ( -1.40,  -1.03), ( -1.40,  -1.02)  SG Improvement:-0.00939 

Goal, Curr: (-0.77,  1.12), ( -1.40,  -1.01)   Error: 2.22
Last SG, Last State: ( -1.40,  -1.03), ( -1.40,  -1.02)  SG Improvement:-0.00645 

Goal, Curr: (-0.85,  0.85), ( -1.40,  -0.99)   Error: 1.92
Last SG, Last State: ( -1.40,  -1.01), ( -1.40,  -1.00)  SG Improvement:-0.00927 

Goal, Curr: (-0.76,  1.23), ( -1.40,  -1.02)   Error: 2.33
Last SG, Last State: ( -1.40,  -1.03), ( -1.40,  -1.02)  SG Improvement:-0.00678 

Goal, Curr: (-0.98,  1.16), ( -1.40,  -0.93)   Error: 2.13
Last SG, Last State: ( -1.40,  -0.95), ( -1.40,  -0.94)  SG Improvement:-0.00784 

Goal, Curr: (-1.01,  1.16), ( -1.40,  -0.88)   Error: 2.07
Last SG, Last State: ( -1.40,  -0.89), ( -1.40,  -0.88)  SG Improvement:-0.00435 

Goal, Curr: (-1.11,  0.84), ( -1.40,  -0.90)   Error: 1.77
Last SG, Last State: ( -1.40,  -0.92), ( -1.40,  -0.91)  SG Improvement:-0.00636 

Goal, Curr: (-0.84,  0.89), ( -1.40,  -1.00)   Error: 1.97
Last SG, Last State: ( -1.40,  -1.02), ( -1.40,  -1.01)  SG Improvement:-0.00658 

Goal, Curr: (-1.00,  0.79), ( -1.40,  -0.76)   Error: 1.60
Last SG, Last State: ( -1.40,  -0.77), ( -1.40,  -0.77)  SG Improvement:-0.00361 

Goal, Curr: (-1.10,  1.10), ( -1.40,  -0.73)   Error: 1.86
Last SG, Last State: ( -1.40,  -0.74), ( -1.40,  -0.74)  SG Improvement:-0.00278 

Goal, Curr: (-0.76,  0.94), ( -1.40,  -0.73)   Error: 1.79
Last SG, Last State: ( -1.40,  -0.74), ( -1.40,  -0.74)  SG Improvement:-0.00227 

Goal, Curr: (-1.02,  0.94), ( -1.40,  -0.81)   Error: 1.79
Last SG, Last State: ( -1.40,  -0.82), ( -1.40,  -0.81)  SG Improvement:-0.00343 

Goal, Curr: (-1.16,  0.76), ( -1.40,  -1.16)   Error: 1.93
Last SG, Last State: ( -1.40,  -1.18), ( -1.40,  -1.17)  SG Improvement:-0.00893 

Goal, Curr: (-0.83,  1.22), ( -1.40,  -1.06)   Error: 2.35
Last SG, Last State: ( -1.40,  -1.08), ( -1.40,  -1.07)  SG Improvement:-0.01000 

Goal, Curr: (-1.18,  0.99), ( -1.40,  -1.10)   Error: 2.11
Last SG, Last State: ( -1.40,  -1.12), ( -1.40,  -1.11)  SG Improvement:-0.00841 

Goal, Curr: (-0.79,  1.22), ( -1.40,  -1.04)   Error: 2.34
Last SG, Last State: ( -1.40,  -1.06), ( -1.40,  -1.05)  SG Improvement:-0.00751 

Goal, Curr: (-1.16,  1.20), ( -1.40,  -1.02)   Error: 2.23
Last SG, Last State: ( -1.40,  -1.05), ( -1.40,  -1.03)  SG Improvement:-0.00933 

Goal, Curr: (-1.11,  0.91), ( -1.40,  -0.89)   Error: 1.82
Last SG, Last State: ( -1.40,  -0.90), ( -1.40,  -0.89)  SG Improvement:-0.00525 

Goal, Curr: (-1.14,  1.18), ( -1.40,  -0.83)   Error: 2.03
Last SG, Last State: ( -1.40,  -0.85), ( -1.40,  -0.84)  SG Improvement:-0.00453 

Goal, Curr: (-0.90,  1.12), ( -1.40,  -1.10)   Error: 2.28
Last SG, Last State: ( -1.40,  -1.12), ( -1.40,  -1.11)  SG Improvement:-0.00851 

Goal, Curr: (-1.04,  0.77), ( -1.40,  -0.88)   Error: 1.69
Last SG, Last State: ( -1.40,  -0.89), ( -1.40,  -0.88)  SG Improvement:-0.00691 

Goal, Curr: (-1.09,  1.01), ( -1.40,  -0.91)   Error: 1.95
Last SG, Last State: ( -1.40,  -0.93), ( -1.40,  -0.92)  SG Improvement:-0.00736 

Goal, Curr: (-1.16,  1.17), ( -1.40,  -0.80)   Error: 1.99
Last SG, Last State: ( -1.40,  -0.81), ( -1.40,  -0.81)  SG Improvement:-0.00424 

Goal, Curr: (-0.88,  0.83), ( -1.40,  -0.90)   Error: 1.81
