Using device: cpu
no-correct-actual2-per-ridiculously-slow
Initializing with critic LR:  5e-05  actor LR:  1e-08
Initializing with critic LR:  1e-07  actor LR:  5e-08
Goal, Curr: (-0.75,  1.01), ( -1.40,  -0.60)   Error: 1.74
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.06607 

Goal, Curr: (-1.05,  1.01), ( -1.40,  -0.60)   Error: 1.65
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.06743 

Goal, Curr: (-1.05,  1.15), ( -1.40,  -0.60)   Error: 1.78
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.07569 

Goal, Curr: (-1.20,  1.19), ( -1.40,  -0.60)   Error: 1.81
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.07192 

Goal, Curr: (-1.14,  0.93), ( -1.40,  -0.60)   Error: 1.55
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.07769 

Goal, Curr: (-0.75,  1.22), ( -1.40,  -0.60)   Error: 1.93
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.07103 

Goal, Curr: (-1.14,  0.92), ( -1.40,  -0.60)   Error: 1.54
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.07639 

Goal, Curr: (-1.20,  0.88), ( -1.40,  -0.60)   Error: 1.49
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.07593 

Goal, Curr: (-0.97,  1.14), ( -1.40,  -0.60)   Error: 1.79
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.07651 

Goal, Curr: (-1.04,  0.87), ( -1.40,  -0.60)   Error: 1.51
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.05587 

Goal, Curr: (-0.98,  0.77), ( -1.40,  -0.60)   Error: 1.43
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.07424 

Goal, Curr: (-1.17,  0.94), ( -1.40,  -0.60)   Error: 1.56
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.05816 

Goal, Curr: (-1.00,  1.16), ( -1.40,  -0.60)   Error: 1.80
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.06243 

Goal, Curr: (-0.90,  1.14), ( -1.40,  -0.60)   Error: 1.81
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.07205 

Goal, Curr: (-1.11,  0.77), ( -1.40,  -0.60)   Error: 1.40
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.07315 

Goal, Curr: (-0.86,  1.11), ( -1.40,  -0.60)   Error: 1.80
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.07658 

Goal, Curr: (-0.94,  0.83), ( -1.40,  -0.60)   Error: 1.51
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.06232 

Goal, Curr: (-1.10,  1.04), ( -1.40,  -0.60)   Error: 1.67
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.06434 

Goal, Curr: (-0.78,  1.04), ( -1.40,  -0.60)   Error: 1.76
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.06748 

Goal, Curr: (-0.88,  0.97), ( -1.40,  -0.60)   Error: 1.65
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.07569 

Goal, Curr: (-0.79,  0.83), ( -1.40,  -0.60)   Error: 1.55
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.07817 

Goal, Curr: (-1.17,  1.12), ( -1.40,  -0.60)   Error: 1.74
