Using device: cpu
no-correct-actualper2-fast-learning
Initializing with critic LR:  0.05  actor LR:  0.0001
Initializing with critic LR:  0.001  actor LR:  0.0005
Goal, Curr: (-0.82,  1.24), ( -1.40,  -0.60)   Error: 1.93
Last SG, Last State: ( -0.14,  -0.07), ( -1.40,  -0.60)  SG Improvement:0.00013 

Goal, Curr: (-0.82,  1.12), ( -1.40,  -0.60)   Error: 1.81
Last SG, Last State: ( -0.16,  -0.11), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.02,  1.22), ( -1.40,  -0.60)   Error: 1.86
Last SG, Last State: ( -0.13,  -0.02), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.94,  0.98), ( -1.40,  -0.60)   Error: 1.64
Last SG, Last State: ( -0.16,  -0.12), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.17,  0.96), ( -1.40,  -0.60)   Error: 1.57
Last SG, Last State: ( -0.15,  -0.05), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.96,  1.01), ( -1.40,  -0.60)   Error: 1.67
Last SG, Last State: ( -0.16,  -0.10), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.79,  0.90), ( -1.40,  -1.07)   Error: 2.06
Last SG, Last State: ( -0.01,  -0.90), ( -1.40,  -1.07)  SG Improvement:0.00017 

Goal, Curr: (-1.16,  0.87), ( -1.40,  -0.60)   Error: 1.49
Last SG, Last State: ( -0.16,  -0.08), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.93,  1.15), ( -1.40,  -0.60)   Error: 1.82
Last SG, Last State: ( -0.15,  -0.07), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.14,  1.14), ( -1.40,  -0.60)   Error: 1.76
Last SG, Last State: ( -0.13,  -0.00), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.09,  0.85), ( -1.40,  -0.81)   Error: 1.69
Last SG, Last State: ( -0.03,  -0.53), ( -1.40,  -0.83)  SG Improvement:0.01007 

Goal, Curr: (-0.94,  0.94), ( -1.40,  -0.60)   Error: 1.61
Last SG, Last State: ( -0.17,  -0.13), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.00,  0.96), ( -1.40,  -0.60)   Error: 1.61
Last SG, Last State: ( -0.16,  -0.10), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.15,  1.20), ( -1.40,  -0.60)   Error: 1.82
Last SG, Last State: ( -0.13,   0.02), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.00,  0.84), ( -1.40,  -0.60)   Error: 1.50
Last SG, Last State: ( -0.17,  -0.14), ( -1.40,  -0.60)  SG Improvement:0.00002 

