Using device: cpu
no-correct-but-whoknows-anymore
Initializing with critic LR:  0.2  actor LR:  0.01
Initializing with critic LR:  0.0002  actor LR:  0.0005
Goal, Curr: (-1.07,  1.04), (  1.26,  -1.40)   Error: 3.37
Last SG, Last State: (  3.11,  -3.40), (  1.18,  -1.40)  SG Improvement:0.05082 

Goal, Curr: (-1.20,  1.12), (  1.38,  -1.36)   Error: 3.58
Last SG, Last State: (  3.38,  -3.35), (  1.38,  -1.36)  SG Improvement:0.04701 

Goal, Curr: (-1.23,  0.81), (  1.07,  -1.40)   Error: 3.19
Last SG, Last State: (  2.97,  -3.40), (  1.02,  -1.40)  SG Improvement:0.13097 

Goal, Curr: (-0.99,  0.94), (  1.38,  -1.36)   Error: 3.31
Last SG, Last State: (  3.38,  -3.36), (  1.38,  -1.36)  SG Improvement:0.00000 

Goal, Curr: (-1.19,  0.97), (  1.37,  -1.36)   Error: 3.47
Last SG, Last State: (  3.37,  -3.36), (  1.37,  -1.36)  SG Improvement:-0.00000 

Goal, Curr: (-1.22,  0.84), (  0.98,  -1.31)   Error: 3.08
Last SG, Last State: (  2.94,  -3.33), (  0.96,  -1.32)  SG Improvement:-0.01048 

Goal, Curr: (-0.85,  0.81), (  1.38,  -1.36)   Error: 3.11
Last SG, Last State: (  3.38,  -3.36), (  1.38,  -1.36)  SG Improvement:0.00000 

Goal, Curr: (-1.14,  1.19), (  1.37,  -1.36)   Error: 3.58
Last SG, Last State: (  3.37,  -3.36), (  1.37,  -1.36)  SG Improvement:0.00000 

Goal, Curr: (-0.99,  0.86), (  1.39,  -1.37)   Error: 3.26
Last SG, Last State: (  3.39,  -3.37), (  1.39,  -1.37)  SG Improvement:-0.00000 

Goal, Curr: (-0.76,  1.09), (  1.38,  -1.36)   Error: 3.25
Last SG, Last State: (  3.38,  -3.36), (  1.38,  -1.36)  SG Improvement:0.00000 

Goal, Curr: (-1.09,  0.83), (  1.35,  -1.39)   Error: 3.29
Last SG, Last State: (  3.35,  -3.39), (  1.35,  -1.39)  SG Improvement:0.00002 

Goal, Curr: (-1.11,  1.11), (  1.38,  -1.37)   Error: 3.51
Last SG, Last State: (  3.38,  -3.37), (  1.38,  -1.37)  SG Improvement:0.00000 

Goal, Curr: (-1.16,  1.07), (  1.38,  -1.36)   Error: 3.52
Last SG, Last State: (  3.38,  -3.36), (  1.38,  -1.36)  SG Improvement:0.00000 

Goal, Curr: (-0.99,  0.84), (  1.38,  -1.36)   Error: 3.23
Last SG, Last State: (  3.38,  -3.36), (  1.38,  -1.36)  SG Improvement:0.00000 

Goal, Curr: (-0.95,  0.78), (  1.37,  -1.36)   Error: 3.16
Last SG, Last State: (  3.37,  -3.36), (  1.37,  -1.36)  SG Improvement:0.00000 

Goal, Curr: (-1.18,  0.79), (  1.38,  -1.37)   Error: 3.35
Last SG, Last State: (  3.38,  -3.37), (  1.38,  -1.37)  SG Improvement:0.00000 

Goal, Curr: (-0.82,  1.13), (  1.38,  -1.36)   Error: 3.32
Last SG, Last State: (  3.38,  -3.36), (  1.38,  -1.36)  SG Improvement:0.00000 

Goal, Curr: (-0.92,  1.22), (  1.24,  -1.40)   Error: 3.39
Last SG, Last State: (  3.13,  -3.40), (  1.19,  -1.40)  SG Improvement:0.02315 

Goal, Curr: (-1.12,  0.97), (  1.39,  -1.37)   Error: 3.43
Last SG, Last State: (  3.39,  -3.37), (  1.39,  -1.37)  SG Improvement:-0.00388 

Goal, Curr: (-0.88,  0.89), (  1.39,  -1.37)   Error: 3.20
Last SG, Last State: (  3.39,  -3.37), (  1.39,  -1.37)  SG Improvement:-0.00374 

Goal, Curr: (-1.07,  1.21), (  1.13,  -1.40)   Error: 3.42
Last SG, Last State: (  3.02,  -3.40), (  1.08,  -1.40)  SG Improvement:0.02991 

Goal, Curr: (-1.04,  1.10), (  1.39,  -1.38)   Error: 3.46
Last SG, Last State: (  3.36,  -3.40), (  1.40,  -1.40)  SG Improvement:-0.36882 

Goal, Curr: (-1.04,  0.91), (  1.37,  -1.35)   Error: 3.31
Last SG, Last State: (  3.37,  -3.35), (  1.37,  -1.35)  SG Improvement:0.00000 

Goal, Curr: (-1.23,  1.21), (  1.38,  -1.37)   Error: 3.67
Last SG, Last State: (  3.38,  -3.37), (  1.38,  -1.37)  SG Improvement:0.00000 

Goal, Curr: (-0.82,  0.76), (  1.38,  -1.37)   Error: 3.06
Last SG, Last State: (  3.38,  -3.37), (  1.38,  -1.37)  SG Improvement:0.00000 

Goal, Curr: (-0.85,  0.87), (  1.38,  -1.37)   Error: 3.16
Last SG, Last State: (  3.38,  -3.37), (  1.38,  -1.37)  SG Improvement:-0.00114 

Goal, Curr: (-1.10,  0.85), (  1.38,  -1.36)   Error: 3.32
Last SG, Last State: (  3.38,  -3.36), (  1.38,  -1.36)  SG Improvement:0.00000 

Goal, Curr: (-0.81,  0.85), (  1.38,  -1.37)   Error: 3.12
Last SG, Last State: (  3.38,  -3.37), (  1.38,  -1.37)  SG Improvement:0.00000 

Goal, Curr: (-1.21,  0.79), (  1.38,  -1.37)   Error: 3.38
Last SG, Last State: (  3.38,  -3.36), (  1.38,  -1.37)  SG Improvement:0.03790 

Goal, Curr: (-0.87,  1.18), (  1.38,  -1.36)   Error: 3.39
Last SG, Last State: (  3.38,  -3.36), (  1.38,  -1.36)  SG Improvement:0.00000 

Goal, Curr: (-0.83,  1.05), (  1.38,  -1.37)   Error: 3.28
Last SG, Last State: (  3.39,  -3.39), (  1.38,  -1.36)  SG Improvement:-0.02183 

Goal, Curr: (-0.86,  0.89), (  1.38,  -1.36)   Error: 3.17
Last SG, Last State: (  3.38,  -3.36), (  1.38,  -1.36)  SG Improvement:0.00177 

Goal, Curr: (-1.20,  1.00), (  1.38,  -1.37)   Error: 3.51
Last SG, Last State: (  3.38,  -3.37), (  1.38,  -1.37)  SG Improvement:-0.00000 

Goal, Curr: (-0.90,  1.18), (  1.38,  -1.36)   Error: 3.41
Last SG, Last State: (  3.38,  -3.36), (  1.38,  -1.36)  SG Improvement:-0.00000 

Goal, Curr: (-0.90,  1.13), (  1.38,  -1.37)   Error: 3.38
Last SG, Last State: (  3.38,  -3.37), (  1.38,  -1.37)  SG Improvement:0.00000 

Goal, Curr: (-0.83,  0.83), (  1.37,  -1.35)   Error: 3.10
Last SG, Last State: (  3.37,  -3.35), (  1.37,  -1.35)  SG Improvement:0.00000 

Goal, Curr: (-0.88,  1.05), (  1.37,  -1.36)   Error: 3.30
Last SG, Last State: (  3.37,  -3.36), (  1.37,  -1.36)  SG Improvement:-0.00000 

Goal, Curr: (-0.96,  1.11), (  1.38,  -1.36)   Error: 3.39
Last SG, Last State: (  3.38,  -3.36), (  1.38,  -1.36)  SG Improvement:0.00000 

Goal, Curr: (-0.92,  0.92), (  1.37,  -1.35)   Error: 3.23
Last SG, Last State: (  3.37,  -3.35), (  1.37,  -1.35)  SG Improvement:0.00000 

Goal, Curr: (-0.97,  0.96), (  1.38,  -1.36)   Error: 3.30
Last SG, Last State: (  3.38,  -3.36), (  1.38,  -1.36)  SG Improvement:0.00005 

Goal, Curr: (-1.01,  0.88), (  1.38,  -1.37)   Error: 3.28
Last SG, Last State: (  3.38,  -3.37), (  1.38,  -1.37)  SG Improvement:0.00000 

Goal, Curr: (-1.02,  1.09), (  1.38,  -1.36)   Error: 3.43
Last SG, Last State: (  3.38,  -3.36), (  1.38,  -1.36)  SG Improvement:0.00000 

Goal, Curr: (-1.05,  1.01), (  1.37,  -1.36)   Error: 3.38
Last SG, Last State: (  3.37,  -3.36), (  1.37,  -1.36)  SG Improvement:0.00000 

Goal, Curr: (-1.12,  1.24), (  1.39,  -1.38)   Error: 3.62
Last SG, Last State: (  3.37,  -3.40), (  1.40,  -1.40)  SG Improvement:-0.36928 

Goal, Curr: (-1.21,  1.22), (  1.37,  -1.36)   Error: 3.65
Last SG, Last State: (  3.37,  -3.36), (  1.37,  -1.36)  SG Improvement:0.00000 

Goal, Curr: (-0.87,  0.76), (  1.37,  -1.35)   Error: 3.08
Last SG, Last State: (  3.37,  -3.35), (  1.37,  -1.35)  SG Improvement:0.00000 

Goal, Curr: (-1.21,  1.00), (  1.37,  -1.35)   Error: 3.49
Last SG, Last State: (  3.37,  -3.35), (  1.37,  -1.35)  SG Improvement:0.00000 

Goal, Curr: (-1.05,  1.24), (  1.38,  -1.37)   Error: 3.56
Last SG, Last State: (  3.38,  -3.37), (  1.38,  -1.37)  SG Improvement:0.00000 

Goal, Curr: (-0.85,  1.09), (  1.37,  -1.36)   Error: 3.31
Last SG, Last State: (  3.37,  -3.36), (  1.37,  -1.36)  SG Improvement:-0.00000 

Goal, Curr: (-1.01,  1.23), (  1.38,  -1.36)   Error: 3.53
Last SG, Last State: (  3.38,  -3.36), (  1.38,  -1.36)  SG Improvement:0.00000 

episode:00100, mean:7.67, std:0.46, median:7.62, success:0.00
Goal, Curr: (-1.19,  0.83), ( -1.40,  -1.40)   Error: 2.24
Last SG, Last State: (  0.66,  -3.40), ( -1.40,  -1.40)  SG Improvement:-0.75941 

Goal, Curr: (-1.02,  1.21), ( -1.40,  -1.40)   Error: 2.63
Last SG, Last State: (  0.60,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.02,  1.24), ( -1.40,  -1.40)   Error: 2.66
Last SG, Last State: (  0.60,  -3.40), ( -1.40,  -1.40)  SG Improvement:-0.00000 

Goal, Curr: (-0.81,  0.90), ( -1.40,  -1.40)   Error: 2.37
Last SG, Last State: (  0.60,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-0.75,  0.79), ( -1.40,  -1.40)   Error: 2.28
Last SG, Last State: (  0.60,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-0.90,  1.11), ( -1.40,  -1.40)   Error: 2.55
Last SG, Last State: (  0.60,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00476 

Goal, Curr: (-0.84,  1.17), ( -1.40,  -1.40)   Error: 2.63
Last SG, Last State: (  0.60,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.04,  1.20), ( -1.40,  -1.40)   Error: 2.62
