Using device: cpu
no-correct-custom-success
Goal, Curr: (-0.94,  0.97), ( -1.40,  -1.38)   Error: 2.40
Last SG, Last State: (  0.60,  -1.35), ( -1.40,  -1.37)  SG Improvement:-0.09993 

Goal, Curr: (-1.18,  0.82), ( -1.40,  -0.91)   Error: 1.75
Last SG, Last State: (  0.60,  -0.57), ( -1.40,  -0.93)  SG Improvement:0.05540 

Goal, Curr: (-1.10,  1.10), ( -1.40,  -1.40)   Error: 2.51
Last SG, Last State: (  0.60,  -1.13), ( -1.40,  -1.39)  SG Improvement:-0.08347 

Goal, Curr: (-1.25,  0.87), ( -1.40,  -1.40)   Error: 2.27
Last SG, Last State: (  0.60,  -0.84), ( -1.40,  -1.40)  SG Improvement:-0.68841 

Goal, Curr: (-1.14,  1.00), ( -1.40,  -0.63)   Error: 1.65
Last SG, Last State: (  0.60,  -0.38), ( -1.40,  -0.67)  SG Improvement:0.02958 

Goal, Curr: (-1.21,  0.93), ( -1.40,  -1.37)   Error: 2.30
Last SG, Last State: (  0.60,  -0.85), ( -1.40,  -1.40)  SG Improvement:-0.21140 

Goal, Curr: (-0.81,  0.92), ( -1.40,  -0.77)   Error: 1.79
Last SG, Last State: (  0.60,  -0.47), ( -1.40,  -0.80)  SG Improvement:-0.01800 

Goal, Curr: (-1.04,  1.03), ( -1.40,  -1.40)   Error: 2.45
Last SG, Last State: (  0.60,  -0.84), ( -1.40,  -1.40)  SG Improvement:0.31016 

Goal, Curr: (-0.99,  1.06), ( -1.40,  -0.60)   Error: 1.72
Last SG, Last State: (  0.60,  -0.11), ( -1.40,  -0.60)  SG Improvement:-0.00018 

Goal, Curr: (-0.80,  1.13), ( -1.40,  -1.19)   Error: 2.39
Last SG, Last State: (  0.60,  -0.63), ( -1.40,  -1.18)  SG Improvement:-0.15392 

Goal, Curr: (-1.03,  1.01), ( -1.40,  -0.83)   Error: 1.88
Last SG, Last State: (  0.60,  -0.47), ( -1.40,  -0.85)  SG Improvement:0.03051 

Goal, Curr: (-0.86,  1.16), ( -1.40,  -0.60)   Error: 1.84
Last SG, Last State: (  0.60,  -0.09), ( -1.40,  -0.60)  SG Improvement:-0.00061 

Goal, Curr: (-1.15,  0.99), ( -1.40,  -1.40)   Error: 2.40
Last SG, Last State: (  0.60,  -0.80), ( -1.40,  -1.40)  SG Improvement:-0.68809 

Goal, Curr: (-1.17,  0.85), ( -1.40,  -0.72)   Error: 1.59
Last SG, Last State: (  0.60,  -0.46), ( -1.40,  -0.75)  SG Improvement:0.01810 

Goal, Curr: (-1.16,  1.09), ( -1.40,  -1.38)   Error: 2.49
Last SG, Last State: (  0.60,  -0.80), ( -1.40,  -1.40)  SG Improvement:-0.06776 

Goal, Curr: (-0.79,  0.92), ( -1.40,  -1.38)   Error: 2.38
Last SG, Last State: (  0.60,  -1.43), ( -1.40,  -1.37)  SG Improvement:-0.10247 

Goal, Curr: (-1.19,  0.77), ( -1.40,  -1.40)   Error: 2.17
Last SG, Last State: (  0.60,  -1.10), ( -1.40,  -1.40)  SG Improvement:-0.02818 

Goal, Curr: (-1.18,  1.06), ( -1.40,  -1.40)   Error: 2.47
Last SG, Last State: (  0.60,  -1.05), ( -1.40,  -1.39)  SG Improvement:-0.02224 

Goal, Curr: (-1.08,  1.00), ( -1.40,  -1.40)   Error: 2.42
Last SG, Last State: (  0.60,  -0.84), ( -1.40,  -1.40)  SG Improvement:-0.10005 

Goal, Curr: (-1.11,  1.06), ( -1.40,  -1.38)   Error: 2.46
Last SG, Last State: (  0.60,  -0.85), ( -1.40,  -1.40)  SG Improvement:0.32879 

Goal, Curr: (-0.88,  1.04), ( -1.40,  -1.40)   Error: 2.49
Last SG, Last State: (  0.60,  -1.14), ( -1.40,  -1.39)  SG Improvement:-0.07483 

Goal, Curr: (-1.15,  0.91), ( -1.40,  -0.60)   Error: 1.53
Last SG, Last State: (  0.60,  -0.16), ( -1.40,  -0.60)  SG Improvement:-0.01333 

Goal, Curr: (-1.14,  1.19), ( -1.40,  -1.33)   Error: 2.54
Last SG, Last State: (  0.60,  -0.71), ( -1.40,  -1.31)  SG Improvement:-0.07701 

Goal, Curr: (-1.06,  1.12), ( -1.40,  -0.60)   Error: 1.75
Last SG, Last State: (  0.60,  -0.10), ( -1.40,  -0.60)  SG Improvement:0.00006 

Goal, Curr: (-0.97,  1.13), ( -1.40,  -1.35)   Error: 2.52
Last SG, Last State: (  0.60,  -0.75), ( -1.40,  -1.32)  SG Improvement:-0.04810 

Goal, Curr: (-0.91,  1.17), ( -1.40,  -1.40)   Error: 2.62
Last SG, Last State: (  0.60,  -0.86), ( -1.40,  -1.40)  SG Improvement:-0.00598 

Goal, Curr: (-0.81,  0.89), ( -1.40,  -1.40)   Error: 2.36
Last SG, Last State: (  0.60,  -0.88), ( -1.40,  -1.40)  SG Improvement:-0.42317 

Goal, Curr: (-0.78,  1.02), ( -1.40,  -1.40)   Error: 2.50
Last SG, Last State: (  0.60,  -1.04), ( -1.40,  -1.40)  SG Improvement:-0.02231 

Goal, Curr: (-0.88,  0.85), ( -1.40,  -1.40)   Error: 2.31
Last SG, Last State: (  0.60,  -1.15), ( -1.40,  -1.39)  SG Improvement:-0.04362 

Goal, Curr: (-1.18,  1.13), ( -1.40,  -0.60)   Error: 1.75
Last SG, Last State: (  0.60,  -0.09), ( -1.40,  -0.60)  SG Improvement:0.00003 

Goal, Curr: (-1.19,  0.83), ( -1.40,  -1.40)   Error: 2.24
Last SG, Last State: (  0.60,  -0.85), ( -1.40,  -1.39)  SG Improvement:-0.62691 

Goal, Curr: (-0.89,  0.90), ( -1.40,  -0.64)   Error: 1.62
Last SG, Last State: (  0.60,  -0.42), ( -1.40,  -0.67)  SG Improvement:0.01224 

Goal, Curr: (-0.82,  1.22), ( -1.40,  -1.40)   Error: 2.69
Last SG, Last State: (  0.60,  -0.73), ( -1.40,  -1.40)  SG Improvement:-0.73153 

Goal, Curr: (-1.18,  1.23), ( -1.40,  -1.38)   Error: 2.62
Last SG, Last State: (  0.60,  -0.75), ( -1.40,  -1.40)  SG Improvement:-0.04682 

Goal, Curr: (-1.16,  0.89), ( -1.40,  -1.39)   Error: 2.29
Last SG, Last State: (  0.60,  -0.86), ( -1.40,  -1.40)  SG Improvement:-0.12894 

Goal, Curr: (-1.09,  1.25), ( -1.40,  -0.60)   Error: 1.87
Last SG, Last State: (  0.60,  -0.07), ( -1.40,  -0.60)  SG Improvement:-0.00245 

