Using device: cpu
no-correct-less-crazy-per-2
Initializing with critic LR:  0.05  actor LR:  1e-05
Initializing with critic LR:  0.001  actor LR:  0.0005
Goal, Curr: (-0.79,  1.10), (  0.03,  -0.60)   Error: 1.89
Last SG, Last State: (  0.32,  -0.41), (  0.02,  -0.60)  SG Improvement:0.00726 

Goal, Curr: (-0.97,  0.89), (  0.04,  -0.60)   Error: 1.81
Last SG, Last State: (  0.33,  -0.41), (  0.04,  -0.60)  SG Improvement:0.00534 

Goal, Curr: (-0.76,  1.08), (  0.04,  -0.60)   Error: 1.86
Last SG, Last State: (  0.33,  -0.41), (  0.03,  -0.60)  SG Improvement:0.00654 

Goal, Curr: (-0.96,  1.15), ( -0.00,  -0.60)   Error: 1.99
Last SG, Last State: (  0.30,  -0.40), ( -0.01,  -0.60)  SG Improvement:0.00759 

Goal, Curr: (-0.86,  1.25), ( -0.00,  -0.60)   Error: 2.04
Last SG, Last State: (  0.30,  -0.40), ( -0.01,  -0.60)  SG Improvement:0.00748 

Goal, Curr: (-1.25,  1.03), ( -0.01,  -0.60)   Error: 2.04
Last SG, Last State: (  0.31,  -0.40), ( -0.02,  -0.60)  SG Improvement:0.00498 

Goal, Curr: (-1.24,  0.85), (  0.02,  -0.60)   Error: 1.92
Last SG, Last State: (  0.33,  -0.40), (  0.02,  -0.60)  SG Improvement:0.00512 

Goal, Curr: (-1.05,  0.87), (  0.03,  -0.60)   Error: 1.83
Last SG, Last State: (  0.33,  -0.41), (  0.03,  -0.60)  SG Improvement:0.00572 

Goal, Curr: (-0.89,  0.78), (  0.06,  -0.60)   Error: 1.68
Last SG, Last State: (  0.35,  -0.41), (  0.06,  -0.60)  SG Improvement:0.00399 

Goal, Curr: (-1.05,  1.09), (  0.01,  -0.60)   Error: 1.99
Last SG, Last State: (  0.32,  -0.40), (  0.01,  -0.60)  SG Improvement:0.00597 

Goal, Curr: (-1.25,  1.04), ( -0.01,  -0.60)   Error: 2.05
Last SG, Last State: (  0.31,  -0.40), ( -0.02,  -0.60)  SG Improvement:0.00494 

Goal, Curr: (-0.96,  0.85), (  0.04,  -0.60)   Error: 1.76
Last SG, Last State: (  0.32,  -0.41), (  0.03,  -0.60)  SG Improvement:0.00754 

Goal, Curr: (-1.15,  1.05), ( -0.00,  -0.60)   Error: 2.01
Last SG, Last State: (  0.31,  -0.40), ( -0.01,  -0.60)  SG Improvement:0.00579 

Goal, Curr: (-0.93,  1.01), (  0.02,  -0.60)   Error: 1.88
Last SG, Last State: (  0.32,  -0.41), (  0.02,  -0.60)  SG Improvement:0.00744 

Goal, Curr: (-0.97,  0.76), (  0.05,  -0.60)   Error: 1.70
Last SG, Last State: (  0.33,  -0.41), (  0.05,  -0.60)  SG Improvement:0.00709 

Goal, Curr: (-1.15,  0.82), (  0.02,  -0.60)   Error: 1.84
Last SG, Last State: (  0.32,  -0.41), (  0.02,  -0.60)  SG Improvement:0.00740 

Goal, Curr: (-1.06,  0.85), (  0.04,  -0.60)   Error: 1.82
Last SG, Last State: (  0.33,  -0.41), (  0.03,  -0.60)  SG Improvement:0.00515 

Goal, Curr: (-0.86,  1.11), (  0.02,  -0.60)   Error: 1.92
Last SG, Last State: (  0.31,  -0.41), (  0.01,  -0.60)  SG Improvement:0.00810 

Goal, Curr: (-0.89,  1.06), (  0.03,  -0.60)   Error: 1.90
Last SG, Last State: (  0.33,  -0.41), (  0.03,  -0.60)  SG Improvement:0.00555 

Goal, Curr: (-0.85,  1.21), (  0.02,  -0.60)   Error: 2.01
Last SG, Last State: (  0.33,  -0.40), (  0.02,  -0.60)  SG Improvement:0.00546 

Goal, Curr: (-0.91,  1.13), (  0.02,  -0.60)   Error: 1.96
Last SG, Last State: (  0.32,  -0.40), (  0.01,  -0.60)  SG Improvement:0.00667 

Goal, Curr: (-0.77,  0.90), (  0.06,  -0.60)   Error: 1.72
Last SG, Last State: (  0.35,  -0.41), (  0.06,  -0.60)  SG Improvement:0.00429 

Goal, Curr: (-1.16,  0.81), (  0.02,  -0.60)   Error: 1.84
Last SG, Last State: (  0.32,  -0.41), (  0.02,  -0.60)  SG Improvement:0.00658 

Goal, Curr: (-1.22,  0.98), ( -0.02,  -0.60)   Error: 1.99
Last SG, Last State: (  0.29,  -0.40), ( -0.03,  -0.60)  SG Improvement:0.00777 

Goal, Curr: (-0.83,  0.86), (  0.06,  -0.60)   Error: 1.72
Last SG, Last State: (  0.35,  -0.41), (  0.06,  -0.60)  SG Improvement:0.00407 

