Using device: cpu
no-correct-old-reward-1
Initializing with critic LR:  0.2  actor LR:  0.01
Initializing with critic LR:  0.0002  actor LR:  0.0005
Goal, Curr: (-1.12,  1.09), (  1.39,  -0.38)   Error: 2.91
Last SG, Last State: (  3.39,  -2.38), (  1.39,  -0.38)  SG Improvement:-0.00016 

Goal, Curr: (-0.90,  0.94), (  1.39,  -0.36)   Error: 2.64
Last SG, Last State: (  3.39,  -2.36), (  1.39,  -0.36)  SG Improvement:0.00805 

Goal, Curr: (-0.96,  1.13), (  1.38,  -0.35)   Error: 2.77
Last SG, Last State: (  3.38,  -2.35), (  1.38,  -0.35)  SG Improvement:-0.00066 

Goal, Curr: (-1.00,  1.08), (  1.39,  -0.37)   Error: 2.80
Last SG, Last State: (  3.39,  -2.37), (  1.39,  -0.37)  SG Improvement:-0.00022 

Goal, Curr: (-1.04,  0.75), (  1.40,  -0.47)   Error: 2.73
Last SG, Last State: (  3.40,  -2.47), (  1.40,  -0.47)  SG Improvement:0.00044 

Goal, Curr: (-1.06,  1.17), (  1.39,  -0.45)   Error: 2.93
Last SG, Last State: (  3.39,  -2.45), (  1.39,  -0.45)  SG Improvement:-0.00029 

Goal, Curr: (-1.01,  1.04), (  1.39,  -0.35)   Error: 2.78
Last SG, Last State: (  3.39,  -2.35), (  1.39,  -0.35)  SG Improvement:-0.00013 

Goal, Curr: (-0.80,  0.94), (  1.39,  -0.32)   Error: 2.53
Last SG, Last State: (  3.39,  -2.32), (  1.39,  -0.32)  SG Improvement:0.00729 

Goal, Curr: (-1.19,  0.93), (  1.39,  -0.36)   Error: 2.89
Last SG, Last State: (  3.39,  -2.36), (  1.39,  -0.36)  SG Improvement:0.00308 

Goal, Curr: (-1.09,  1.19), (  1.39,  -0.37)   Error: 2.94
Last SG, Last State: (  3.39,  -2.37), (  1.39,  -0.37)  SG Improvement:-0.00015 

Goal, Curr: (-1.23,  0.89), (  1.39,  -0.33)   Error: 2.89
Last SG, Last State: (  3.39,  -2.33), (  1.39,  -0.33)  SG Improvement:-0.00039 

Goal, Curr: (-1.03,  1.01), (  1.39,  -0.36)   Error: 2.78
Last SG, Last State: (  3.39,  -2.36), (  1.39,  -0.36)  SG Improvement:-0.00011 

Goal, Curr: (-1.10,  0.76), (  1.40,  -0.48)   Error: 2.78
