Using device: cpu
no-correct-per-everything-ridiculously-slow
Initializing with critic LR:  5e-05  actor LR:  1e-08
Initializing with critic LR:  1e-07  actor LR:  5e-08
Goal, Curr: (-0.88,  0.94), ( -1.40,  -0.60)   Error: 1.62
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.02904 

Goal, Curr: (-1.25,  1.11), ( -1.40,  -0.60)   Error: 1.72
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.03202 

Goal, Curr: (-1.24,  1.03), ( -1.40,  -0.60)   Error: 1.64
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.02884 

Goal, Curr: (-1.18,  0.91), ( -1.40,  -0.60)   Error: 1.52
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.03033 

Goal, Curr: (-1.05,  1.03), ( -1.40,  -0.60)   Error: 1.67
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.02998 

Goal, Curr: (-0.89,  1.13), ( -1.40,  -0.60)   Error: 1.80
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.02956 

Goal, Curr: (-0.88,  1.11), ( -1.40,  -0.60)   Error: 1.79
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.03003 

Goal, Curr: (-1.21,  1.21), ( -1.40,  -0.60)   Error: 1.82
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.03110 

Goal, Curr: (-1.16,  1.23), ( -1.40,  -0.60)   Error: 1.85
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.03182 

Goal, Curr: (-0.90,  0.98), ( -1.40,  -0.60)   Error: 1.66
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.03015 

Goal, Curr: (-0.86,  0.98), ( -1.40,  -0.60)   Error: 1.67
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.03199 

Goal, Curr: (-1.22,  1.04), ( -1.40,  -0.60)   Error: 1.65
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.02903 

Goal, Curr: (-0.94,  1.05), ( -1.40,  -0.60)   Error: 1.72
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.03072 

Goal, Curr: (-1.05,  1.01), ( -1.40,  -0.60)   Error: 1.65
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.03031 

Goal, Curr: (-1.01,  0.76), ( -1.40,  -0.60)   Error: 1.42
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.03206 

Goal, Curr: (-0.86,  1.08), ( -1.40,  -0.60)   Error: 1.76
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.03092 

Goal, Curr: (-1.20,  1.16), ( -1.40,  -0.60)   Error: 1.77
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.02974 

Goal, Curr: (-0.91,  0.95), ( -1.40,  -0.60)   Error: 1.63
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.03077 

Goal, Curr: (-1.19,  0.90), ( -1.40,  -0.60)   Error: 1.52
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.02896 

Goal, Curr: (-1.13,  0.97), ( -1.40,  -0.60)   Error: 1.59
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.02912 

Goal, Curr: (-1.13,  0.77), ( -1.40,  -0.60)   Error: 1.39
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.02753 

Goal, Curr: (-0.77,  1.25), ( -1.40,  -0.60)   Error: 1.95
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.02987 

Goal, Curr: (-1.16,  0.84), ( -1.40,  -0.60)   Error: 1.46
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.02905 

Goal, Curr: (-1.07,  0.78), ( -1.40,  -0.60)   Error: 1.42
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.03303 

Goal, Curr: (-1.06,  0.92), ( -1.40,  -0.60)   Error: 1.56
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.03106 

Goal, Curr: (-0.88,  1.23), ( -1.40,  -0.60)   Error: 1.91
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.03026 

Goal, Curr: (-1.05,  0.87), ( -1.40,  -0.60)   Error: 1.51
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.03047 

Goal, Curr: (-0.90,  0.77), ( -1.40,  -0.60)   Error: 1.46
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.03105 

Goal, Curr: (-0.90,  1.08), ( -1.40,  -0.60)   Error: 1.75
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.03248 

Goal, Curr: (-0.87,  0.93), ( -1.40,  -0.60)   Error: 1.62
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.02710 

Goal, Curr: (-1.25,  1.08), ( -1.40,  -0.60)   Error: 1.69
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.02947 

Goal, Curr: (-1.19,  0.79), ( -1.40,  -0.60)   Error: 1.41
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.02935 

Goal, Curr: (-1.16,  0.75), ( -1.40,  -0.60)   Error: 1.38
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.02942 

Goal, Curr: (-0.82,  0.91), ( -1.40,  -0.60)   Error: 1.62
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.03115 

Goal, Curr: (-1.18,  0.78), ( -1.40,  -0.60)   Error: 1.40
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.02883 

Goal, Curr: (-1.07,  0.80), ( -1.40,  -0.60)   Error: 1.44
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.03011 

Goal, Curr: (-0.87,  0.78), ( -1.40,  -0.60)   Error: 1.48
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.02951 

Goal, Curr: (-0.85,  0.75), ( -1.40,  -0.60)   Error: 1.46
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.03132 

Goal, Curr: (-0.75,  1.19), ( -1.40,  -0.60)   Error: 1.90
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.03116 

Goal, Curr: (-1.12,  1.18), ( -1.40,  -0.60)   Error: 1.80
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.02984 

Goal, Curr: (-0.92,  1.14), ( -1.40,  -0.60)   Error: 1.80
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.03981 

Goal, Curr: (-0.85,  1.10), ( -1.40,  -0.60)   Error: 1.79
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.03244 

Goal, Curr: (-0.88,  1.18), ( -1.40,  -0.60)   Error: 1.86
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.03064 

Goal, Curr: (-0.87,  0.92), ( -1.40,  -0.60)   Error: 1.61
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.02945 

Goal, Curr: (-1.11,  0.89), ( -1.40,  -0.60)   Error: 1.52
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.03057 

Goal, Curr: (-1.20,  0.85), ( -1.40,  -0.60)   Error: 1.47
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.03215 

Goal, Curr: (-1.07,  1.12), ( -1.40,  -0.60)   Error: 1.75
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.02854 

Goal, Curr: (-0.93,  1.03), ( -1.40,  -0.60)   Error: 1.69
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.03053 

Goal, Curr: (-0.83,  1.20), ( -1.40,  -0.60)   Error: 1.89
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.03320 

Goal, Curr: (-1.08,  0.89), ( -1.40,  -0.60)   Error: 1.52
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.03005 

episode:00100, mean:5.89, std:0.60, median:5.80, success:0.00
Goal, Curr: (-1.02,  1.15), ( -1.37,  -0.60)   Error: 1.79
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.13720 

Goal, Curr: (-1.12,  0.83), ( -1.40,  -0.60)   Error: 1.46
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.09519 

Goal, Curr: (-1.20,  0.95), ( -1.39,  -0.60)   Error: 1.56
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.10594 

Goal, Curr: (-1.14,  0.96), ( -1.40,  -0.60)   Error: 1.58
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.10301 

Goal, Curr: (-0.84,  1.23), ( -1.40,  -0.60)   Error: 1.92
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.10445 

Goal, Curr: (-0.99,  0.80), ( -1.40,  -0.60)   Error: 1.46
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.09511 

Goal, Curr: (-1.18,  0.90), ( -1.39,  -0.60)   Error: 1.52
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.10597 

Goal, Curr: (-1.01,  0.95), ( -1.32,  -0.60)   Error: 1.58
Last SG, Last State: ( -1.39,  -0.61), ( -1.37,  -0.60)  SG Improvement:-0.23382 

Goal, Curr: (-1.16,  1.05), ( -1.40,  -0.60)   Error: 1.67
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.10509 

Goal, Curr: (-1.24,  1.10), ( -1.40,  -0.60)   Error: 1.71
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.09799 

Goal, Curr: (-0.98,  0.94), ( -1.37,  -0.60)   Error: 1.59
Last SG, Last State: ( -1.40,  -0.61), ( -1.39,  -0.60)  SG Improvement:-0.15514 

Goal, Curr: (-1.02,  1.06), ( -1.31,  -0.60)   Error: 1.69
Last SG, Last State: ( -1.39,  -0.61), ( -1.36,  -0.60)  SG Improvement:-0.23132 

Goal, Curr: (-0.83,  0.99), ( -1.40,  -0.60)   Error: 1.69
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.10153 

Goal, Curr: (-0.83,  0.84), ( -1.40,  -0.60)   Error: 1.55
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.09288 

Goal, Curr: (-0.93,  1.02), ( -1.40,  -0.60)   Error: 1.69
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.09064 

Goal, Curr: (-1.05,  1.02), ( -1.36,  -0.60)   Error: 1.65
Last SG, Last State: ( -1.40,  -0.61), ( -1.39,  -0.60)  SG Improvement:-0.20880 

Goal, Curr: (-0.85,  1.08), ( -1.40,  -0.60)   Error: 1.77
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.10144 

Goal, Curr: (-1.02,  0.86), ( -1.40,  -0.60)   Error: 1.51
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.09166 

Goal, Curr: (-1.21,  0.99), ( -1.40,  -0.60)   Error: 1.60
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.10232 

Goal, Curr: (-1.24,  1.18), ( -1.40,  -0.60)   Error: 1.78
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.09447 

Goal, Curr: (-1.05,  0.98), ( -1.38,  -0.60)   Error: 1.61
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.12819 

Goal, Curr: (-0.90,  0.90), ( -1.40,  -0.60)   Error: 1.58
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.09861 

Goal, Curr: (-0.87,  1.02), ( -1.40,  -0.60)   Error: 1.70
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.10237 

Goal, Curr: (-1.07,  1.13), ( -1.40,  -0.60)   Error: 1.76
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.10113 

Goal, Curr: (-1.12,  0.89), ( -1.40,  -0.60)   Error: 1.52
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.09461 

Goal, Curr: (-1.09,  1.08), ( -1.33,  -0.60)   Error: 1.70
Last SG, Last State: ( -1.40,  -0.61), ( -1.38,  -0.60)  SG Improvement:-0.23741 

Goal, Curr: (-1.12,  1.24), ( -1.36,  -0.60)   Error: 1.86
Last SG, Last State: ( -1.40,  -0.61), ( -1.39,  -0.60)  SG Improvement:-0.19059 

Goal, Curr: (-0.82,  0.99), ( -1.40,  -0.60)   Error: 1.69
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.10201 

Goal, Curr: (-1.03,  0.78), ( -1.31,  -0.60)   Error: 1.41
Last SG, Last State: ( -1.39,  -0.60), ( -1.36,  -0.60)  SG Improvement:-0.23120 

Goal, Curr: (-1.24,  0.90), ( -1.35,  -0.60)   Error: 1.50
Last SG, Last State: ( -1.40,  -0.61), ( -1.38,  -0.60)  SG Improvement:-0.24303 

Goal, Curr: (-1.19,  1.07), ( -1.40,  -0.60)   Error: 1.68
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.10155 

Goal, Curr: (-1.05,  1.05), ( -1.37,  -0.60)   Error: 1.68
Last SG, Last State: ( -1.40,  -0.61), ( -1.39,  -0.60)  SG Improvement:-0.16946 

Goal, Curr: (-0.77,  1.02), ( -1.40,  -0.60)   Error: 1.74
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.09469 

Goal, Curr: (-1.06,  1.08), ( -1.40,  -0.60)   Error: 1.71
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.09677 

Goal, Curr: (-0.81,  1.17), ( -1.39,  -0.60)   Error: 1.86
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.10511 

Goal, Curr: (-1.10,  1.12), ( -1.40,  -0.60)   Error: 1.75
Last SG, Last State: ( -1.40,  -0.61), ( -1.40,  -0.60)  SG Improvement:-0.09525 

Goal, Curr: (-0.93,  0.89), ( -1.40,  -0.60)   Error: 1.56
Last SG, Last State: ( -1.40,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.09722 

Goal, Curr: (-0.82,  1.03), ( -1.40,  -0.60)   Error: 1.73
