Using device: cpu
no-correct-per-ridiculously-slow-low-learner
Initializing with critic LR:  0.0005  actor LR:  1e-06
Initializing with critic LR:  1e-07  actor LR:  5e-08
Goal, Curr: (-0.92,  0.92), ( -1.40,  -1.40)   Error: 2.36
Last SG, Last State: ( -1.36,  -1.47), ( -1.40,  -1.40)  SG Improvement:0.00090 

Goal, Curr: (-0.96,  1.22), ( -1.40,  -1.40)   Error: 2.65
Last SG, Last State: ( -1.36,  -1.48), ( -1.40,  -1.40)  SG Improvement:0.00108 

Goal, Curr: (-1.21,  0.77), ( -1.40,  -0.80)   Error: 1.59
Last SG, Last State: ( -1.36,  -0.84), ( -1.40,  -0.79)  SG Improvement:-0.00119 

Goal, Curr: (-0.80,  1.16), ( -1.40,  -1.40)   Error: 2.63
Last SG, Last State: ( -1.36,  -1.47), ( -1.40,  -1.40)  SG Improvement:0.00097 

Goal, Curr: (-0.91,  0.86), ( -1.40,  -1.33)   Error: 2.24
Last SG, Last State: ( -1.36,  -1.33), ( -1.40,  -1.29)  SG Improvement:-0.00448 

Goal, Curr: (-0.91,  1.09), ( -1.40,  -1.24)   Error: 2.38
Last SG, Last State: ( -1.36,  -1.27), ( -1.40,  -1.21)  SG Improvement:-0.00482 

Goal, Curr: (-1.09,  0.99), ( -1.40,  -0.67)   Error: 1.69
Last SG, Last State: ( -1.36,  -0.75), ( -1.40,  -0.68)  SG Improvement:-0.00496 

Goal, Curr: (-1.24,  0.94), ( -1.40,  -1.15)   Error: 2.10
Last SG, Last State: ( -1.36,  -1.15), ( -1.40,  -1.11)  SG Improvement:-0.00118 

Goal, Curr: (-1.23,  1.09), ( -1.40,  -1.40)   Error: 2.50
Last SG, Last State: ( -1.36,  -1.48), ( -1.40,  -1.40)  SG Improvement:0.00111 

Goal, Curr: (-0.96,  0.82), ( -1.40,  -1.18)   Error: 2.05
Last SG, Last State: ( -1.37,  -1.16), ( -1.40,  -1.13)  SG Improvement:-0.00234 

Goal, Curr: (-0.79,  0.76), ( -1.40,  -1.40)   Error: 2.25
Last SG, Last State: ( -1.36,  -1.47), ( -1.40,  -1.40)  SG Improvement:0.00068 

Goal, Curr: (-0.97,  0.78), ( -1.40,  -1.40)   Error: 2.22
Last SG, Last State: ( -1.36,  -1.47), ( -1.40,  -1.40)  SG Improvement:-0.05108 

Goal, Curr: (-1.23,  0.83), ( -1.40,  -1.11)   Error: 1.94
Last SG, Last State: ( -1.36,  -1.12), ( -1.40,  -1.08)  SG Improvement:-0.00197 

Goal, Curr: (-0.85,  1.01), ( -1.40,  -0.66)   Error: 1.76
Last SG, Last State: ( -1.36,  -0.73), ( -1.40,  -0.66)  SG Improvement:-0.00545 

Goal, Curr: (-1.20,  1.09), ( -1.40,  -1.14)   Error: 2.25
Last SG, Last State: ( -1.36,  -1.16), ( -1.40,  -1.11)  SG Improvement:-0.00175 

