Using device: cpu
no-correct-per-super-slow-lower-learner-slower-high-actor
Initializing with critic LR:  0.0005  actor LR:  1e-06
Initializing with critic LR:  1e-06  actor LR:  5e-07
Goal, Curr: (-1.06,  1.04), ( -1.27,  -1.02)   Error: 2.07
Last SG, Last State: ( -1.22,  -1.02), ( -1.27,  -1.02)  SG Improvement:-0.00005 

Goal, Curr: (-1.15,  1.05), ( -1.32,  -1.01)   Error: 2.07
Last SG, Last State: ( -1.27,  -1.02), ( -1.32,  -1.02)  SG Improvement:-0.00677 

Goal, Curr: (-1.13,  1.13), ( -1.36,  -1.08)   Error: 2.22
Last SG, Last State: ( -1.31,  -1.08), ( -1.36,  -1.08)  SG Improvement:-0.00328 

Goal, Curr: (-0.92,  1.09), ( -1.34,  -1.08)   Error: 2.21
Last SG, Last State: ( -1.29,  -1.07), ( -1.34,  -1.08)  SG Improvement:0.00008 

Goal, Curr: (-1.16,  1.01), ( -1.26,  -1.22)   Error: 2.23
Last SG, Last State: ( -1.21,  -1.21), ( -1.26,  -1.22)  SG Improvement:0.00002 

Goal, Curr: (-1.09,  1.20), ( -1.13,  -1.16)   Error: 2.36
Last SG, Last State: ( -1.08,  -1.16), ( -1.13,  -1.16)  SG Improvement:0.00074 

Goal, Curr: (-0.91,  0.81), ( -1.36,  -0.99)   Error: 1.85
Last SG, Last State: ( -1.31,  -0.99), ( -1.36,  -0.99)  SG Improvement:-0.00055 

Goal, Curr: (-0.95,  1.03), ( -1.15,  -1.16)   Error: 2.20
Last SG, Last State: ( -1.10,  -1.15), ( -1.15,  -1.16)  SG Improvement:0.00057 

Goal, Curr: (-0.93,  1.13), ( -1.19,  -1.17)   Error: 2.32
Last SG, Last State: ( -1.14,  -1.16), ( -1.20,  -1.17)  SG Improvement:0.00042 

Goal, Curr: (-0.98,  1.09), ( -1.35,  -0.95)   Error: 2.07
Last SG, Last State: ( -1.30,  -0.95), ( -1.35,  -0.95)  SG Improvement:-0.00044 

Goal, Curr: (-0.96,  0.98), ( -1.35,  -0.97)   Error: 1.99
Last SG, Last State: ( -1.31,  -0.98), ( -1.35,  -0.98)  SG Improvement:-0.00225 

Goal, Curr: (-1.21,  0.98), ( -1.13,  -1.24)   Error: 2.23
Last SG, Last State: ( -1.08,  -1.24), ( -1.13,  -1.24)  SG Improvement:0.00035 

Goal, Curr: (-0.76,  1.24), ( -1.27,  -0.97)   Error: 2.26
Last SG, Last State: ( -1.21,  -0.96), ( -1.26,  -0.97)  SG Improvement:-0.00537 

Goal, Curr: (-0.87,  0.87), ( -1.33,  -0.96)   Error: 1.89
Last SG, Last State: ( -1.28,  -0.96), ( -1.33,  -0.96)  SG Improvement:-0.00059 

Goal, Curr: (-1.02,  1.09), ( -1.14,  -1.10)   Error: 2.19
Last SG, Last State: ( -1.08,  -1.09), ( -1.14,  -1.09)  SG Improvement:0.00073 

Goal, Curr: (-0.91,  1.21), ( -1.29,  -0.99)   Error: 2.23
Last SG, Last State: ( -1.24,  -0.99), ( -1.29,  -0.99)  SG Improvement:-0.00768 

Goal, Curr: (-0.94,  0.81), ( -1.21,  -1.14)   Error: 1.97
