Using device: cpu
no-correct-per-super-slow-lower-learner
Initializing with critic LR:  0.0005  actor LR:  1e-05
Initializing with critic LR:  1e-06  actor LR:  5e-07
Goal, Curr: (-0.80,  1.12), (  1.37,   0.49)   Error: 2.26
Last SG, Last State: (  1.00,   0.22), (  1.40,   0.30)  SG Improvement:-0.03665 

Goal, Curr: (-0.77,  0.89), (  1.38,   1.08)   Error: 2.15
Last SG, Last State: (  0.75,   1.05), (  1.19,   1.13)  SG Improvement:-1.68079 

Goal, Curr: (-0.89,  1.07), (  1.31,   0.77)   Error: 2.23
Last SG, Last State: (  1.03,   0.50), (  1.37,   0.58)  SG Improvement:-0.16853 

Goal, Curr: (-0.75,  1.21), (  1.40,   0.52)   Error: 2.25
Last SG, Last State: (  1.00,   0.25), (  1.40,   0.32)  SG Improvement:0.02821 

Goal, Curr: (-0.96,  1.10), (  1.41,   1.10)   Error: 2.36
Last SG, Last State: (  0.40,   0.69), (  1.25,   1.10)  SG Improvement:-0.78601 

Goal, Curr: (-0.85,  1.10), (  1.33,   0.75)   Error: 2.21
Last SG, Last State: (  1.03,   0.47), (  1.38,   0.56)  SG Improvement:-0.15093 

Goal, Curr: (-0.78,  1.23), (  1.28,   1.09)   Error: 2.07
Last SG, Last State: (  0.56,   1.02), (  1.09,   1.13)  SG Improvement:-1.62692 

Goal, Curr: (-1.23,  0.98), (  1.32,   0.88)   Error: 2.55
Last SG, Last State: (  1.00,   0.61), (  1.38,   0.69)  SG Improvement:-0.18078 

Goal, Curr: (-0.90,  1.03), (  1.40,   0.36)   Error: 2.40
Last SG, Last State: (  1.00,   0.10), (  1.40,   0.16)  SG Improvement:0.04701 

Goal, Curr: (-1.00,  1.16), (  1.25,   1.11)   Error: 2.25
Last SG, Last State: (  0.06,   0.58), (  1.05,   1.09)  SG Improvement:-0.38828 

Goal, Curr: (-0.94,  1.04), (  1.36,   0.85)   Error: 2.32
Last SG, Last State: (  1.02,   0.56), (  1.39,   0.65)  SG Improvement:-0.07006 

Goal, Curr: (-1.07,  0.78), (  1.35,   0.63)   Error: 2.43
Last SG, Last State: (  1.03,   0.35), (  1.39,   0.43)  SG Improvement:-0.10252 

Goal, Curr: (-1.00,  0.89), (  1.15,   0.77)   Error: 2.15
Last SG, Last State: ( -0.06,   0.15), (  0.97,   0.68)  SG Improvement:0.04516 

Goal, Curr: (-0.80,  0.93), (  1.40,   1.08)   Error: 2.20
Last SG, Last State: (  0.47,   0.77), (  1.20,   1.10)  SG Improvement:-1.03961 

Goal, Curr: (-0.76,  0.94), (  1.09,   1.19)   Error: 1.87
Last SG, Last State: (  1.23,   1.56), (  1.11,   1.37)  SG Improvement:-1.28260 

Goal, Curr: (-1.04,  0.82), (  1.40,   0.57)   Error: 2.45
Last SG, Last State: (  1.03,   0.31), (  1.40,   0.37)  SG Improvement:0.03735 

Goal, Curr: (-1.19,  0.79), (  1.36,   1.10)   Error: 2.57
Last SG, Last State: (  0.32,   0.69), (  1.16,   1.10)  SG Improvement:-0.79629 

Goal, Curr: (-0.93,  1.15), (  1.40,   1.07)   Error: 2.33
Last SG, Last State: (  0.28,   0.38), (  1.34,   0.98)  SG Improvement:0.13147 

Goal, Curr: (-0.91,  0.75), (  1.13,   1.14)   Error: 2.08
Last SG, Last State: (  1.23,   1.59), (  1.06,   1.31)  SG Improvement:-2.01083 

Goal, Curr: (-1.03,  0.78), (  1.20,   1.13)   Error: 2.25
Last SG, Last State: (  1.28,   1.59), (  1.11,   1.30)  SG Improvement:-2.23318 

Goal, Curr: (-1.01,  0.97), (  1.40,   1.09)   Error: 2.41
Last SG, Last State: (  0.35,   0.66), (  1.22,   1.09)  SG Improvement:-0.65889 

Goal, Curr: (-0.77,  1.23), (  1.41,   1.04)   Error: 2.18
Last SG, Last State: (  0.39,   0.47), (  1.27,   0.92)  SG Improvement:-0.03323 

Goal, Curr: (-0.91,  0.82), (  1.40,   0.57)   Error: 2.32
Last SG, Last State: (  1.05,   0.30), (  1.40,   0.37)  SG Improvement:0.04390 

Goal, Curr: (-0.97,  1.04), (  1.37,   0.98)   Error: 2.33
Last SG, Last State: (  0.31,   0.40), (  1.21,   0.85)  SG Improvement:-0.03003 

Goal, Curr: (-1.23,  0.86), (  1.22,   1.13)   Error: 2.47
Last SG, Last State: ( -0.01,   0.47), (  1.04,   1.05)  SG Improvement:0.11450 

Goal, Curr: (-1.09,  0.83), (  1.39,   0.66)   Error: 2.48
Last SG, Last State: (  1.02,   0.38), (  1.40,   0.46)  SG Improvement:0.01597 

Goal, Curr: (-1.07,  0.99), (  1.41,   0.94)   Error: 2.48
Last SG, Last State: (  0.18,   0.36), (  1.22,   0.91)  SG Improvement:-0.11719 

Goal, Curr: (-1.24,  1.19), (  1.40,   1.13)   Error: 2.64
Last SG, Last State: (  0.18,   0.54), (  1.24,   1.10)  SG Improvement:-0.14479 

Goal, Curr: (-0.91,  0.94), (  1.04,   1.12)   Error: 1.96
Last SG, Last State: ( -0.17,   0.53), (  0.84,   1.08)  SG Improvement:-0.14943 

Goal, Curr: (-0.91,  0.85), (  1.40,   0.66)   Error: 2.32
Last SG, Last State: (  1.05,   0.38), (  1.40,   0.46)  SG Improvement:0.02531 

Goal, Curr: (-0.98,  0.93), (  1.35,   1.09)   Error: 2.33
Last SG, Last State: (  0.43,   0.80), (  1.16,   1.11)  SG Improvement:-1.13846 

Goal, Curr: (-1.18,  0.84), (  1.27,   0.88)   Error: 2.45
Last SG, Last State: (  1.05,   0.63), (  1.35,   0.70)  SG Improvement:-0.23442 

Goal, Curr: (-0.96,  0.92), (  1.20,   1.13)   Error: 2.17
Last SG, Last State: (  1.27,   1.60), (  1.11,   1.29)  SG Improvement:-2.31823 

Goal, Curr: (-1.21,  1.05), (  1.17,   0.77)   Error: 2.39
Last SG, Last State: (  1.03,   0.61), (  1.30,   0.63)  SG Improvement:-0.44258 

Goal, Curr: (-1.09,  0.89), (  1.40,   0.74)   Error: 2.49
Last SG, Last State: (  1.03,   0.47), (  1.40,   0.54)  SG Improvement:0.06370 

Goal, Curr: (-0.98,  1.14), (  1.32,   0.84)   Error: 2.32
