Using device: cpu
no-correct-per-very-small-low-and-high
Initializing with critic LR:  0.0005  actor LR:  1e-05
Initializing with critic LR:  0.0001  actor LR:  5e-05
Goal, Curr: (-1.17,  0.83), ( -1.40,  -0.60)   Error: 1.45
Last SG, Last State: ( -1.40,  -0.43), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.84,  1.02), ( -1.40,  -0.60)   Error: 1.72
Last SG, Last State: ( -1.41,  -0.44), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.15,  1.09), ( -1.40,  -0.60)   Error: 1.71
Last SG, Last State: ( -1.40,  -0.42), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.10,  1.18), ( -1.40,  -0.60)   Error: 1.80
Last SG, Last State: ( -1.40,  -0.42), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.92,  1.22), ( -1.40,  -0.60)   Error: 1.89
Last SG, Last State: ( -1.40,  -0.42), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.03,  1.12), ( -1.40,  -0.60)   Error: 1.76
Last SG, Last State: ( -1.40,  -0.42), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.91,  1.10), ( -1.40,  -0.60)   Error: 1.77
Last SG, Last State: ( -1.40,  -0.43), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.09,  1.04), ( -1.40,  -0.60)   Error: 1.67
Last SG, Last State: ( -1.40,  -0.43), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.24,  0.93), ( -1.40,  -0.60)   Error: 1.54
Last SG, Last State: ( -1.40,  -0.42), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.22,  0.91), ( -1.40,  -0.60)   Error: 1.53
Last SG, Last State: ( -1.40,  -0.43), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.10,  0.79), ( -1.40,  -0.60)   Error: 1.43
Last SG, Last State: ( -1.40,  -0.44), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.04,  0.80), ( -1.40,  -0.60)   Error: 1.44
Last SG, Last State: ( -1.41,  -0.44), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-0.76,  0.98), ( -1.40,  -0.60)   Error: 1.71
Last SG, Last State: ( -1.41,  -0.44), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.07,  0.95), ( -1.40,  -0.60)   Error: 1.59
Last SG, Last State: ( -1.40,  -0.43), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.16,  0.99), ( -1.40,  -0.60)   Error: 1.61
Last SG, Last State: ( -1.40,  -0.43), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.07,  1.06), ( -1.40,  -0.60)   Error: 1.69
Last SG, Last State: ( -1.40,  -0.43), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.10,  0.91), ( -1.40,  -0.60)   Error: 1.54
Last SG, Last State: ( -1.40,  -0.43), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.14,  0.88), ( -1.40,  -0.60)   Error: 1.50
Last SG, Last State: ( -1.40,  -0.43), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.94,  1.24), ( -1.40,  -0.60)   Error: 1.90
Last SG, Last State: ( -1.40,  -0.42), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.14,  1.05), ( -1.40,  -0.60)   Error: 1.67
Last SG, Last State: ( -1.40,  -0.42), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.08,  0.99), ( -1.40,  -0.60)   Error: 1.62
Last SG, Last State: ( -1.40,  -0.43), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.20,  1.04), ( -1.40,  -0.60)   Error: 1.66
Last SG, Last State: ( -1.40,  -0.42), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.08,  1.15), ( -1.40,  -0.60)   Error: 1.78
Last SG, Last State: ( -1.40,  -0.42), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.99,  0.82), ( -1.40,  -0.60)   Error: 1.48
Last SG, Last State: ( -1.41,  -0.44), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-0.79,  1.10), ( -1.40,  -0.60)   Error: 1.80
Last SG, Last State: ( -1.41,  -0.44), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.96,  0.95), ( -1.40,  -0.60)   Error: 1.61
Last SG, Last State: ( -1.41,  -0.44), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.05,  0.77), ( -1.40,  -0.60)   Error: 1.41
Last SG, Last State: ( -1.41,  -0.44), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-0.79,  0.94), ( -1.40,  -0.60)   Error: 1.66
Last SG, Last State: ( -1.41,  -0.44), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.12,  0.92), ( -1.40,  -0.60)   Error: 1.55
Last SG, Last State: ( -1.40,  -0.43), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.78,  1.21), ( -1.40,  -0.60)   Error: 1.91
Last SG, Last State: ( -1.41,  -0.43), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.13,  1.06), ( -1.40,  -0.60)   Error: 1.68
Last SG, Last State: ( -1.40,  -0.42), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.76,  1.21), ( -1.40,  -0.60)   Error: 1.93
Last SG, Last State: ( -1.41,  -0.43), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.83,  1.12), ( -1.40,  -0.60)   Error: 1.81
Last SG, Last State: ( -1.41,  -0.43), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.07,  0.97), ( -1.40,  -0.60)   Error: 1.60
Last SG, Last State: ( -1.40,  -0.43), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.04,  0.84), ( -1.40,  -0.60)   Error: 1.49
Last SG, Last State: ( -1.41,  -0.44), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.10,  0.86), ( -1.40,  -0.60)   Error: 1.50
Last SG, Last State: ( -1.40,  -0.43), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.21,  0.79), ( -1.40,  -0.60)   Error: 1.40
Last SG, Last State: ( -1.40,  -0.43), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.06,  1.07), ( -1.40,  -0.60)   Error: 1.71
Last SG, Last State: ( -1.40,  -0.43), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.16,  0.80), ( -1.40,  -0.60)   Error: 1.43
Last SG, Last State: ( -1.40,  -0.43), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-0.99,  1.15), ( -1.40,  -0.60)   Error: 1.80
Last SG, Last State: ( -1.40,  -0.42), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.87,  1.09), ( -1.40,  -0.60)   Error: 1.77
Last SG, Last State: ( -1.41,  -0.43), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.14,  1.14), ( -1.40,  -0.60)   Error: 1.76
Last SG, Last State: ( -1.40,  -0.42), ( -1.40,  -0.60)  SG Improvement:0.00000 

