Using device: cpu
no-correction-12-1
Goal, Curr: (-1.13,  1.09), ( -0.87,  -1.21)   Error: 2.31
Last SG, Last State: ( -2.87,  -3.21), ( -0.87,  -1.21)  SG Improvement:0.00000 

Goal, Curr: (-1.22,  1.09), (  0.60,   0.25)   Error: 2.00
Last SG, Last State: (  0.06,  -2.01), (  0.60,   0.12)  SG Improvement:-0.08452 

Goal, Curr: (-1.13,  1.08), ( -0.36,  -0.89)   Error: 2.11
Last SG, Last State: ( -2.59,  -3.22), ( -0.47,  -1.06)  SG Improvement:-0.12117 

Goal, Curr: (-1.11,  1.05), ( -1.30,  -1.25)   Error: 2.31
Last SG, Last State: ( -3.26,  -3.19), ( -1.28,  -1.22)  SG Improvement:0.01044 

Goal, Curr: (-1.11,  0.90), ( -1.28,  -1.21)   Error: 2.11
Last SG, Last State: ( -3.24,  -3.15), ( -1.26,  -1.18)  SG Improvement:0.01259 

Goal, Curr: (-0.80,  1.08), ( -0.88,  -1.12)   Error: 2.20
Last SG, Last State: ( -2.88,  -3.12), ( -0.88,  -1.12)  SG Improvement:0.00000 

Goal, Curr: (-0.77,  1.05), ( -0.41,  -0.86)   Error: 1.94
Last SG, Last State: ( -1.82,  -2.67), ( -0.25,  -0.74)  SG Improvement:0.12276 

Goal, Curr: (-1.21,  1.12), (  0.26,  -0.60)   Error: 2.26
Last SG, Last State: ( -1.53,  -2.60), (  0.45,  -0.60)  SG Improvement:-0.03256 

Goal, Curr: (-1.05,  1.15), ( -0.48,  -1.01)   Error: 2.24
Last SG, Last State: ( -2.47,  -3.01), ( -0.47,  -1.01)  SG Improvement:0.75359 

Goal, Curr: (-1.07,  0.93), ( -0.81,  -0.76)   Error: 1.71
Last SG, Last State: ( -2.81,  -2.76), ( -0.81,  -0.76)  SG Improvement:-0.00000 

Goal, Curr: (-0.76,  0.81), ( -1.40,  -1.38)   Error: 2.28
Last SG, Last State: ( -3.38,  -3.33), ( -1.40,  -1.36)  SG Improvement:0.01483 

Goal, Curr: (-1.06,  0.90), ( -0.43,  -0.88)   Error: 1.88
Last SG, Last State: ( -1.95,  -2.75), ( -0.38,  -0.83)  SG Improvement:0.14885 

Goal, Curr: (-0.77,  1.09), ( -0.43,  -0.89)   Error: 2.00
Last SG, Last State: ( -2.43,  -2.88), ( -0.43,  -0.88)  SG Improvement:0.10690 

Goal, Curr: (-1.14,  1.18), ( -0.47,  -1.09)   Error: 2.36
Last SG, Last State: ( -2.73,  -3.39), ( -0.59,  -1.24)  SG Improvement:-0.36029 

Goal, Curr: (-0.87,  1.24), ( -0.59,  -1.21)   Error: 2.46
Last SG, Last State: ( -2.90,  -3.40), ( -0.72,  -1.35)  SG Improvement:0.10401 

Goal, Curr: (-0.83,  0.91), ( -0.45,  -0.87)   Error: 1.83
Last SG, Last State: ( -2.45,  -2.87), ( -0.45,  -0.87)  SG Improvement:0.06926 

Goal, Curr: (-0.86,  1.23), ( -0.21,  -0.69)   Error: 2.03
Last SG, Last State: ( -2.43,  -3.03), ( -0.32,  -0.86)  SG Improvement:-0.14247 

Goal, Curr: (-1.12,  0.98), ( -0.36,  -0.91)   Error: 2.03
Last SG, Last State: ( -2.59,  -3.23), ( -0.46,  -1.07)  SG Improvement:-0.11432 

Goal, Curr: (-0.81,  0.95), ( -1.34,  -1.35)   Error: 2.36
Last SG, Last State: ( -3.30,  -3.29), ( -1.32,  -1.32)  SG Improvement:0.01147 

Goal, Curr: (-1.16,  1.07), ( -0.37,  -0.85)   Error: 2.08
Last SG, Last State: ( -1.91,  -2.74), ( -0.34,  -0.83)  SG Improvement:0.24455 

Goal, Curr: (-1.23,  0.89), ( -0.40,  -0.87)   Error: 1.94
Last SG, Last State: ( -2.40,  -2.86), ( -0.40,  -0.87)  SG Improvement:0.17144 

Goal, Curr: (-0.98,  1.14), ( -0.71,  -1.37)   Error: 2.53
Last SG, Last State: ( -3.02,  -3.40), ( -0.88,  -1.40)  SG Improvement:-0.24630 

Goal, Curr: (-0.92,  0.90), ( -0.44,  -0.87)   Error: 1.83
Last SG, Last State: ( -2.44,  -2.87), ( -0.43,  -0.86)  SG Improvement:-0.04466 

Goal, Curr: (-0.82,  1.02), ( -0.84,  -0.87)   Error: 1.89
