Using device: cpu
no-correction-crazy-1
Goal, Curr: (-0.91,  0.96), ( -1.40,  -1.40)   Error: 2.40
Last SG, Last State: ( -3.40,   0.60), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-0.91,  1.23), ( -0.96,  -0.76)   Error: 1.99
Last SG, Last State: ( -2.96,   1.23), ( -0.96,  -0.77)  SG Improvement:0.00143 

Goal, Curr: (-1.14,  0.84), ( -1.08,  -0.71)   Error: 1.55
Last SG, Last State: ( -3.08,   1.27), ( -1.08,  -0.72)  SG Improvement:0.00048 

Goal, Curr: (-1.16,  0.97), ( -1.17,  -0.71)   Error: 1.68
Last SG, Last State: ( -3.17,   1.28), ( -1.17,  -0.71)  SG Improvement:0.00444 

Goal, Curr: (-0.82,  0.81), ( -1.36,  -0.78)   Error: 1.68
Last SG, Last State: ( -3.36,   1.20), ( -1.36,  -0.79)  SG Improvement:0.00683 

Goal, Curr: (-1.12,  0.88), ( -1.22,  -0.94)   Error: 1.83
Last SG, Last State: ( -3.21,   1.28), ( -1.22,  -0.84)  SG Improvement:0.17540 

Goal, Curr: (-0.91,  1.07), ( -0.98,  -0.77)   Error: 1.84
Last SG, Last State: ( -2.98,   1.23), ( -0.98,  -0.77)  SG Improvement:0.00598 

Goal, Curr: (-1.15,  0.99), ( -1.27,  -0.60)   Error: 1.60
Last SG, Last State: ( -3.27,   1.40), ( -1.27,  -0.61)  SG Improvement:0.05269 

Goal, Curr: (-1.04,  1.06), ( -1.23,  -0.68)   Error: 1.75
Last SG, Last State: ( -3.23,   1.31), ( -1.23,  -0.69)  SG Improvement:0.03704 

Goal, Curr: (-1.07,  0.99), ( -1.24,  -0.71)   Error: 1.71
Last SG, Last State: ( -3.24,   1.27), ( -1.24,  -0.72)  SG Improvement:0.00496 

Goal, Curr: (-1.15,  0.79), ( -1.27,  -0.62)   Error: 1.41
Last SG, Last State: ( -3.27,   1.37), ( -1.27,  -0.62)  SG Improvement:-0.04543 

Goal, Curr: (-1.23,  1.23), ( -1.30,  -0.68)   Error: 1.92
