Using device: cpu
no-correction-fin10
Goal, Curr: (-0.77,  1.06), (  0.39,   0.84)   Error: 1.17
Last SG, Last State: (  2.55,   2.45), (  0.48,   0.74)  SG Improvement:0.02173 

Goal, Curr: (-1.04,  0.76), (  0.35,   0.69)   Error: 1.40
Last SG, Last State: (  2.46,   2.11), (  0.40,   0.67)  SG Improvement:-0.32408 

Goal, Curr: (-0.84,  0.86), (  0.60,   0.05)   Error: 1.65
Last SG, Last State: (  2.60,   1.24), (  0.60,  -0.05)  SG Improvement:0.12864 

Goal, Curr: (-1.19,  0.87), (  0.45,   0.63)   Error: 1.66
Last SG, Last State: (  2.57,   2.58), (  0.51,   0.61)  SG Improvement:0.06046 

Goal, Curr: (-1.25,  0.98), (  0.60,   0.48)   Error: 1.91
Last SG, Last State: (  2.60,   2.11), (  0.60,   0.34)  SG Improvement:0.07543 

Goal, Curr: (-0.91,  0.90), (  0.00,   1.09)   Error: 0.93
Last SG, Last State: (  2.18,   2.92), (  0.04,   1.07)  SG Improvement:0.31352 

Goal, Curr: (-0.85,  1.14), ( -0.01,   1.07)   Error: 0.85
Last SG, Last State: (  2.28,   2.44), (  0.15,   1.00)  SG Improvement:-0.22826 

Goal, Curr: (-1.19,  0.76), (  0.52,   0.67)   Error: 1.71
Last SG, Last State: (  2.60,   2.20), (  0.59,   0.55)  SG Improvement:0.04513 

Goal, Curr: (-0.82,  1.20), (  0.45,   0.63)   Error: 1.39
Last SG, Last State: (  2.53,   2.60), (  0.49,   0.62)  SG Improvement:-0.03554 

Goal, Curr: (-0.77,  1.04), (  0.05,   1.06)   Error: 0.82
Last SG, Last State: (  2.29,   2.83), (  0.16,   1.00)  SG Improvement:0.09417 

Goal, Curr: (-1.17,  1.03), (  0.35,   0.67)   Error: 1.56
Last SG, Last State: (  2.47,   2.63), (  0.41,   0.65)  SG Improvement:-0.05084 

Goal, Curr: (-0.95,  0.85), (  0.50,   0.61)   Error: 1.47
Last SG, Last State: (  2.59,   0.95), (  0.55,   0.59)  SG Improvement:-0.48025 

Goal, Curr: (-1.01,  0.93), ( -0.04,   1.08)   Error: 0.98
Last SG, Last State: (  2.10,   3.02), (  0.01,   1.06)  SG Improvement:0.03106 

Goal, Curr: (-1.09,  0.80), (  0.46,   0.64)   Error: 1.55
Last SG, Last State: (  2.59,   2.54), (  0.52,   0.61)  SG Improvement:0.23923 

Goal, Curr: (-0.90,  0.91), (  0.01,   1.06)   Error: 0.93
Last SG, Last State: (  2.30,   2.68), (  0.17,   0.99)  SG Improvement:-0.16845 

Goal, Curr: (-0.83,  1.00), ( -0.16,   1.12)   Error: 0.68
Last SG, Last State: (  1.96,   3.08), ( -0.13,   1.11)  SG Improvement:0.03294 

Goal, Curr: (-0.89,  1.06), (  0.22,   0.77)   Error: 1.15
Last SG, Last State: (  2.37,   2.69), (  0.25,   0.75)  SG Improvement:0.19447 

Goal, Curr: (-1.23,  1.20), (  0.52,   0.61)   Error: 1.85
Last SG, Last State: (  2.60,   0.23), (  0.59,   0.54)  SG Improvement:-0.92721 

Goal, Curr: (-0.83,  0.87), (  0.41,   0.71)   Error: 1.25
Last SG, Last State: (  2.53,   0.55), (  0.51,   0.64)  SG Improvement:-0.93326 

Goal, Curr: (-1.15,  1.02), (  0.60,   0.14)   Error: 1.96
Last SG, Last State: (  2.60,  -0.80), (  0.60,   0.04)  SG Improvement:-0.32508 

Goal, Curr: (-1.03,  0.97), (  0.48,   0.65)   Error: 1.55
Last SG, Last State: (  2.59,   2.53), (  0.53,   0.61)  SG Improvement:0.18596 

Goal, Curr: (-1.20,  1.24), (  0.60,   0.34)   Error: 2.02
Last SG, Last State: (  2.64,   1.92), (  0.62,   0.20)  SG Improvement:0.08607 

Goal, Curr: (-1.05,  1.19), (  0.41,   0.66)   Error: 1.55
Last SG, Last State: (  2.55,   2.59), (  0.45,   0.64)  SG Improvement:0.13956 

Goal, Curr: (-0.77,  1.08), ( -0.14,   1.11)   Error: 0.63
Last SG, Last State: (  1.97,   3.06), ( -0.12,   1.10)  SG Improvement:0.01831 

