Using device: cpu
no-correction-fin8
Goal, Curr: (-0.86,  0.95), ( -0.64,  -1.22)   Error: 2.18
Last SG, Last State: (  1.35,   0.77), ( -0.64,  -1.22)  SG Improvement:-0.10829 

Goal, Curr: (-0.84,  0.96), ( -0.56,  -1.01)   Error: 1.98
Last SG, Last State: (  1.44,   1.00), ( -0.55,  -0.99)  SG Improvement:0.22854 

Goal, Curr: (-1.22,  0.77), ( -0.58,  -0.66)   Error: 1.57
Last SG, Last State: (  1.37,   1.31), ( -0.60,  -0.68)  SG Improvement:-0.01853 

Goal, Curr: (-0.88,  0.94), ( -0.52,  -0.90)   Error: 1.88
Last SG, Last State: (  1.48,   1.10), ( -0.52,  -0.90)  SG Improvement:0.00032 

Goal, Curr: (-1.15,  0.99), ( -0.69,  -0.60)   Error: 1.65
Last SG, Last State: (  1.30,   1.40), ( -0.69,  -0.60)  SG Improvement:-0.04078 

Goal, Curr: (-1.16,  0.93), ( -0.50,  -0.96)   Error: 2.00
Last SG, Last State: (  1.50,   1.04), ( -0.50,  -0.96)  SG Improvement:0.00698 

Goal, Curr: (-1.17,  1.20), (  0.23,   1.37)   Error: 1.41
Last SG, Last State: (  2.41,   3.21), (  0.35,   1.40)  SG Improvement:0.20011 

Goal, Curr: (-1.03,  1.17), ( -0.54,  -0.84)   Error: 2.07
Last SG, Last State: (  1.44,   1.12), ( -0.57,  -0.89)  SG Improvement:0.11937 

Goal, Curr: (-0.89,  1.17), ( -0.43,  -0.94)   Error: 2.16
Last SG, Last State: (  1.58,   1.06), ( -0.42,  -0.92)  SG Improvement:-0.10183 

Goal, Curr: (-0.80,  1.09), ( -0.49,  -0.84)   Error: 1.96
Last SG, Last State: (  1.51,   1.15), ( -0.49,  -0.84)  SG Improvement:0.04828 

Goal, Curr: (-0.88,  1.12), ( -0.53,  -0.94)   Error: 2.09
Last SG, Last State: (  1.47,   1.06), ( -0.52,  -0.94)  SG Improvement:-0.12662 

Goal, Curr: (-0.92,  0.78), ( -0.60,  -1.16)   Error: 1.97
Last SG, Last State: (  1.40,   0.84), ( -0.60,  -1.16)  SG Improvement:-0.01664 

Goal, Curr: (-1.10,  1.05), ( -0.69,  -0.66)   Error: 1.76
Last SG, Last State: (  1.25,   1.32), ( -0.73,  -0.68)  SG Improvement:0.06296 

Goal, Curr: (-1.11,  1.05), ( -0.28,  -0.79)   Error: 2.02
Last SG, Last State: (  1.72,   1.21), ( -0.28,  -0.79)  SG Improvement:0.03073 

Goal, Curr: (-0.82,  0.84), ( -0.17,  -1.05)   Error: 1.99
Last SG, Last State: (  1.81,   0.93), ( -0.18,  -1.06)  SG Improvement:0.01010 

Goal, Curr: (-0.84,  1.23), ( -0.74,  -0.60)   Error: 1.83
Last SG, Last State: (  1.24,   1.39), ( -0.74,  -0.60)  SG Improvement:-0.08413 

Goal, Curr: (-0.82,  0.95), ( -0.52,  -0.99)   Error: 1.96
Last SG, Last State: (  1.48,   1.01), ( -0.52,  -0.99)  SG Improvement:0.05051 

Goal, Curr: (-0.81,  1.04), ( -0.85,  -0.70)   Error: 1.73
Last SG, Last State: (  1.11,   1.32), ( -0.87,  -0.69)  SG Improvement:0.03258 

Goal, Curr: (-0.94,  1.04), ( -0.53,  -0.91)   Error: 1.99
Last SG, Last State: (  1.47,   1.09), ( -0.53,  -0.91)  SG Improvement:0.02829 

Goal, Curr: (-0.86,  0.85), ( -0.51,  -1.09)   Error: 1.97
Last SG, Last State: (  1.46,   0.88), ( -0.52,  -1.10)  SG Improvement:0.05962 

Goal, Curr: (-1.25,  1.21), ( -0.61,  -0.92)   Error: 2.23
Last SG, Last State: (  1.35,   1.01), ( -0.62,  -0.93)  SG Improvement:0.05216 

Goal, Curr: (-1.17,  1.20), ( -0.61,  -0.76)   Error: 2.04
Last SG, Last State: (  1.39,   1.23), ( -0.61,  -0.76)  SG Improvement:-0.00047 

Goal, Curr: (-0.76,  1.05), ( -0.44,  -0.90)   Error: 1.98
Last SG, Last State: (  1.55,   1.08), ( -0.44,  -0.91)  SG Improvement:-0.03713 

Goal, Curr: (-0.81,  0.90), ( -0.36,  -0.60)   Error: 1.57
Last SG, Last State: (  1.64,   1.40), ( -0.36,  -0.60)  SG Improvement:0.00664 

Goal, Curr: (-0.87,  1.04), ( -0.49,  -0.91)   Error: 1.98
Last SG, Last State: (  1.49,   1.06), ( -0.51,  -0.94)  SG Improvement:0.11965 

Goal, Curr: (-1.14,  1.08), ( -0.50,  -1.12)   Error: 2.30
Last SG, Last State: (  1.49,   0.86), ( -0.50,  -1.12)  SG Improvement:0.26182 

Goal, Curr: (-0.97,  1.00), ( -0.54,  -0.92)   Error: 1.96
Last SG, Last State: (  1.46,   1.07), ( -0.54,  -0.92)  SG Improvement:-0.14031 

Goal, Curr: (-1.10,  0.82), ( -0.59,  -1.09)   Error: 1.98
Last SG, Last State: (  1.40,   0.91), ( -0.59,  -1.09)  SG Improvement:0.00596 

Goal, Curr: (-1.16,  0.96), ( -0.42,  -0.68)   Error: 1.80
Last SG, Last State: (  1.58,   1.32), ( -0.42,  -0.68)  SG Improvement:0.00451 

Goal, Curr: (-1.15,  0.79), ( -0.64,  -1.23)   Error: 2.09
Last SG, Last State: (  1.35,   0.77), ( -0.65,  -1.23)  SG Improvement:0.00235 

Goal, Curr: (-0.87,  0.88), ( -0.38,  -1.02)   Error: 1.97
Last SG, Last State: (  1.62,   0.97), ( -0.38,  -1.02)  SG Improvement:-0.00827 

Goal, Curr: (-0.79,  1.06), ( -0.30,  -0.70)   Error: 1.83
Last SG, Last State: (  1.70,   1.30), ( -0.30,  -0.70)  SG Improvement:-0.00001 

Goal, Curr: (-1.13,  1.04), ( -0.63,  -0.61)   Error: 1.72
Last SG, Last State: (  1.37,   1.39), ( -0.63,  -0.61)  SG Improvement:-0.00043 

Goal, Curr: (-1.13,  1.17), ( -0.50,  -0.95)   Error: 2.21
Last SG, Last State: (  1.48,   1.00), ( -0.52,  -1.00)  SG Improvement:-0.03850 

Goal, Curr: (-1.20,  0.81), ( -0.41,  -1.03)   Error: 2.00
Last SG, Last State: (  1.59,   0.96), ( -0.41,  -1.03)  SG Improvement:-0.00913 

Goal, Curr: (-1.08,  0.87), ( -0.53,  -0.84)   Error: 1.80
Last SG, Last State: (  1.47,   1.16), ( -0.53,  -0.84)  SG Improvement:-0.00000 

Goal, Curr: (-0.94,  1.24), ( -0.77,  -0.65)   Error: 1.90
Last SG, Last State: (  1.24,   1.35), ( -0.76,  -0.64)  SG Improvement:-0.04283 

Goal, Curr: (-1.16,  1.16), ( -0.56,  -1.30)   Error: 2.53
Last SG, Last State: (  1.43,   0.69), ( -0.57,  -1.31)  SG Improvement:-0.08627 

Goal, Curr: (-1.03,  1.03), ( -0.67,  -0.62)   Error: 1.69
Last SG, Last State: (  1.33,   1.38), ( -0.67,  -0.62)  SG Improvement:-0.00797 

Goal, Curr: (-1.00,  0.80), ( -0.52,  -0.60)   Error: 1.48
Last SG, Last State: (  1.39,   1.40), ( -0.57,  -0.60)  SG Improvement:-0.04341 

Goal, Curr: (-0.78,  0.95), ( -0.47,  -1.00)   Error: 1.98
Last SG, Last State: (  1.53,   0.98), ( -0.47,  -1.01)  SG Improvement:-0.01981 

Goal, Curr: (-1.08,  1.17), ( -0.62,  -1.08)   Error: 2.30
Last SG, Last State: (  1.41,   0.91), ( -0.61,  -1.08)  SG Improvement:0.02830 

Goal, Curr: (-1.01,  1.07), ( -0.49,  -0.87)   Error: 2.00
Last SG, Last State: (  1.48,   1.08), ( -0.49,  -0.88)  SG Improvement:0.05806 

Goal, Curr: (-1.20,  0.93), ( -0.50,  -1.11)   Error: 2.16
Last SG, Last State: (  1.49,   0.88), ( -0.51,  -1.12)  SG Improvement:-0.08033 

Goal, Curr: (-0.90,  0.98), ( -0.41,  -0.98)   Error: 2.02
Last SG, Last State: (  1.58,   1.00), ( -0.41,  -0.99)  SG Improvement:0.02984 

Goal, Curr: (-0.82,  1.00), ( -0.44,  -1.02)   Error: 2.05
Last SG, Last State: (  1.56,   0.99), ( -0.44,  -1.02)  SG Improvement:-0.29598 

Goal, Curr: (-1.09,  1.16), ( -0.57,  -0.86)   Error: 2.09
Last SG, Last State: (  1.43,   1.13), ( -0.57,  -0.86)  SG Improvement:-0.04226 

Goal, Curr: (-0.89,  1.12), ( -0.50,  -0.94)   Error: 2.09
Last SG, Last State: (  1.48,   1.03), ( -0.50,  -0.93)  SG Improvement:0.11314 

Goal, Curr: (-0.84,  0.81), ( -0.17,  -1.15)   Error: 2.07
Last SG, Last State: (  1.80,   0.83), ( -0.19,  -1.16)  SG Improvement:0.01168 

Goal, Curr: (-0.96,  1.07), ( -0.64,  -0.65)   Error: 1.75
Last SG, Last State: (  1.36,   1.35), ( -0.64,  -0.65)  SG Improvement:0.00170 

episode:00100, mean:6.31, std:0.64, median:6.40, success:0.00
Goal, Curr: (-1.03,  1.00), ( -1.40,  -0.60)   Error: 1.64
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.02,  0.88), ( -1.40,  -0.60)   Error: 1.53
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.05,  1.22), ( -1.40,  -0.60)   Error: 1.85
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.10,  1.16), ( -1.40,  -0.60)   Error: 1.79
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:-0.00000 

Goal, Curr: (-1.10,  1.02), ( -1.40,  -0.60)   Error: 1.65
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.23,  1.23), ( -1.40,  -0.60)   Error: 1.84
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.97,  1.19), ( -1.40,  -0.60)   Error: 1.84
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.07,  0.78), ( -1.40,  -0.60)   Error: 1.42
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.10,  1.10), ( -1.40,  -0.60)   Error: 1.73
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.00,  1.18), ( -1.40,  -0.60)   Error: 1.82
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.08,  1.14), ( -1.40,  -0.60)   Error: 1.77
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.08,  1.20), ( -1.40,  -0.60)   Error: 1.83
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.13,  1.16), ( -1.40,  -0.60)   Error: 1.78
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.11,  1.13), ( -1.40,  -0.60)   Error: 1.75
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.23,  0.87), ( -1.40,  -0.60)   Error: 1.48
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.84,  1.05), ( -1.40,  -0.60)   Error: 1.74
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.20,  0.76), ( -1.40,  -0.60)   Error: 1.38
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.13,  1.07), ( -1.40,  -0.60)   Error: 1.70
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.83,  1.01), ( -1.40,  -0.60)   Error: 1.71
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.77,  1.19), ( -1.40,  -0.60)   Error: 1.90
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.99,  1.07), ( -1.40,  -0.60)   Error: 1.72
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.91,  1.14), ( -1.40,  -0.60)   Error: 1.81
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.78,  1.09), ( -1.40,  -0.60)   Error: 1.80
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.86,  1.09), ( -1.40,  -0.60)   Error: 1.78
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.88,  1.09), ( -1.40,  -0.60)   Error: 1.77
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.03,  1.09), ( -1.40,  -0.60)   Error: 1.73
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.11,  0.97), ( -1.40,  -0.60)   Error: 1.60
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.94,  0.90), ( -1.40,  -0.60)   Error: 1.57
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.88,  1.15), ( -1.40,  -0.60)   Error: 1.83
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.10,  0.95), ( -1.40,  -0.60)   Error: 1.58
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.00,  1.00), ( -1.40,  -0.60)   Error: 1.65
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.15,  1.01), ( -1.40,  -0.60)   Error: 1.63
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.86,  1.02), ( -1.40,  -0.60)   Error: 1.71
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.14,  0.80), ( -1.40,  -0.60)   Error: 1.42
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.09,  0.92), ( -1.40,  -0.60)   Error: 1.55
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.81,  0.89), ( -1.40,  -0.60)   Error: 1.61
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.24,  0.78), ( -1.40,  -0.60)   Error: 1.39
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.24,  0.82), ( -1.40,  -0.60)   Error: 1.43
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.12,  1.06), ( -1.40,  -0.60)   Error: 1.68
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.89,  0.80), ( -1.40,  -0.60)   Error: 1.49
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.95,  0.84), ( -1.40,  -0.60)   Error: 1.50
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.89,  1.19), ( -1.40,  -0.60)   Error: 1.86
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.82,  0.96), ( -1.40,  -0.60)   Error: 1.67
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.89,  1.16), ( -1.40,  -0.60)   Error: 1.84
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.09,  1.21), ( -1.40,  -0.60)   Error: 1.84
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.84,  1.15), ( -1.40,  -0.60)   Error: 1.83
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.03,  1.25), ( -1.40,  -0.60)   Error: 1.89
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.89,  0.82), ( -1.40,  -0.60)   Error: 1.51
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.21,  0.99), ( -1.40,  -0.60)   Error: 1.60
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.84,  0.78), ( -1.40,  -0.60)   Error: 1.49
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

episode:00200, mean:5.51, std:0.47, median:5.62, success:0.00
Goal, Curr: (-1.22,  0.85), ( -1.23,  -1.03)   Error: 1.88
Last SG, Last State: (  0.76,   0.97), ( -1.24,  -1.03)  SG Improvement:0.00195 

Goal, Curr: (-0.90,  0.85), ( -1.06,  -0.78)   Error: 1.64
Last SG, Last State: (  0.94,   1.22), ( -1.06,  -0.78)  SG Improvement:-0.00325 

Goal, Curr: (-0.88,  1.08), ( -1.21,  -0.82)   Error: 1.93
Last SG, Last State: (  0.79,   1.18), ( -1.21,  -0.82)  SG Improvement:0.00076 

