Using device: cpu
no-correction-finw
Goal, Curr: (-0.97,  1.04), ( -1.40,  -1.40)   Error: 2.47
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.17,  1.00), ( -1.40,  -1.40)   Error: 2.41
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.21,  1.11), ( -1.10,  -1.40)   Error: 2.51
Last SG, Last State: ( -3.08,  -3.40), ( -1.09,  -1.40)  SG Improvement:0.00565 

Goal, Curr: (-0.93,  0.89), ( -1.40,  -1.40)   Error: 2.33
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.18,  0.89), ( -1.40,  -1.40)   Error: 2.30
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-0.99,  0.92), ( -1.40,  -1.40)   Error: 2.35
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-0.89,  1.19), ( -1.27,  -1.40)   Error: 2.61
Last SG, Last State: ( -3.26,  -3.40), ( -1.27,  -1.40)  SG Improvement:0.00369 

Goal, Curr: (-0.93,  1.20), ( -1.40,  -1.40)   Error: 2.64
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.20,  0.97), ( -1.40,  -1.40)   Error: 2.38
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.19,  1.20), ( -1.40,  -1.40)   Error: 2.61
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.20,  0.92), ( -1.31,  -1.40)   Error: 2.32
Last SG, Last State: ( -3.31,  -3.40), ( -1.31,  -1.40)  SG Improvement:0.00053 

Goal, Curr: (-0.85,  0.80), ( -1.40,  -1.40)   Error: 2.26
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-0.83,  1.01), ( -1.25,  -1.39)   Error: 2.44
Last SG, Last State: ( -3.25,  -3.39), ( -1.25,  -1.39)  SG Improvement:-0.00255 

Goal, Curr: (-0.90,  1.12), ( -1.40,  -1.40)   Error: 2.57
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.22,  0.76), ( -1.40,  -1.40)   Error: 2.17
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.22,  1.21), ( -1.40,  -1.40)   Error: 2.62
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.14,  1.11), ( -1.40,  -1.40)   Error: 2.52
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.22,  1.23), ( -1.14,  -1.40)   Error: 2.63
Last SG, Last State: ( -3.13,  -3.40), ( -1.13,  -1.40)  SG Improvement:0.00266 

Goal, Curr: (-0.85,  1.22), ( -1.40,  -1.40)   Error: 2.68
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.01,  1.04), ( -1.25,  -1.39)   Error: 2.44
Last SG, Last State: ( -3.26,  -3.39), ( -1.25,  -1.39)  SG Improvement:-0.00304 

Goal, Curr: (-0.81,  1.02), ( -1.40,  -1.40)   Error: 2.49
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.20,  0.76), ( -1.40,  -1.40)   Error: 2.17
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.14,  0.75), ( -1.40,  -1.40)   Error: 2.17
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.01,  1.12), ( -1.40,  -1.40)   Error: 2.54
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.24,  0.78), ( -1.40,  -1.40)   Error: 2.18
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.01,  0.98), ( -1.40,  -1.40)   Error: 2.41
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

