Using device: cpu
no-correction-less-crazy-per
Initializing with critic LR:  0.005  actor LR:  1e-06
Initializing with critic LR:  0.001  actor LR:  0.0005
Goal, Curr: (-0.90,  0.89), ( -0.66,  -0.63)   Error: 1.53
Last SG, Last State: ( -0.62,  -0.63), ( -0.64,  -0.63)  SG Improvement:-0.00467 

Goal, Curr: (-1.14,  0.84), ( -0.72,  -0.65)   Error: 1.55
Last SG, Last State: ( -0.65,  -0.67), ( -0.69,  -0.66)  SG Improvement:-0.02225 

Goal, Curr: (-1.09,  0.78), ( -0.65,  -0.63)   Error: 1.47
Last SG, Last State: ( -0.63,  -0.62), ( -0.65,  -0.63)  SG Improvement:-0.01873 

Goal, Curr: (-0.87,  1.11), ( -0.76,  -0.63)   Error: 1.74
Last SG, Last State: ( -0.70,  -0.64), ( -0.74,  -0.64)  SG Improvement:-0.02194 

Goal, Curr: (-1.12,  1.06), ( -0.84,  -0.60)   Error: 1.69
Last SG, Last State: ( -0.78,  -0.62), ( -0.81,  -0.61)  SG Improvement:-0.02346 

Goal, Curr: (-0.79,  0.93), ( -0.68,  -0.65)   Error: 1.58
Last SG, Last State: ( -0.62,  -0.66), ( -0.65,  -0.66)  SG Improvement:-0.01300 

Goal, Curr: (-0.89,  1.16), ( -0.75,  -0.63)   Error: 1.79
Last SG, Last State: ( -0.69,  -0.64), ( -0.73,  -0.64)  SG Improvement:-0.02252 

Goal, Curr: (-1.07,  0.83), ( -0.74,  -0.63)   Error: 1.50
Last SG, Last State: ( -0.68,  -0.65), ( -0.71,  -0.64)  SG Improvement:-0.02501 

Goal, Curr: (-0.89,  0.85), ( -0.60,  -0.64)   Error: 1.51
Last SG, Last State: ( -0.57,  -0.62), ( -0.59,  -0.63)  SG Improvement:-0.03970 

Goal, Curr: (-0.78,  0.86), ( -0.61,  -0.64)   Error: 1.51
Last SG, Last State: ( -0.58,  -0.63), ( -0.60,  -0.64)  SG Improvement:-0.02339 

Goal, Curr: (-1.13,  1.19), ( -0.71,  -0.63)   Error: 1.86
Last SG, Last State: ( -0.68,  -0.62), ( -0.70,  -0.63)  SG Improvement:-0.00730 

Goal, Curr: (-0.90,  1.12), ( -0.82,  -0.62)   Error: 1.74
Last SG, Last State: ( -0.80,  -0.61), ( -0.82,  -0.62)  SG Improvement:-0.01473 

Goal, Curr: (-1.05,  1.04), ( -0.69,  -0.63)   Error: 1.71
Last SG, Last State: ( -0.66,  -0.62), ( -0.68,  -0.63)  SG Improvement:-0.00752 

Goal, Curr: (-0.89,  1.20), ( -0.66,  -0.63)   Error: 1.84
Last SG, Last State: ( -0.62,  -0.63), ( -0.65,  -0.64)  SG Improvement:-0.00517 

Goal, Curr: (-1.08,  0.77), ( -0.65,  -0.63)   Error: 1.46
Last SG, Last State: ( -0.62,  -0.62), ( -0.64,  -0.63)  SG Improvement:-0.02922 

Goal, Curr: (-0.79,  1.24), ( -0.68,  -0.64)   Error: 1.89
Last SG, Last State: ( -0.62,  -0.65), ( -0.66,  -0.65)  SG Improvement:-0.01129 

Goal, Curr: (-1.08,  1.19), ( -0.68,  -0.65)   Error: 1.88
Last SG, Last State: ( -0.62,  -0.66), ( -0.66,  -0.66)  SG Improvement:-0.00480 

Goal, Curr: (-0.78,  0.93), ( -0.68,  -0.66)   Error: 1.59
