Using device: cpu
no-correction-mmm-high-expl
Goal, Curr: (-1.08,  1.00), ( -0.60,  -0.60)   Error: 1.67
Last SG, Last State: ( -0.08,  -1.57), ( -0.64,  -0.60)  SG Improvement:0.05831 

Goal, Curr: (-0.96,  0.85), ( -1.40,  -0.60)   Error: 1.52
Last SG, Last State: ( -1.55,  -0.96), ( -1.40,  -0.60)  SG Improvement:-0.00440 

Goal, Curr: (-0.80,  0.93), ( -1.40,  -0.60)   Error: 1.64
Last SG, Last State: ( -2.08,  -0.58), ( -1.40,  -0.60)  SG Improvement:-0.02486 

Goal, Curr: (-1.04,  1.07), ( -1.40,  -0.60)   Error: 1.71
Last SG, Last State: ( -1.41,  -1.09), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.07,  0.76), ( -1.40,  -0.60)   Error: 1.40
Last SG, Last State: ( -1.55,  -0.99), ( -1.40,  -0.60)  SG Improvement:0.00009 

Goal, Curr: (-0.84,  1.19), ( -1.40,  -0.60)   Error: 1.87
Last SG, Last State: ( -2.16,  -0.32), ( -1.40,  -0.60)  SG Improvement:-0.00148 

Goal, Curr: (-0.83,  1.10), ( -1.40,  -0.60)   Error: 1.79
Last SG, Last State: ( -2.08,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.03521 

Goal, Curr: (-0.86,  1.11), ( -1.40,  -0.60)   Error: 1.79
Last SG, Last State: ( -2.08,  -0.60), ( -1.40,  -0.60)  SG Improvement:-0.03135 

Goal, Curr: (-1.05,  1.08), ( -1.40,  -0.60)   Error: 1.71
Last SG, Last State: ( -1.39,  -1.11), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.92,  1.12), ( -0.64,  -0.60)   Error: 1.75
Last SG, Last State: ( -2.31,  -2.39), ( -0.65,  -0.60)  SG Improvement:-0.12262 

episode:00100, mean:0.34, std:0.16, median:0.30, success:0.00
Goal, Curr: (-1.22,  1.07), ( -1.40,  -0.60)   Error: 1.68
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.11,  0.89), ( -1.40,  -0.60)   Error: 1.52
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.79,  1.14), ( -1.40,  -0.60)   Error: 1.84
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.89,  1.08), ( -1.40,  -0.60)   Error: 1.76
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.11,  0.83), ( -1.40,  -0.60)   Error: 1.46
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.00,  1.00), ( -1.40,  -0.60)   Error: 1.65
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.13,  0.88), ( -1.40,  -0.60)   Error: 1.51
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.12,  0.92), ( -1.40,  -0.60)   Error: 1.55
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.98,  1.20), ( -1.40,  -0.60)   Error: 1.85
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.07,  0.80), ( -1.40,  -0.60)   Error: 1.44
Last SG, Last State: ( -3.40,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

episode:00200, mean:0.40, std:0.16, median:0.40, success:0.00
Goal, Curr: (-0.84,  0.85), (  0.11,  -0.60)   Error: 1.73
Last SG, Last State: ( -1.89,   1.40), (  0.11,  -0.60)  SG Improvement:-0.00008 

Goal, Curr: (-0.83,  1.23), (  0.09,  -0.60)   Error: 2.05
Last SG, Last State: ( -1.90,   1.40), (  0.09,  -0.60)  SG Improvement:-0.00004 

Goal, Curr: (-1.06,  0.96), (  0.11,  -0.60)   Error: 1.95
Last SG, Last State: ( -1.89,   1.40), (  0.11,  -0.60)  SG Improvement:-0.00007 

Goal, Curr: (-0.88,  0.76), (  0.12,  -0.60)   Error: 1.68
Last SG, Last State: ( -1.88,   1.40), (  0.12,  -0.60)  SG Improvement:-0.00004 

Goal, Curr: (-0.78,  0.81), (  0.11,  -0.60)   Error: 1.67
Last SG, Last State: ( -1.88,   1.40), (  0.11,  -0.60)  SG Improvement:-0.00009 

Goal, Curr: (-1.06,  1.08), (  0.11,  -0.60)   Error: 2.05
Last SG, Last State: ( -1.88,   1.40), (  0.12,  -0.60)  SG Improvement:-0.00005 

Goal, Curr: (-0.84,  0.81), (  0.13,  -0.60)   Error: 1.72
Last SG, Last State: ( -1.86,   1.40), (  0.14,  -0.60)  SG Improvement:-0.00050 

Goal, Curr: (-0.87,  0.87), (  0.14,  -0.60)   Error: 1.78
Last SG, Last State: ( -1.85,   1.40), (  0.14,  -0.60)  SG Improvement:-0.00056 

Goal, Curr: (-1.24,  1.05), (  0.08,  -0.60)   Error: 2.12
Last SG, Last State: ( -1.92,   1.40), (  0.08,  -0.60)  SG Improvement:0.00004 

Goal, Curr: (-0.95,  0.97), (  0.11,  -0.60)   Error: 1.89
Last SG, Last State: ( -1.88,   1.40), (  0.11,  -0.60)  SG Improvement:-0.00009 

episode:00300, mean:0.04, std:0.18, median:-0.04, success:0.00
Goal, Curr: (-0.92,  1.10), (  0.01,  -0.60)   Error: 1.94
Last SG, Last State: ( -1.91,   1.40), (  0.05,  -0.60)  SG Improvement:-0.01275 

Goal, Curr: (-1.24,  0.81), (  0.03,  -0.60)   Error: 1.90
Last SG, Last State: ( -2.10,  -2.60), ( -0.05,  -0.60)  SG Improvement:0.41797 

Goal, Curr: (-1.25,  1.25), ( -0.01,  -0.60)   Error: 2.22
Last SG, Last State: ( -2.14,  -2.60), ( -0.09,  -0.60)  SG Improvement:0.58578 

Goal, Curr: (-1.14,  0.91), (  0.12,  -0.60)   Error: 1.97
Last SG, Last State: ( -2.04,   1.40), (  0.04,  -0.60)  SG Improvement:-0.03627 

Goal, Curr: (-1.01,  0.85), ( -0.08,  -0.60)   Error: 1.72
Last SG, Last State: ( -1.99,  -2.60), ( -0.04,  -0.60)  SG Improvement:-0.15065 

Goal, Curr: (-0.83,  1.07), ( -0.09,  -0.60)   Error: 1.83
Last SG, Last State: ( -1.99,   0.13), ( -0.05,  -0.60)  SG Improvement:-0.15932 

Goal, Curr: (-1.20,  1.13), ( -0.00,  -0.60)   Error: 2.11
Last SG, Last State: ( -2.10,  -2.60), ( -0.08,  -0.60)  SG Improvement:0.53133 

Goal, Curr: (-0.87,  1.14), ( -0.11,  -0.60)   Error: 1.91
Last SG, Last State: ( -2.04,  -2.60), ( -0.13,  -0.60)  SG Improvement:0.04742 

Goal, Curr: (-1.12,  1.25), (  0.12,  -0.60)   Error: 2.23
Last SG, Last State: ( -1.94,   1.40), (  0.14,  -0.60)  SG Improvement:-0.03728 

