Using device: cpu
no-correction-per-supercrazy-high
Initializing with critic LR:  0.2  actor LR:  0.01
Initializing with critic LR:  0.001  actor LR:  0.0005
Goal, Curr: (-0.98,  1.23), (  1.21,  -0.76)   Error: 2.96
Last SG, Last State: (  1.02,  -2.75), (  1.22,  -0.78)  SG Improvement:-0.53430 

Goal, Curr: (-0.96,  0.88), (  1.12,  -0.69)   Error: 2.60
Last SG, Last State: (  0.81,  -2.67), (  1.11,  -0.71)  SG Improvement:0.44370 

Goal, Curr: (-1.01,  1.09), (  0.97,  -0.62)   Error: 2.61
Last SG, Last State: (  0.72,  -2.61), (  0.96,  -0.64)  SG Improvement:-0.01827 

Goal, Curr: (-0.88,  1.09), (  1.08,  -0.63)   Error: 2.60
Last SG, Last State: (  0.85,  -2.62), (  1.07,  -0.65)  SG Improvement:-0.01635 

Goal, Curr: (-0.88,  0.92), (  1.04,  -0.66)   Error: 2.48
Last SG, Last State: (  0.84,  -2.58), (  1.01,  -0.66)  SG Improvement:-0.01082 

Goal, Curr: (-0.86,  1.19), (  1.11,  -0.77)   Error: 2.78
Last SG, Last State: (  0.48,  -2.77), (  1.13,  -0.78)  SG Improvement:-0.00615 

Goal, Curr: (-0.91,  1.11), (  1.38,  -1.09)   Error: 3.18
Last SG, Last State: (  1.17,  -3.05), (  1.39,  -1.12)  SG Improvement:-0.60748 

Goal, Curr: (-0.86,  0.79), (  1.08,  -0.95)   Error: 2.61
Last SG, Last State: (  0.48,  -2.95), (  1.10,  -0.96)  SG Improvement:-0.00821 

Goal, Curr: (-0.89,  0.89), (  1.02,  -0.46)   Error: 2.34
Last SG, Last State: (  0.75,  -2.44), (  1.01,  -0.48)  SG Improvement:-0.01441 

Goal, Curr: (-1.05,  0.98), (  1.36,  -1.11)   Error: 3.19
Last SG, Last State: (  0.62,  -3.07), (  1.40,  -1.12)  SG Improvement:-0.12908 

Goal, Curr: (-0.90,  1.22), (  1.36,  -0.94)   Error: 3.12
Last SG, Last State: (  1.22,  -2.91), (  1.35,  -0.96)  SG Improvement:0.02367 

Goal, Curr: (-1.18,  1.18), (  1.13,  -0.66)   Error: 2.95
Last SG, Last State: (  0.89,  -2.66), (  1.13,  -0.68)  SG Improvement:-0.01634 

Goal, Curr: (-1.14,  1.19), (  1.08,  -0.47)   Error: 2.77
Last SG, Last State: (  0.81,  -2.47), (  1.07,  -0.49)  SG Improvement:-0.01566 

Goal, Curr: (-1.06,  0.87), (  1.07,  -0.70)   Error: 2.65
Last SG, Last State: (  0.71,  -2.69), (  1.10,  -0.72)  SG Improvement:0.27650 

Goal, Curr: (-1.11,  0.79), (  1.37,  -0.61)   Error: 2.84
Last SG, Last State: (  1.20,  -2.58), (  1.37,  -0.63)  SG Improvement:-0.01568 

Goal, Curr: (-0.76,  0.90), (  1.03,  -0.64)   Error: 2.37
Last SG, Last State: (  0.79,  -2.62), (  1.03,  -0.66)  SG Improvement:-0.01614 

Goal, Curr: (-1.18,  0.90), (  1.40,  -1.31)   Error: 3.40
Last SG, Last State: (  1.06,  -3.25), (  1.36,  -1.28)  SG Improvement:-0.49763 

Goal, Curr: (-0.77,  0.93), (  1.09,  -0.67)   Error: 2.45
Last SG, Last State: (  0.85,  -2.65), (  1.08,  -0.69)  SG Improvement:-0.01578 

Goal, Curr: (-0.85,  1.00), (  1.36,  -1.06)   Error: 3.02
Last SG, Last State: (  0.66,  -3.02), (  1.40,  -1.06)  SG Improvement:-0.12537 

Goal, Curr: (-1.16,  0.76), (  1.40,  -1.40)   Error: 3.36
Last SG, Last State: (  0.83,  -3.38), (  1.35,  -1.38)  SG Improvement:0.23497 

Goal, Curr: (-1.15,  0.92), (  1.10,  -0.54)   Error: 2.68
Last SG, Last State: (  0.85,  -2.53), (  1.09,  -0.56)  SG Improvement:-0.01722 

Goal, Curr: (-1.04,  1.09), (  1.18,  -0.77)   Error: 2.89
Last SG, Last State: (  0.97,  -2.77), (  1.18,  -0.79)  SG Improvement:-0.01583 

Goal, Curr: (-1.15,  0.83), (  0.99,  -0.86)   Error: 2.72
Last SG, Last State: (  0.54,  -2.86), (  0.98,  -0.87)  SG Improvement:0.77715 

Goal, Curr: (-1.21,  0.89), (  1.08,  -0.45)   Error: 2.65
Last SG, Last State: (  0.81,  -2.44), (  1.07,  -0.47)  SG Improvement:-0.01330 

Goal, Curr: (-1.04,  1.21), (  0.98,  -0.74)   Error: 2.81
Last SG, Last State: (  0.82,  -2.71), (  1.02,  -0.77)  SG Improvement:-1.32013 

Goal, Curr: (-1.22,  1.12), (  1.13,  -0.66)   Error: 2.94
