Using device: cpu
no-correction-per2-crazy
Initializing with critic LR:  0.05  actor LR:  0.001
Initializing with critic LR:  0.001  actor LR:  0.0005
Goal, Curr: (-0.86,  0.84), (  0.37,  -0.99)   Error: 2.21
Last SG, Last State: (  0.19,  -1.53), (  0.37,  -0.99)  SG Improvement:0.00000 

Goal, Curr: (-1.20,  1.13), (  1.02,  -0.62)   Error: 2.82
Last SG, Last State: (  0.82,  -1.24), (  1.02,  -0.62)  SG Improvement:0.00136 

Goal, Curr: (-0.81,  0.79), (  0.28,  -1.18)   Error: 2.25
Last SG, Last State: (  0.10,  -1.71), (  0.28,  -1.18)  SG Improvement:-0.00000 

Goal, Curr: (-1.11,  1.05), (  0.26,  -1.20)   Error: 2.63
Last SG, Last State: (  0.06,  -1.78), (  0.26,  -1.20)  SG Improvement:-0.00000 

Goal, Curr: (-1.19,  1.20), (  0.84,  -0.73)   Error: 2.80
Last SG, Last State: (  0.63,  -1.35), (  0.84,  -0.73)  SG Improvement:-0.00218 

Goal, Curr: (-0.97,  1.09), (  0.91,  -0.69)   Error: 2.59
Last SG, Last State: (  0.71,  -1.29), (  0.91,  -0.69)  SG Improvement:0.00065 

Goal, Curr: (-1.03,  0.84), ( -1.11,  -0.60)   Error: 1.44
Last SG, Last State: ( -1.26,  -1.05), ( -1.10,  -0.60)  SG Improvement:-0.00092 

Goal, Curr: (-1.02,  0.91), (  0.57,  -0.80)   Error: 2.33
Last SG, Last State: (  0.39,  -1.36), (  0.57,  -0.80)  SG Improvement:-0.00000 

Goal, Curr: (-0.85,  1.10), (  0.88,  -0.71)   Error: 2.51
Last SG, Last State: (  0.70,  -1.29), (  0.88,  -0.71)  SG Improvement:-0.00845 

Goal, Curr: (-1.01,  0.94), ( -1.17,  -0.60)   Error: 1.55
Last SG, Last State: ( -1.33,  -1.06), ( -1.17,  -0.60)  SG Improvement:-0.00721 

Goal, Curr: (-1.03,  0.82), (  0.82,  -0.74)   Error: 2.43
Last SG, Last State: (  0.64,  -1.30), (  0.82,  -0.74)  SG Improvement:-0.00153 

Goal, Curr: (-1.00,  1.18), (  0.33,  -1.17)   Error: 2.70
Last SG, Last State: (  0.13,  -1.77), (  0.33,  -1.17)  SG Improvement:-0.00000 

Goal, Curr: (-0.81,  1.07), (  0.32,  -1.11)   Error: 2.46
Last SG, Last State: (  0.13,  -1.67), (  0.32,  -1.11)  SG Improvement:-0.00000 

Goal, Curr: (-1.18,  1.15), (  0.81,  -0.73)   Error: 2.74
Last SG, Last State: (  0.60,  -1.35), (  0.81,  -0.73)  SG Improvement:-0.00172 

Goal, Curr: (-1.15,  1.10), (  0.38,  -0.89)   Error: 2.51
Last SG, Last State: (  0.18,  -1.48), (  0.38,  -0.89)  SG Improvement:-0.00000 

Goal, Curr: (-1.09,  1.09), (  0.86,  -0.71)   Error: 2.66
Last SG, Last State: (  0.67,  -1.31), (  0.86,  -0.71)  SG Improvement:-0.00047 

Goal, Curr: (-0.82,  1.23), ( -1.14,  -0.60)   Error: 1.86
Last SG, Last State: ( -1.29,  -1.07), ( -1.13,  -0.60)  SG Improvement:-0.00187 

Goal, Curr: (-0.91,  1.17), (  0.22,  -1.19)   Error: 2.62
Last SG, Last State: (  0.02,  -1.77), (  0.22,  -1.19)  SG Improvement:-0.00000 

Goal, Curr: (-1.09,  1.19), (  0.80,  -0.77)   Error: 2.73
