Using device: cpu
no-correction-ttt
Goal, Curr: (-0.98,  0.96), ( -1.40,  -0.60)   Error: 1.62
Last SG, Last State: ( -2.94,  -1.01), ( -1.40,  -0.60)  SG Improvement:-0.19151 

Goal, Curr: (-0.83,  0.84), (  0.84,  -0.18)   Error: 1.96
Last SG, Last State: (  0.96,   1.70), (  0.78,  -0.17)  SG Improvement:-0.00148 

Goal, Curr: (-0.88,  0.87), (  1.21,  -0.53)   Error: 2.52
Last SG, Last State: (  2.39,   0.86), (  1.05,  -0.65)  SG Improvement:0.02721 

Goal, Curr: (-0.93,  1.02), (  0.22,  -1.00)   Error: 2.33
Last SG, Last State: (  0.06,   0.70), (  0.31,  -1.15)  SG Improvement:0.70846 

Goal, Curr: (-0.90,  1.01), ( -1.40,  -0.60)   Error: 1.69
Last SG, Last State: ( -2.19,  -1.25), ( -1.40,  -0.60)  SG Improvement:-0.06385 

Goal, Curr: (-1.24,  1.02), (  0.60,  -0.31)   Error: 2.27
Last SG, Last State: (  0.30,   1.28), (  0.60,  -0.29)  SG Improvement:-0.00558 

Goal, Curr: (-1.17,  0.77), (  0.60,   0.40)   Error: 1.81
Last SG, Last State: (  0.19,   2.18), (  0.60,   0.38)  SG Improvement:0.17696 

Goal, Curr: (-0.87,  0.88), ( -1.40,  -0.60)   Error: 1.57
Last SG, Last State: ( -2.07,  -1.27), ( -1.40,  -0.60)  SG Improvement:0.38790 

Goal, Curr: (-0.98,  0.93), ( -1.40,  -0.60)   Error: 1.58
Last SG, Last State: ( -2.18,  -1.23), ( -1.40,  -0.60)  SG Improvement:-0.06954 

Goal, Curr: (-1.16,  1.08), ( -0.45,  -0.60)   Error: 1.83
Last SG, Last State: ( -2.02,  -1.01), ( -0.37,  -0.60)  SG Improvement:-0.20481 

episode:00100, mean:0.03, std:0.36, median:0.16, success:0.00
Goal, Curr: (-1.02,  0.77), ( -1.35,  -0.60)   Error: 1.41
Last SG, Last State: ( -2.19,   0.59), ( -1.20,  -0.60)  SG Improvement:0.52555 

Goal, Curr: (-1.11,  1.10), ( -1.39,  -1.11)   Error: 2.23
Last SG, Last State: ( -1.84,  -0.68), ( -1.40,  -1.06)  SG Improvement:-0.29268 

Goal, Curr: (-1.16,  0.97), ( -1.40,  -0.60)   Error: 1.59
Last SG, Last State: ( -2.55,  -1.44), ( -1.40,  -0.67)  SG Improvement:0.56489 

Goal, Curr: (-1.06,  0.94), ( -1.40,  -0.86)   Error: 1.83
Last SG, Last State: ( -2.63,  -1.17), ( -1.40,  -0.88)  SG Improvement:-0.30805 

Goal, Curr: (-1.17,  1.16), ( -1.10,  -0.65)   Error: 1.81
Last SG, Last State: ( -2.14,  -2.39), ( -1.15,  -0.83)  SG Improvement:1.02280 

Goal, Curr: (-0.79,  0.77), ( -1.16,  -0.60)   Error: 1.42
