Using device: cpu
no-correction-vvv
Goal, Curr: (-0.79,  1.06), ( -1.40,  -1.24)   Error: 2.38
Last SG, Last State: ( -1.61,  -3.20), ( -1.40,  -1.22)  SG Improvement:0.01312 

Goal, Curr: (-0.98,  0.76), ( -1.40,  -1.40)   Error: 2.20
Last SG, Last State: ( -1.81,  -3.37), ( -1.40,  -1.40)  SG Improvement:0.17827 

Goal, Curr: (-0.80,  1.09), ( -1.40,  -1.30)   Error: 2.47
Last SG, Last State: ( -1.66,  -3.27), ( -1.40,  -1.29)  SG Improvement:0.00673 

Goal, Curr: (-1.13,  0.86), ( -1.40,  -1.37)   Error: 2.25
Last SG, Last State: ( -1.75,  -3.32), ( -1.40,  -1.34)  SG Improvement:0.00671 

Goal, Curr: (-1.00,  0.77), ( -1.40,  -1.40)   Error: 2.21
Last SG, Last State: ( -1.81,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00244 

Goal, Curr: (-1.00,  0.82), ( -1.40,  -1.40)   Error: 2.25
Last SG, Last State: ( -1.81,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00048 

Goal, Curr: (-1.04,  1.05), ( -1.40,  -1.25)   Error: 2.33
Last SG, Last State: ( -1.62,  -3.22), ( -1.40,  -1.24)  SG Improvement:0.01167 

Goal, Curr: (-1.20,  0.82), ( -1.40,  -1.40)   Error: 2.22
Last SG, Last State: ( -1.81,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00284 

Goal, Curr: (-0.81,  0.92), ( -1.40,  -1.40)   Error: 2.39
Last SG, Last State: ( -1.79,  -3.40), ( -1.40,  -1.40)  SG Improvement:-0.00002 

Goal, Curr: (-1.13,  1.14), ( -1.40,  -1.18)   Error: 2.34
Last SG, Last State: ( -1.55,  -3.16), ( -1.40,  -1.17)  SG Improvement:0.00953 

episode:00100, mean:-0.38, std:0.16, median:-0.42, success:0.00
Goal, Curr: (-1.22,  1.17), ( -1.40,  -0.60)   Error: 1.78
Last SG, Last State: (  0.60,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.89,  0.98), ( -1.40,  -0.60)   Error: 1.66
Last SG, Last State: (  0.60,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.91,  0.96), ( -1.40,  -0.60)   Error: 1.64
