Using device: cpu
no-correction-www
Goal, Curr: (-0.84,  0.88), (  1.40,   1.40)   Error: 2.30
Last SG, Last State: (  0.63,   2.68), (  1.40,   1.40)  SG Improvement:0.16591 

Goal, Curr: (-0.99,  1.00), ( -1.40,  -0.60)   Error: 1.66
Last SG, Last State: ( -3.35,  -0.58), ( -1.40,  -0.60)  SG Improvement:-0.00057 

Goal, Curr: (-0.86,  0.75), ( -1.40,  -0.60)   Error: 1.46
Last SG, Last State: ( -3.34,  -0.55), ( -1.40,  -0.60)  SG Improvement:0.00377 

Goal, Curr: (-1.24,  1.24), ( -1.40,  -0.60)   Error: 1.85
Last SG, Last State: ( -3.39,  -0.69), ( -1.40,  -0.60)  SG Improvement:-0.00949 

Goal, Curr: (-1.14,  1.18), ( -1.40,  -0.60)   Error: 1.80
Last SG, Last State: ( -3.38,  -0.66), ( -1.36,  -0.60)  SG Improvement:0.30455 

Goal, Curr: (-1.22,  0.87), ( -1.40,  -0.60)   Error: 1.48
Last SG, Last State: ( -3.39,  -0.70), ( -1.40,  -0.60)  SG Improvement:-0.07175 

Goal, Curr: (-0.84,  1.00), ( -1.40,  -0.60)   Error: 1.70
Last SG, Last State: ( -3.35,  -0.57), ( -1.41,  -0.60)  SG Improvement:0.27418 

Goal, Curr: (-0.93,  0.79), ( -1.40,  -0.60)   Error: 1.47
Last SG, Last State: ( -3.33,  -0.54), ( -1.40,  -0.60)  SG Improvement:0.00287 

Goal, Curr: (-1.20,  0.91), ( -1.38,  -0.60)   Error: 1.52
Last SG, Last State: ( -3.32,  -0.59), ( -1.40,  -0.60)  SG Improvement:0.04635 

Goal, Curr: (-1.08,  1.03), ( -1.40,  -0.60)   Error: 1.67
Last SG, Last State: ( -3.13,  -0.54), ( -1.40,  -0.60)  SG Improvement:0.07883 

episode:00100, mean:0.32, std:0.34, median:0.41, success:0.00
Goal, Curr: (-1.04,  1.21), ( -1.40,  -0.60)   Error: 1.84
Last SG, Last State: ( -3.40,  -1.17), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.09,  1.04), ( -1.40,  -0.60)   Error: 1.67
Last SG, Last State: ( -3.40,  -1.28), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.81,  1.06), ( -1.40,  -0.60)   Error: 1.77
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.05,  1.03), ( -1.40,  -0.60)   Error: 1.67
Last SG, Last State: ( -3.40,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.83,  1.17), ( -1.40,  -0.60)   Error: 1.86
Last SG, Last State: ( -3.40,  -1.21), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.09,  1.24), ( -1.40,  -0.60)   Error: 1.87
Last SG, Last State: ( -3.40,  -1.15), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.11,  0.82), ( -1.40,  -0.60)   Error: 1.45
Last SG, Last State: ( -3.40,  -0.54), ( -1.40,  -0.60)  SG Improvement:0.03386 

