Using device: cpu
no-correction-xxx
Goal, Curr: (-0.82,  1.09), ( -0.85,  -0.60)   Error: 1.69
Last SG, Last State: (  1.13,   1.40), ( -0.88,  -0.61)  SG Improvement:-0.14135 

Goal, Curr: (-0.97,  1.10), ( -1.30,  -0.60)   Error: 1.73
Last SG, Last State: (  0.70,   1.40), ( -1.30,  -0.60)  SG Improvement:0.02455 

Goal, Curr: (-0.77,  0.97), ( -1.01,  -0.65)   Error: 1.64
Last SG, Last State: (  1.04,   1.40), ( -1.00,  -0.61)  SG Improvement:-0.74693 

Goal, Curr: (-0.91,  1.12), ( -1.37,  -0.60)   Error: 1.78
Last SG, Last State: (  0.65,  -1.45), ( -1.39,  -0.60)  SG Improvement:-2.23109 

Goal, Curr: (-1.14,  0.87), ( -0.88,  -0.60)   Error: 1.50
Last SG, Last State: (  1.13,   1.40), ( -0.87,  -0.60)  SG Improvement:-0.04939 

Goal, Curr: (-0.78,  0.94), ( -1.40,  -0.63)   Error: 1.69
Last SG, Last State: (  0.67,   1.38), ( -1.36,  -0.68)  SG Improvement:0.32690 

Goal, Curr: (-1.06,  0.80), ( -1.36,  -0.60)   Error: 1.43
Last SG, Last State: (  0.65,   1.40), ( -1.40,  -0.62)  SG Improvement:-0.46550 

Goal, Curr: (-1.22,  0.92), ( -0.97,  -0.60)   Error: 1.55
Last SG, Last State: (  1.02,   1.39), ( -0.97,  -0.60)  SG Improvement:0.10915 

Goal, Curr: (-0.95,  0.89), ( -1.16,  -0.60)   Error: 1.51
Last SG, Last State: (  0.82,   1.40), ( -1.21,  -0.62)  SG Improvement:-0.27968 

Goal, Curr: (-1.12,  0.87), ( -1.16,  -0.62)   Error: 1.49
Last SG, Last State: (  0.87,   1.34), ( -1.11,  -0.60)  SG Improvement:-0.53923 

episode:00100, mean:0.36, std:0.14, median:0.36, success:0.00
Goal, Curr: (-0.99,  1.09), ( -0.18,  -0.60)   Error: 1.87
Last SG, Last State: (  1.85,   1.40), ( -0.14,  -0.60)  SG Improvement:-0.14220 

Goal, Curr: (-0.90,  0.77), (  1.40,  -0.61)   Error: 2.68
Last SG, Last State: (  3.40,  -2.46), (  1.40,  -0.54)  SG Improvement:0.03522 

Goal, Curr: (-1.11,  0.87), (  1.41,  -0.38)   Error: 2.81
Last SG, Last State: (  3.31,  -2.46), (  1.30,  -0.46)  SG Improvement:-0.82910 

Goal, Curr: (-1.12,  1.20), (  1.40,   1.12)   Error: 2.52
Last SG, Last State: (  3.40,  -1.00), (  1.40,   1.01)  SG Improvement:-0.14947 

Goal, Curr: (-0.96,  0.91), ( -0.21,  -0.60)   Error: 1.69
Last SG, Last State: (  1.86,   1.40), ( -0.18,  -0.60)  SG Improvement:0.45425 

Goal, Curr: (-1.05,  1.19), ( -0.07,  -0.60)   Error: 2.05
Last SG, Last State: (  1.94,   1.40), ( -0.07,  -0.60)  SG Improvement:-0.15313 

Goal, Curr: (-0.93,  0.93), ( -0.07,  -0.60)   Error: 1.76
Last SG, Last State: (  1.96,   1.40), ( -0.03,  -0.60)  SG Improvement:-0.14220 

Goal, Curr: (-1.12,  1.15), ( -0.08,  -0.60)   Error: 2.03
Last SG, Last State: (  1.94,   1.40), ( -0.05,  -0.60)  SG Improvement:-0.14219 

Goal, Curr: (-0.90,  1.04), ( -0.14,  -0.60)   Error: 1.81
Last SG, Last State: (  1.89,   1.40), ( -0.13,  -0.60)  SG Improvement:-0.15221 

Goal, Curr: (-0.88,  0.94), (  1.40,  -0.75)   Error: 2.84
Last SG, Last State: (  3.32,  -2.76), (  1.41,  -0.72)  SG Improvement:0.51244 

episode:00200, mean:-0.13, std:0.43, median:0.15, success:0.00
Goal, Curr: (-0.93,  0.91), ( -1.37,  -0.79)   Error: 1.75
Last SG, Last State: (  0.67,  -2.78), ( -1.40,  -0.76)  SG Improvement:-2.02159 

Goal, Curr: (-0.78,  0.75), ( -1.34,  -0.72)   Error: 1.57
Last SG, Last State: (  0.60,  -2.65), ( -1.33,  -0.69)  SG Improvement:-1.47167 

Goal, Curr: (-1.03,  1.21), ( -1.33,  -0.88)   Error: 2.10
Last SG, Last State: (  0.65,  -2.83), ( -1.33,  -0.85)  SG Improvement:-0.83642 

Goal, Curr: (-1.06,  0.99), ( -1.33,  -0.66)   Error: 1.67
Last SG, Last State: (  0.65,  -2.61), ( -1.33,  -0.63)  SG Improvement:-0.85355 

Goal, Curr: (-1.01,  1.03), ( -1.40,  -0.62)   Error: 1.70
Last SG, Last State: (  0.67,  -2.63), ( -1.34,  -0.66)  SG Improvement:-1.26542 

Goal, Curr: (-0.97,  0.79), ( -1.33,  -0.91)   Error: 1.73
Last SG, Last State: (  0.65,  -2.86), ( -1.33,  -0.88)  SG Improvement:-0.82938 

Goal, Curr: (-0.78,  1.16), ( -1.40,  -0.73)   Error: 1.98
Last SG, Last State: (  0.67,  -2.71), ( -1.40,  -0.67)  SG Improvement:-0.87987 

Goal, Curr: (-1.07,  0.94), ( -1.35,  -0.91)   Error: 1.87
Last SG, Last State: (  0.67,  -2.99), ( -1.40,  -0.90)  SG Improvement:-0.41231 

Goal, Curr: (-0.85,  0.80), ( -1.33,  -1.05)   Error: 1.91
Last SG, Last State: (  0.65,  -3.00), ( -1.33,  -1.02)  SG Improvement:-0.86564 

Goal, Curr: (-0.82,  1.06), ( -1.40,  -0.67)   Error: 1.82
