Using device: cpu
tamer-critic-gc-4.0-0.5-expl
Log radii:  [ 1.3862944  1.3862944 -0.9777797  1.3862944  1.3862944  1.3862944]
Adjusted log radii:  [1.37629437 1.67629433 1.71222043 2.27629423 1.37629437 1.67629433]
Goal, Curr: (-0.76,  1.03), (  1.40,   1.40)   Error: 2.19
Last SG, Last State: (  3.40,  -0.89), (  1.33,   1.40)  SG Improvement:-2.26063 

Goal, Curr: (-0.97,  1.21), (  1.40,   1.40)   Error: 2.37
Last SG, Last State: (  3.40,  -0.63), (  1.40,   1.40)  SG Improvement:-2.12263 

Goal, Curr: (-0.98,  1.07), (  1.40,   1.40)   Error: 2.40
Last SG, Last State: (  3.40,  -0.71), (  1.40,   1.40)  SG Improvement:-2.23598 

Goal, Curr: (-0.95,  0.97), (  1.40,   1.40)   Error: 2.39
Last SG, Last State: (  3.40,  -0.70), (  1.40,   1.40)  SG Improvement:-2.20863 

Goal, Curr: (-1.21,  0.91), (  1.40,   1.40)   Error: 2.66
Last SG, Last State: (  3.40,  -0.73), (  1.40,   1.40)  SG Improvement:-0.53853 

Goal, Curr: (-0.78,  0.87), (  1.40,   1.40)   Error: 2.24
Last SG, Last State: (  3.40,  -1.22), (  1.40,   1.24)  SG Improvement:-0.49834 

Goal, Curr: (-0.82,  1.10), (  1.40,   1.40)   Error: 2.24
Last SG, Last State: (  3.40,  -1.15), (  1.40,   1.30)  SG Improvement:-0.54460 

Goal, Curr: (-0.89,  1.21), (  1.40,   1.40)   Error: 2.30
Last SG, Last State: (  3.40,  -0.88), (  1.36,   1.40)  SG Improvement:-1.89017 

Goal, Curr: (-0.82,  0.76), (  1.40,   1.40)   Error: 2.31
Last SG, Last State: (  3.40,  -0.92), (  1.39,   1.40)  SG Improvement:-1.67916 

Goal, Curr: (-0.96,  0.82), (  1.40,   1.40)   Error: 2.43
Last SG, Last State: (  3.40,  -1.00), (  1.40,   1.40)  SG Improvement:-2.01959 

episode:00100, mean:-0.33, std:0.30, median:-0.33, success:0.00
Log radii:  [ 1.127475   1.3862944 -0.9790853 -1.3741894  1.3862944  1.3862944]
Adjusted log radii:  [ 1.41747499  1.67629433 -0.38908529 -0.7841894   1.37629437  1.37629437]
Goal, Curr: (-0.87,  1.06), (  1.39,   1.05)   Error: 2.26
Last SG, Last State: (  3.40,  -1.44), (  1.40,   0.89)  SG Improvement:-0.54448 

Goal, Curr: (-0.85,  1.00), (  1.38,   1.04)   Error: 2.23
Last SG, Last State: (  3.40,  -1.06), (  1.38,   1.04)  SG Improvement:-0.71642 

Goal, Curr: (-0.98,  0.96), (  1.39,   1.09)   Error: 2.37
Last SG, Last State: (  3.40,  -1.16), (  1.40,   1.03)  SG Improvement:-0.63601 

Goal, Curr: (-0.96,  1.23), (  1.38,   1.07)   Error: 2.35
Last SG, Last State: (  3.40,  -1.06), (  1.38,   1.06)  SG Improvement:-0.73838 

Goal, Curr: (-0.77,  0.84), (  1.38,   1.05)   Error: 2.17
Last SG, Last State: (  3.40,  -1.31), (  1.40,   0.94)  SG Improvement:-0.65399 

Goal, Curr: (-0.84,  1.08), (  1.38,   1.04)   Error: 2.22
Last SG, Last State: (  3.40,  -1.05), (  1.38,   1.04)  SG Improvement:-0.71200 

Goal, Curr: (-1.15,  1.24), (  1.38,   1.10)   Error: 2.53
Last SG, Last State: (  3.40,  -1.07), (  1.38,   1.07)  SG Improvement:-0.78819 

Goal, Curr: (-1.15,  1.04), (  1.38,   1.02)   Error: 2.53
Last SG, Last State: (  3.40,  -1.32), (  1.40,   0.92)  SG Improvement:-0.67530 

Goal, Curr: (-1.18,  0.89), (  1.37,   1.01)   Error: 2.56
Last SG, Last State: (  3.40,  -1.14), (  1.38,   0.98)  SG Improvement:-0.71841 

Goal, Curr: (-1.08,  0.76), (  1.38,   1.03)   Error: 2.48
Last SG, Last State: (  3.40,  -1.32), (  1.40,   0.93)  SG Improvement:-0.66244 

episode:00200, mean:-0.36, std:0.25, median:-0.42, success:0.00
Log radii:  [ 1.2121855  1.2189251 -1.3862944 -1.3862944 -0.4549861  1.1021228]
Adjusted log radii:  [1.20218551 1.5089252  0.10370564 2.5037055  0.13501392 1.09212279]
Goal, Curr: (-0.85,  1.23), ( -1.06,  -0.60)   Error: 1.85
Last SG, Last State: (  0.86,   1.39), ( -1.10,  -0.60)  SG Improvement:0.00174 

Goal, Curr: (-0.90,  1.08), ( -1.05,  -0.60)   Error: 1.69
Last SG, Last State: (  0.87,   1.39), ( -1.09,  -0.60)  SG Improvement:-0.01121 

Goal, Curr: (-1.05,  0.85), ( -1.07,  -0.60)   Error: 1.45
Last SG, Last State: (  0.86,   1.39), ( -1.10,  -0.60)  SG Improvement:-0.01790 

Goal, Curr: (-1.24,  1.00), ( -0.90,  -0.60)   Error: 1.64
Last SG, Last State: (  1.08,   1.39), ( -0.91,  -0.60)  SG Improvement:0.01263 

Goal, Curr: (-0.83,  0.90), ( -1.02,  -0.60)   Error: 1.52
Last SG, Last State: (  0.92,   1.39), ( -1.05,  -0.60)  SG Improvement:0.11437 

Goal, Curr: (-0.87,  0.97), ( -1.06,  -0.60)   Error: 1.59
Last SG, Last State: (  0.86,   1.39), ( -1.10,  -0.60)  SG Improvement:-0.02623 

Goal, Curr: (-1.01,  0.83), ( -1.02,  -0.60)   Error: 1.43
Last SG, Last State: (  0.92,   1.39), ( -1.05,  -0.60)  SG Improvement:0.07642 

Goal, Curr: (-1.08,  1.01), ( -1.03,  -0.60)   Error: 1.62
Last SG, Last State: (  0.91,   1.39), ( -1.05,  -0.60)  SG Improvement:0.03167 

Goal, Curr: (-1.22,  0.87), ( -1.06,  -0.60)   Error: 1.48
Last SG, Last State: (  0.87,   1.39), ( -1.09,  -0.60)  SG Improvement:0.00266 

Goal, Curr: (-0.91,  0.84), ( -1.06,  -0.60)   Error: 1.45
Last SG, Last State: (  0.86,   1.39), ( -1.10,  -0.60)  SG Improvement:-0.08298 

episode:00300, mean:0.33, std:0.12, median:0.34, success:0.00
Goal, Curr: (-0.99,  1.17), ( -0.11,  -0.60)   Error: 1.97
Last SG, Last State: (  1.77,  -2.60), ( -0.16,  -0.60)  SG Improvement:0.07814 

Goal, Curr: (-1.03,  1.16), ( -0.11,  -0.60)   Error: 1.99
Last SG, Last State: (  1.80,  -2.60), ( -0.14,  -0.60)  SG Improvement:0.07357 

Goal, Curr: (-0.90,  1.06), ( -0.11,  -0.60)   Error: 1.84
Last SG, Last State: (  1.78,  -2.60), ( -0.16,  -0.60)  SG Improvement:0.07495 

Goal, Curr: (-1.12,  1.04), ( -0.12,  -0.60)   Error: 1.92
Last SG, Last State: (  1.77,  -2.60), ( -0.16,  -0.60)  SG Improvement:0.07892 

Goal, Curr: (-1.13,  0.97), ( -1.17,  -0.60)   Error: 1.57
Last SG, Last State: (  0.60,  -2.60), ( -1.34,  -0.60)  SG Improvement:0.62470 

Goal, Curr: (-0.88,  0.79), ( -0.11,  -0.60)   Error: 1.59
Last SG, Last State: (  1.81,  -2.60), ( -0.14,  -0.60)  SG Improvement:0.06237 

Goal, Curr: (-0.78,  1.21), ( -0.13,  -0.60)   Error: 1.93
Last SG, Last State: (  1.74,  -2.60), ( -0.18,  -0.60)  SG Improvement:0.08450 

Goal, Curr: (-1.20,  1.18), ( -0.09,  -0.60)   Error: 2.09
Last SG, Last State: (  1.85,  -2.60), ( -0.11,  -0.60)  SG Improvement:0.05294 

Goal, Curr: (-0.82,  1.05), ( -1.34,  -0.60)   Error: 1.73
Last SG, Last State: (  0.64,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.17075 

Goal, Curr: (-0.88,  1.17), ( -0.09,  -0.60)   Error: 1.94
Last SG, Last State: (  1.84,  -2.60), ( -0.11,  -0.60)  SG Improvement:0.06269 

episode:00400, mean:0.34, std:0.18, median:0.35, success:0.00
Goal, Curr: (-1.12,  0.82), ( -1.40,  -0.60)   Error: 1.45
Last SG, Last State: (  0.60,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00004 

Goal, Curr: (-0.89,  1.09), ( -1.40,  -0.60)   Error: 1.77
Last SG, Last State: (  0.60,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00006 

Goal, Curr: (-1.24,  0.96), ( -1.40,  -0.60)   Error: 1.56
Last SG, Last State: (  0.60,  -2.60), ( -1.40,  -0.60)  SG Improvement:0.00010 

Goal, Curr: (-0.98,  1.15), ( -1.40,  -0.60)   Error: 1.80
